cohort,compartment,label,ligand,source_label,focused_direction,matching_receptors,eligible_IPF_donors,donors,minimum_required
GSE136831,fibroblasts,Fibroblast,HBEGF,SMC,False,CD44;CD9;EGFR;ERBB2;ERBB4,2,021I;138I,3
GSE136831,fibroblasts,Fibroblast,HBEGF,T,False,,0,,3
GSE136831,fibroblasts,Fibroblast,HBEGF,T_Cytotoxic,False,,0,,3
GSE136831,fibroblasts,Fibroblast,HBEGF,T_Regulatory,False,,0,,3
GSE136831,fibroblasts,Fibroblast,HBEGF,VE_Arterial,False,,0,,3
GSE136831,fibroblasts,Fibroblast,HBEGF,VE_Capillary_A,False,,0,,3
GSE136831,fibroblasts,Fibroblast,HBEGF,VE_Capillary_B,False,CD44;CD9;EGFR;ERBB4,1,022I,3
GSE136831,fibroblasts,Fibroblast,HBEGF,VE_Peribronchial,False,CD44;CD82;CD9;EGFR;ERBB2;ERBB4,7,021I;022I;040I;041I;051I;138I;228I,3
GSE136831,fibroblasts,Fibroblast,HBEGF,VE_Venous,False,,0,,3
GSE136831,fibroblasts,Fibroblast,HBEGF,cDC1,False,,0,,3
GSE136831,fibroblasts,Fibroblast,HBEGF,cDC2,False,CD44;CD82;CD9;EGFR;ERBB2;ERBB4,7,010I;021I;022I;041I;135I;138I;174I,3
GSE136831,fibroblasts,Fibroblast,HBEGF,cMonocyte,False,CD44;CD82;CD9;EGFR;ERBB2;ERBB4,9,010I;021I;022I;040I;041I;051I;135I;138I;174I,3
