accession,library,panel,gene,detected_in_fraction_of_cells,gene_absent_from_reference
GSE316243,GSM9447777_Expt2_Confetti_niche,reprogrammed AM (Fig. 1h),Cdh1,0.0138,False
GSE316243,GSM9447777_Expt2_Confetti_niche,reprogrammed AM (Fig. 1h),Ch25h,0.0198,False
GSE316243,GSM9447777_Expt2_Confetti_niche,reprogrammed AM (Fig. 1h),Ear6,0.002,False
GSE316243,GSM9447777_Expt2_Confetti_niche,reprogrammed AM (Fig. 1h),Fstl1,0.08,False
GSE316243,GSM9447777_Expt2_Confetti_niche,reprogrammed AM (Fig. 1h),Cxcl2,0.0725,False
GSE316243,GSM9447777_Expt2_Confetti_niche,monocyte/IM (Fig. 1h),Itgam,0.0311,False
GSE316243,GSM9447777_Expt2_Confetti_niche,monocyte/IM (Fig. 1h),Ly6c2,0.0376,False
GSE316243,GSM9447777_Expt2_Confetti_niche,monocyte/IM (Fig. 1h),Ccr2,0.0538,False
GSE316243,GSM9447777_Expt2_Confetti_niche,monocyte/IM (Fig. 1h),Cx3cr1,0.0187,False
GSE316243,GSM9447777_Expt2_Confetti_niche,monocyte/IM (Fig. 1h),Mmp19,0.0331,False
GSE316243,GSM9447777_Expt2_Confetti_niche,Tnc-TLR4 axis (ED Fig. 4d),Tnc,0.0027,False
GSE316243,GSM9447777_Expt2_Confetti_niche,Tnc-TLR4 axis (ED Fig. 4d),Tlr4,0.0222,False
GSE316243,GSM9447777_Expt2_Confetti_niche,EGF axis (ED Fig. 5f-h),Areg,0.0111,False
GSE316243,GSM9447777_Expt2_Confetti_niche,EGF axis (ED Fig. 5f-h),Ereg,0.0062,False
GSE316243,GSM9447777_Expt2_Confetti_niche,EGF axis (ED Fig. 5f-h),Hbegf,0.0318,False
GSE316243,GSM9447777_Expt2_Confetti_niche,EGF axis (ED Fig. 5f-h),Tgfa,0.002,False
GSE316243,GSM9447777_Expt2_Confetti_niche,EGF axis (ED Fig. 5f-h),Egfr,0.0093,False
GSE316243,GSM9447777_Expt2_Confetti_niche,fibroblast-to-epithelium (ED Fig. 5i-j),Wnt5a,0.0193,False
GSE316243,GSM9447777_Expt2_Confetti_niche,fibroblast-to-epithelium (ED Fig. 5i-j),Igf1,0.0469,False
GSE316243,GSM9447777_Expt2_Confetti_niche,fibroblast-to-epithelium (ED Fig. 5i-j),Spp1,0.0549,False
GSE316243,GSM9447777_Expt2_Confetti_niche,mutant epithelial states (Fig. 4l),Sftpc,0.0049,False
GSE316243,GSM9447777_Expt2_Confetti_niche,mutant epithelial states (Fig. 4l),Etv5,0.0049,False
GSE316243,GSM9447777_Expt2_Confetti_niche,mutant epithelial states (Fig. 4l),Lamp3,0.0004,False
GSE316243,GSM9447777_Expt2_Confetti_niche,mutant epithelial states (Fig. 4l),Cd177,0.0038,False
GSE316243,GSM9447777_Expt2_Confetti_niche,mutant epithelial states (Fig. 4l),Cldn4,0.0016,False
GSE316243,GSM9447777_Expt2_Confetti_niche,mutant epithelial states (Fig. 4l),Itga2,0.0202,False
GSE316243,GSM9447777_Expt2_Confetti_niche,mutant epithelial states (Fig. 4l),Ndrg1,0.0285,False
GSE316243,GSM9447777_Expt2_Confetti_niche,mutant epithelial states (Fig. 4l),Sox9,0.0024,False
GSE316243,GSM9447777_Expt2_Confetti_niche,mutant epithelial states (Fig. 4l),Mki67,0.0093,False
GSE316243,GSM9447777_Expt2_Confetti_niche,mutant epithelial states (Fig. 4l),Ager,0.0051,False
GSE316243,GSM9447777_Expt2_Confetti_niche,mutant epithelial states (Fig. 4l),Hopx,0.1743,False
GSE316243,GSM9447777_Expt2_Confetti_niche,compartment,Epcam,0.0609,False
GSE316243,GSM9447777_Expt2_Confetti_niche,compartment,Ptprc,0.2723,False
GSE316243,GSM9447777_Expt2_Confetti_niche,compartment,Col1a1,0.074,False
GSE316243,GSM9447777_Expt2_Confetti_niche,compartment,Pecam1,0.1908,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,alveolar fibroblast (Fig. 1d),Pdgfra,0.0201,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,alveolar fibroblast (Fig. 1d),Col13a1,0.0093,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,alveolar fibroblast (Fig. 1d),Tcf21,0.0246,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,alveolar fibroblast (Fig. 1d),Npnt,0.0365,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,alveolar fibroblast (Fig. 1d),Scube2,0.0072,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,adventitial fibroblast (Fig. 1d),Col14a1,0.0249,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,adventitial fibroblast (Fig. 1d),Pi16,0.0357,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,adventitial fibroblast (Fig. 1d),Dcn,0.0219,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,reprogrammed/fibrotic fibroblast (Fig. 1d),Tnc,0.0078,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,reprogrammed/fibrotic fibroblast (Fig. 1d),Fst,0.0084,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,reprogrammed/fibrotic fibroblast (Fig. 1d),Runx1,0.2513,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,reprogrammed/fibrotic fibroblast (Fig. 1d),Runx2,0.0884,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,reprogrammed/fibrotic fibroblast (Fig. 1d),Acta2,0.0452,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,reprogrammed/fibrotic fibroblast (Fig. 1d),Pdgfrb,0.0237,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,inflammatory fibroblast (ED Fig. 4l-m),Lcn2,0.0392,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,inflammatory fibroblast (ED Fig. 4l-m),Saa3,0.009,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,inflammatory fibroblast (ED Fig. 4l-m),Sfrp1,0.0156,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,inflammatory fibroblast (ED Fig. 4l-m),Cxcl12,0.0671,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,alveolar macrophage (Fig. 1h),Itgax,0.1468,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,alveolar macrophage (Fig. 1h),Siglec5,,True
GSE316243,GSM9447778_Expt2_Red2Kras_niche,alveolar macrophage (Fig. 1h),Siglecf,0.0632,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,alveolar macrophage (Fig. 1h),Pparg,0.0836,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,alveolar macrophage (Fig. 1h),Mertk,0.0977,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,alveolar macrophage (Fig. 1h),Car4,0.1147,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,reprogrammed AM (Fig. 1h),Msr1,0.0698,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,reprogrammed AM (Fig. 1h),Cdh1,0.0677,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,reprogrammed AM (Fig. 1h),Ch25h,0.0584,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,reprogrammed AM (Fig. 1h),Ear6,0.0345,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,reprogrammed AM (Fig. 1h),Fstl1,0.0674,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,reprogrammed AM (Fig. 1h),Cxcl2,0.1279,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,monocyte/IM (Fig. 1h),Itgam,0.0794,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,monocyte/IM (Fig. 1h),Ly6c2,0.0743,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,monocyte/IM (Fig. 1h),Ccr2,0.1297,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,monocyte/IM (Fig. 1h),Cx3cr1,0.0434,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,monocyte/IM (Fig. 1h),Mmp19,0.0815,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,Tnc-TLR4 axis (ED Fig. 4d),Tnc,0.0078,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,Tnc-TLR4 axis (ED Fig. 4d),Tlr4,0.0578,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,EGF axis (ED Fig. 5f-h),Areg,0.0416,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,EGF axis (ED Fig. 5f-h),Ereg,0.0075,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,EGF axis (ED Fig. 5f-h),Hbegf,0.0416,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,EGF axis (ED Fig. 5f-h),Tgfa,0.0042,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,EGF axis (ED Fig. 5f-h),Egfr,0.0129,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,fibroblast-to-epithelium (ED Fig. 5i-j),Wnt5a,0.0159,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,fibroblast-to-epithelium (ED Fig. 5i-j),Igf1,0.0506,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,fibroblast-to-epithelium (ED Fig. 5i-j),Spp1,0.1144,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,mutant epithelial states (Fig. 4l),Sftpc,0.0575,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,mutant epithelial states (Fig. 4l),Etv5,0.018,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,mutant epithelial states (Fig. 4l),Lamp3,0.0045,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,mutant epithelial states (Fig. 4l),Cd177,0.0132,False
GSE316243,GSM9447778_Expt2_Red2Kras_niche,mutant epithelial states (Fig. 4l),Cldn4,0.0042,False
