gene	gene_group	mark	window_1kb	replicate	contrast	eligible_1kb	log2_ratio_difference_1kb	raw_mark_log2_ratio_1kb	H3_log2_ratio_1kb	window_5kb	eligible_5kb	log2_ratio_difference_5kb	raw_mark_log2_ratio_5kb	H3_log2_ratio_5kb	both_windows_eligible	same_direction_across_windows	H3_changes_direction_1kb	H3_changes_direction_5kb
COL1A1	transition_stress	H3K27ac	promoter	CUT2	iATCs_minus_iAT1	True	0.5019279155668908	0.89300433556733	0.3910764200004394	broad_promoter	True	0.485453825961297	1.1022884369860908	0.6168346110247935	True	1.0	0.0	0.0
ATF3	regulators	H3K27ac	promoter	CUT2	iATCs_minus_iAT2	True	-1.202383799009667	-0.5977540089389464	0.6046297900707203	broad_promoter	True	-0.697902896699482	-0.5954429918656479	0.1024599048338341	True	1.0	0.0	0.0
ATF3	regulators	H3K27ac	promoter	CUT2	iATCs_minus_iAT1	True	-0.207945940131063	0.2706085431349913	0.4785544832660541	broad_promoter	True	0.4385285772675347	0.3570086036199039	-0.0815199736476308	True	0.0	1.0	0.0
HNF1B	regulators	H3K27ac	promoter	CUT2	iATCs_minus_iAT2	True	0.2828840205566107	0.3649082025900591	0.0820241820334477	broad_promoter	True	-0.1439692538572856	0.4964209470416396	0.6403902008989258	True	0.0	0.0	1.0
HNF1B	regulators	H3K27ac	promoter	CUT2	iATCs_minus_iAT1	True	-0.1053433082114372	-0.1197798103016343	-0.0144365020901977	broad_promoter	True	-0.6459469379333616	0.0194903958974086	0.6654373338307705	True	1.0	0.0	1.0
TP53	regulators	H3K27ac	promoter	CUT2	iATCs_minus_iAT2	True	-0.4600146573546948	0.1545575001273681	0.614572157482063	broad_promoter	True	-0.5018580908910142	0.2074749519541372	0.7093330428451518	True	1.0	1.0	1.0
TP53	regulators	H3K27ac	promoter	CUT2	iATCs_minus_iAT1	True	-0.8774675212265524	0.0213130243659865	0.8987805455925387	broad_promoter	True	-0.7160800655375166	0.2409772395706833	0.9570573051082002	True	1.0	1.0	1.0
CEBPA	regulators	H3K27ac	promoter	CUT2	iATCs_minus_iAT2	True	-0.4097637561848204	-0.3549631994175029	0.0548005567673176	broad_promoter	True	-0.8451269850059537	-0.6670523808855361	0.1780746041204176	True	1.0	0.0	0.0
CEBPA	regulators	H3K27ac	promoter	CUT2	iATCs_minus_iAT1	True	-0.7200481204812204	-0.3207374828425102	0.3993106376387104	broad_promoter	True	-0.8298458010702618	-0.2828243872234039	0.547021413846858	True	1.0	0.0	0.0
SFTPC	AT2	H3K4me3	promoter	CUT1	iATCs_minus_iAT2	True	-1.4639869304429691	-1.2362721833014498	0.2277147471415196	broad_promoter	True	-0.9861319271234988	-0.8239292756369603	0.1622026514865385	True	1.0	0.0	0.0
SFTPC	AT2	H3K4me3	promoter	CUT1	iATCs_minus_iAT1	True	-1.9492496454675683	-1.4586179204548249	0.4906317250127434	broad_promoter	True	-0.956953993650724	-0.9431126553373768	0.0138413383133471	True	1.0	0.0	0.0
ABCA3	AT2	H3K4me3	promoter	CUT1	iATCs_minus_iAT2	True	-1.713752961356278	-0.94892499126633	0.7648279700899481	broad_promoter	True	-1.913333932418621	-1.0610681703437777	0.8522657620748433	True	1.0	0.0	0.0
ABCA3	AT2	H3K4me3	promoter	CUT1	iATCs_minus_iAT1	True	-2.831783723361507	-1.5201851152777217	1.3115986080837851	broad_promoter	True	-2.825092646196227	-1.501114531319678	1.3239781148765486	True	1.0	0.0	0.0
NKX2-1	AT2	H3K4me3	promoter	CUT1	iATCs_minus_iAT2	True	-0.9273334221400223	-1.0629759817368136	-0.1356425595967909	broad_promoter	True	-1.427556155669615	-0.9741246391052868	0.4534315165643286	True	1.0	0.0	0.0
NKX2-1	AT2	H3K4me3	promoter	CUT1	iATCs_minus_iAT1	True	-1.3983273279744406	-1.0342192035513953	0.3641081244230451	broad_promoter	True	-1.3607884026574073	-0.8121258147287939	0.5486625879286134	True	1.0	0.0	0.0
ETV5	AT2	H3K4me3	promoter	CUT1	iATCs_minus_iAT2	True	-1.291847477252336	-0.3288047140514183	0.963042763200918	broad_promoter	True	-1.250012525856116	-0.4975819408209779	0.7524305850351383	True	1.0	0.0	0.0
ETV5	AT2	H3K4me3	promoter	CUT1	iATCs_minus_iAT1	True	0.7863490538495661	1.682466104852218	0.8961170510026522	broad_promoter	True	0.5600035987375986	1.507270567551474	0.9472669688138752	True	1.0	0.0	0.0
SFTPB	AT2	H3K4me3	promoter	CUT1	iATCs_minus_iAT2	True	-4.254486533113554	-5.217421605030355	-0.9629350719168	broad_promoter	True	-5.899397336742793	-5.379549861465003	0.5198474752777896	True	1.0	0.0	0.0
