"cohort","comp","label","cell_floor","donor","disease","cells","library_size","TMM_factor"
"GSE135893","macrophages","Macrophages",30,"VUILD59","IPF",5372,64089980,0.811539203515158
"GSE135893","macrophages","Macrophages",30,"VUILD60","IPF",1011,9461370,0.968469855924718
"GSE135893","macrophages","Macrophages",30,"VUILD61","IPF",971,10596772,0.999636298519127
"GSE135893","macrophages","Macrophages",30,"VUILD63","IPF",322,3854116,1.09414939517086
"GSE135893","macrophages","Macrophages",30,"VUILD64","IPF",135,912290,1.0557822737028
"GSE135893","macrophages","Macrophages",30,"VUILD65","IPF",801,5985965,1.01624020020379
"GSE135893","macrophages","Macrophages",100,"THD0001","control",292,3158898,1.21779576698807
"GSE135893","macrophages","Macrophages",100,"THD0002","control",748,6311427,1.06090103990126
"GSE135893","macrophages","Macrophages",100,"THD0005","control",958,6607378,1.32579040290702
"GSE135893","macrophages","Macrophages",100,"TILD001","IPF",431,3039162,1.19147485669423
"GSE135893","macrophages","Macrophages",100,"TILD006","IPF",2122,13185016,0.643069382366262
"GSE135893","macrophages","Macrophages",100,"TILD010","IPF",741,5006411,1.03680355261852
"GSE135893","macrophages","Macrophages",100,"TILD015","IPF",2422,26232205,1.25838727633921
"GSE135893","macrophages","Macrophages",100,"TILD028","IPF",1799,14508554,1.13421904348314
"GSE135893","macrophages","Macrophages",100,"VUHD071","control",1923,7367400,0.872236574276082
"GSE135893","macrophages","Macrophages",100,"VUHD65","control",791,14111851,0.948750210770477
"GSE135893","macrophages","Macrophages",100,"VUHD66","control",169,2322725,0.893066812728638
"GSE135893","macrophages","Macrophages",100,"VUHD67","control",2073,25868711,0.95392500496961
"GSE135893","macrophages","Macrophages",100,"VUHD68","control",4492,54127245,0.838263505841424
"GSE135893","macrophages","Macrophages",100,"VUHD70","control",538,7197221,0.972970071831251
"GSE135893","macrophages","Macrophages",100,"VUILD53","IPF",380,2517932,0.970903249426843
"GSE135893","macrophages","Macrophages",100,"VUILD59","IPF",5372,64089980,0.811539203515158
"GSE135893","macrophages","Macrophages",100,"VUILD60","IPF",1011,9461370,0.968469855924718
"GSE135893","macrophages","Macrophages",100,"VUILD61","IPF",971,10596772,0.999636298519127
"GSE135893","macrophages","Macrophages",100,"VUILD63","IPF",322,3854116,1.09414939517086
"GSE135893","macrophages","Macrophages",100,"VUILD64","IPF",135,912290,1.0557822737028
"GSE135893","macrophages","Macrophages",100,"VUILD65","IPF",801,5985965,1.01624020020379
"GSE135893","macrophages","Proliferating Macrophages",50,"TILD006","IPF",78,915132,0.836936743598841
"GSE135893","macrophages","Proliferating Macrophages",50,"VUHD68","control",98,1585465,1.05019337795296
"GSE135893","macrophages","Proliferating Macrophages",50,"VUILD59","IPF",497,7903662,1.01073582281438
"GSE135893","macrophages","Proliferating Macrophages",50,"VUILD60","IPF",51,803951,1.12564236832666
"GSE135893","macrophages","Proliferating Macrophages",30,"TILD006","IPF",78,915132,0.74535456599956
"GSE135893","macrophages","Proliferating Macrophages",30,"TILD010","IPF",33,310737,1.17919742717546
"GSE135893","macrophages","Proliferating Macrophages",30,"VUHD65","control",39,1059662,1.05881026261404
"GSE135893","macrophages","Proliferating Macrophages",30,"VUHD68","control",98,1585465,0.982146798659315
"GSE135893","macrophages","Proliferating Macrophages",30,"VUILD59","IPF",497,7903662,0.945245869482039
"GSE135893","macrophages","Proliferating Macrophages",30,"VUILD60","IPF",51,803951,1.04680359353947
"GSE135893","macrophages","Proliferating Macrophages",30,"VUILD65","IPF",46,478508,1.10572217711789
