library	unit	target	fibroblast_total_counts	epithelial_count_fraction	activation_score	hallmark_tgf_beta_score	eligible
3-4_F06_TINAG	3-4	TINAG	384126	0.8744	9.4948	5.6761	yes
3-4_F07_AREG	3-4	AREG	1006613	0.794	9.4426	5.804	yes
3-4_F08_TSPAN11	3-4	TSPAN11	679229	0.8525	10.0986	5.9692	yes
3-4_F09_MAP3K1	3-4	MAP3K1	695146	0.9135	9.9109	5.7409	yes
3-4_F10_MAPK1	3-4	MAPK1	868685	0.754	9.8317	5.8123	yes
3-4_F11_BMP2	3-4	BMP2	857521	0.8008	9.3217	5.7856	yes
3-4_G02_ERBB3	3-4	ERBB3	2885965	0.4476	9.5076	5.8157	yes
3-4_G03_SOCS2	3-4	SOCS2	2511550	0.7452	9.2345	5.8104	yes
3-4_G04_SOAT1	3-4	SOAT1	2508304	0.7322	9.6883	5.798	yes
3-4_G05_VANGL2	3-4	VANGL2	1761555	0.7519	9.3193	5.7723	yes
3-4_G06_IRF4	3-4	IRF4	528951	0.8717	9.7525	5.808	yes
3-4_G07_ATP6V0E	3-4	ATP6V0E	1882086	0.6737	9.9671	5.8471	yes
3-4_G08_MAP2K1	3-4	MAP2K1	738296	0.8658	9.7336	5.8978	yes
3-4_G09_MAP3K2	3-4	MAP3K2	1494346	0.7043	9.555	5.8175	yes
3-4_G10_TDTOMATO	3-4	TDTOMATO	543071	0.8313	8.9032	5.4074	yes
3-4_G11_TIGIT	3-4	TIGIT	787450	0.8819	9.1584	5.8949	yes
