cell_type,day,gene,mean_log2_cpm,animals,mean_detection_1000
AT1,42.0,Wnt4,2.5515004223202142,4,0.008938901035803285
AT1,42.0,Wnt5a,0.3250640431497852,4,0.00019582531735807176
AT1,42.0,Wnt7b,1.9391873135392,4,0.0028625544243966357
AT1,42.0,Wnt9a,3.0033527249989262,4,0.0057129605944150124
AT1,90.0,Axin2,2.642674566606585,3,0.004166795841319056
AT1,90.0,Lef1,0.7700369856841545,3,0.0005558637569939741
AT1,90.0,Porcn,4.035184777825348,3,0.016370291710053622
AT1,90.0,Wls,8.157827180171708,3,0.2493607326992526
AT1,90.0,Wnt2,0.778695988033577,3,0.0012751307549978936
AT1,90.0,Wnt2b,0.0,3,0.0
AT1,90.0,Wnt4,1.8273260967365659,3,0.0032245169147656883
AT1,90.0,Wnt5a,1.7410172870249638,3,0.0023675015325527182
AT1,90.0,Wnt7b,1.467508219619272,3,0.002599792052278748
AT1,90.0,Wnt9a,3.6022671498474828,3,0.014050629894222524
AT1,366.0,Axin2,0.6072716955472951,3,0.0007395879944376217
AT1,366.0,Lef1,0.3396199193225105,3,0.0003189792662843795
AT1,366.0,Porcn,4.533300732708604,3,0.02225704044560539
AT1,366.0,Wls,8.509519487398206,3,0.3029119170259575
AT1,366.0,Wnt2,0.0,3,0.0
AT1,366.0,Wnt2b,0.0,3,0.0
AT1,366.0,Wnt4,2.265187118503049,3,0.0037955781177715416
AT1,366.0,Wnt5a,1.5599478036498393,3,0.0023125510268252234
AT1,366.0,Wnt7b,0.6760659936111311,3,0.0009891853093831353
AT1,366.0,Wnt9a,3.876038683606622,3,0.01440982900273482
AT1_AT2,42.0,Axin2,4.011610106619348,1,0.02133473587114627
AT1_AT2,42.0,Lef1,0.0,1,0.0
AT1_AT2,42.0,Porcn,3.766354842269164,1,0.016954997653943347
AT1_AT2,42.0,Wls,7.492092000665122,1,0.14872780855377724
AT1_AT2,42.0,Wnt2,2.5952871998271876,1,0.007186651729250351
AT1_AT2,42.0,Wnt2b,2.5952871998271876,1,0.0037229233424483765
AT1_AT2,42.0,Wnt4,3.098392580675327,1,0.015701393110271668
AT1_AT2,42.0,Wnt5a,1.8162091802666362,1,0.00348945138849884
AT1_AT2,42.0,Wnt7b,0.0,1,0.0
AT1_AT2,42.0,Wnt9a,1.8162091802666362,1,0.00038599546595849
AT2,0.0,Axin2,4.250192164477745,1,0.016685209634118476
AT2,0.0,Lef1,0.3790635966087071,1,0.0002451528380744696
AT2,0.0,Porcn,2.5380314123299836,1,0.004078672170965193
AT2,0.0,Wls,7.560798403561132,1,0.1777947195702257
AT2,0.0,Wnt2,0.3790635966087071,1,0.0002408965206066635
AT2,0.0,Wnt2b,0.0,1,0.0
AT2,0.0,Wnt4,1.8892699785441005,1,0.0058840209271778295
AT2,0.0,Wnt5a,0.3790635966087071,1,0.0005975257653008171
AT2,0.0,Wnt7b,2.461387662869803,1,0.0038530602864829126
AT2,0.0,Wnt9a,0.3790635966087071,1,0.00030143925188461085
AT2,6.0,Axin2,4.103555934920666,2,0.018276840203291213
AT2,6.0,Lef1,1.4225152460879165,2,0.004012809503089419
AT2,6.0,Porcn,2.460131349642543,2,0.004590840914909563
AT2,6.0,Wls,7.190517587372621,2,0.13736078090784792
AT2,6.0,Wnt2,0.0,2,0.0
AT2,6.0,Wnt2b,0.0,2,0.0
AT2,6.0,Wnt4,1.2927437672666173,2,0.0017712038428378818
AT2,6.0,Wnt5a,0.0,2,0.0
AT2,6.0,Wnt7b,1.5524985724471367,2,0.001652892256725626
AT2,6.0,Wnt9a,1.1340744363658484,2,0.001329429648954115
