donor,disease,label,cells,recovered_donor_cells,recovered_cell_fraction
253C,control,ILC_A,4,945,0.004232804232804233
253C,control,ILC_B,1,945,0.0010582010582010583
253C,control,Lymphatic,16,945,0.016931216931216932
253C,control,Macrophage,226,945,0.23915343915343915
253C,control,Macrophage_Alveolar,124,945,0.1312169312169312
253C,control,Mast,3,945,0.0031746031746031746
253C,control,Multiplet,4,945,0.004232804232804233
253C,control,Myofibroblast,12,945,0.012698412698412698
253C,control,NK,29,945,0.030687830687830688
253C,control,PNEC,3,945,0.0031746031746031746
253C,control,SMC,3,945,0.0031746031746031746
253C,control,T,9,945,0.009523809523809525
253C,control,T_Cytotoxic,49,945,0.05185185185185185
253C,control,T_Regulatory,4,945,0.004232804232804233
253C,control,VE_Arterial,15,945,0.015873015873015872
253C,control,VE_Capillary_A,4,945,0.004232804232804233
253C,control,VE_Capillary_B,16,945,0.016931216931216932
253C,control,VE_Venous,8,945,0.008465608465608466
253C,control,cDC1,14,945,0.014814814814814815
253C,control,cDC2,35,945,0.037037037037037035
253C,control,cMonocyte,312,945,0.33015873015873015
253C,control,ncMonocyte,21,945,0.022222222222222223
296C,control,ATI,7,3303,0.002119285498032092
296C,control,ATII,88,3303,0.02664244626097487
296C,control,B,7,3303,0.002119285498032092
296C,control,B_Plasma,2,3303,0.0006055101422948834
296C,control,Basal,4,3303,0.0012110202845897668
296C,control,Ciliated,14,3303,0.004238570996064184
296C,control,Club,11,3303,0.003330305782621859
296C,control,DC_Mature,1,3303,0.0003027550711474417
296C,control,Fibroblast,15,3303,0.004541326067211626
296C,control,Goblet,1,3303,0.0003027550711474417
296C,control,ILC_A,2,3303,0.0006055101422948834
296C,control,ILC_B,2,3303,0.0006055101422948834
296C,control,Lymphatic,81,3303,0.02452316076294278
296C,control,Macrophage,636,3303,0.19255222524977295
296C,control,Macrophage_Alveolar,1276,3303,0.38631547078413564
296C,control,Mast,5,3303,0.0015137753557372085
296C,control,Mesothelial,2,3303,0.0006055101422948834
296C,control,Multiplet,42,3303,0.012715712988192553
296C,control,Myofibroblast,11,3303,0.003330305782621859
