donor,disease,label,gene,cells,detected_cells,detection_fraction,count_sum,full_library_sum,mean_normalized_10000,cohort
021I,IPF,cDC2,IL1RAP,53,27,0.5094339622641509,50,552138,1.0484420166398205,GSE136831
021I,IPF,cDC2,IL1RN,53,5,0.0943396226415094,8,552138,0.1583333061733168,GSE136831
021I,IPF,cDC2,NLRP3,53,42,0.7924528301886793,180,552138,3.653210949184981,GSE136831
021I,IPF,cDC2,PYCARD,53,19,0.3584905660377358,35,552138,0.5377977494383873,GSE136831
021I,IPF,cDC2,SIGIRR,53,15,0.2830188679245283,18,552138,0.2566439517082831,GSE136831
021I,IPF,cMonocyte,CASP1,145,28,0.193103448275862,44,641535,0.6974941330238212,GSE136831
021I,IPF,cMonocyte,GSDMD,145,9,0.0620689655172413,9,641535,0.1497305268156398,GSE136831
021I,IPF,cMonocyte,IL1A,145,0,0.0,0,641535,0.0,GSE136831
021I,IPF,cMonocyte,IL1B,145,20,0.1379310344827586,47,641535,0.8566122806344694,GSE136831
021I,IPF,cMonocyte,IL1R1,145,45,0.3103448275862069,77,641535,1.196092912204621,GSE136831
021I,IPF,cMonocyte,IL1R2,145,110,0.7586206896551724,734,641535,12.54840846272104,GSE136831
