gene	gene_group	mark	contrast	half_width_bp	replicate	total_tss	alternative_tss	eligible_tss	held_tss	eligible_alternatives	baseline_eligible	baseline_effect	minimum_effect	maximum_effect	effect_span	direction_changes	direction_comparisons	max_abs_change
AGER	AT1	H3K27ac	iATCs_minus_iAT2	1000	CUT2	1	0	1	0	0	True	-3.175601697506814	-3.175601697506814	-3.175601697506814	0.0	0	0	
AGER	AT1	H3K27ac	iATCs_minus_iAT1	1000	CUT2	1	0	1	0	0	True	-4.057395527038793	-4.057395527038793	-4.057395527038793	0.0	0	0	
AGER	AT1	H3K27ac	iATCs_minus_iAT2	5000	CUT2	1	0	1	0	0	True	-0.504375810115159	-0.504375810115159	-0.504375810115159	0.0	0	0	
AGER	AT1	H3K27ac	iATCs_minus_iAT1	5000	CUT2	1	0	1	0	0	True	-1.6216053633702692	-1.6216053633702692	-1.6216053633702692	0.0	0	0	
PDPN	AT1	H3K27ac	iATCs_minus_iAT2	1000	CUT2	4	3	4	0	3	True	-2.183567063527369	-2.9480806628478704	-2.183567063527369	0.7645135993205012	0	3	0.7645135993205012
PDPN	AT1	H3K27ac	iATCs_minus_iAT1	1000	CUT2	4	3	4	0	3	True	-5.10271131086069	-5.407637992512683	-5.013799856777393	0.39383813573529025	0	3	0.30492668165199266
PDPN	AT1	H3K27ac	iATCs_minus_iAT2	5000	CUT2	4	3	4	0	3	True	-2.271122541856026	-2.358592746237222	-2.2469357933216836	0.11165695291553845	0	3	0.08747020438119613
PDPN	AT1	H3K27ac	iATCs_minus_iAT1	5000	CUT2	4	3	4	0	3	True	-5.014417750538289	-5.122878095716614	-5.011229947305349	0.11164814841126525	0	3	0.10846034517832503
HOPX	AT1	H3K27ac	iATCs_minus_iAT2	1000	CUT2	4	3	4	0	3	True	-0.3821743299970879	-7.90209765404707	-0.3821743299970879	7.519923324049982	0	3	7.519923324049982
HOPX	AT1	H3K27ac	iATCs_minus_iAT1	1000	CUT2	4	3	4	0	3	True	-2.0943036977030984	-8.119176808620406	-2.0943036977030984	6.024873110917307	0	3	6.024873110917307
HOPX	AT1	H3K27ac	iATCs_minus_iAT2	5000	CUT2	4	3	4	0	3	True	-0.9635267662366624	-3.449249044922007	-0.8429964647291577	2.6062525801928493	0	3	2.4857222786853446
HOPX	AT1	H3K27ac	iATCs_minus_iAT1	5000	CUT2	4	3	4	0	3	True	-2.911324301661512	-4.033893517938589	-2.828173006343129	1.2057205115954597	0	3	1.122569216277077
CAV1	AT1	H3K27ac	iATCs_minus_iAT2	1000	CUT2	3	2	3	0	2	True	-0.3365867590910261	-0.3365867590910261	-0.296695671278119	0.03989108781290707	0	2	0.03989108781290707
CAV1	AT1	H3K27ac	iATCs_minus_iAT1	1000	CUT2	3	2	3	0	2	True	-1.7124095261941794	-2.0679645404917553	-1.7059955671411844	0.3619689733505709	0	2	0.35555501429757586
CAV1	AT1	H3K27ac	iATCs_minus_iAT2	5000	CUT2	3	2	3	0	2	True	-0.20662479917567955	-0.2338712223651478	-0.20662479917567955	0.02724642318946824	0	2	0.02724642318946824
CAV1	AT1	H3K27ac	iATCs_minus_iAT1	5000	CUT2	3	2	3	0	2	True	-2.202262084552213	-2.2052064301176184	-2.2020619884474977	0.0031444416701207345	0	2	0.0029443455654054596
AQP5	AT1	H3K27ac	iATCs_minus_iAT2	1000	CUT2	1	0	1	0	0	True	1.2439845094384014	1.2439845094384014	1.2439845094384014	0.0	0	0	
AQP5	AT1	H3K27ac	iATCs_minus_iAT1	1000	CUT2	1	0	1	0	0	True	-0.052708321581722506	-0.052708321581722506	-0.052708321581722506	0.0	0	0	
AQP5	AT1	H3K27ac	iATCs_minus_iAT2	5000	CUT2	1	0	1	0	0	True	0.7669849382235664	0.7669849382235664	0.7669849382235664	0.0	0	0	
AQP5	AT1	H3K27ac	iATCs_minus_iAT1	5000	CUT2	1	0	1	0	0	True	0.1743472092715036	0.1743472092715036	0.1743472092715036	0.0	0	0	
KRT8	transition_stress	H3K27ac	iATCs_minus_iAT2	1000	CUT2	3	2	3	0	2	True	0.39290589349252514	-0.03081862429082971	0.39290589349252514	0.42372451778335485	2	2	0.42372451778335485
KRT8	transition_stress	H3K27ac	iATCs_minus_iAT1	1000	CUT2	3	2	3	0	2	True	-1.2711305886642972	-1.2711305886642972	-0.5315801132357452	0.739550475428552	0	2	0.739550475428552
KRT8	transition_stress	H3K27ac	iATCs_minus_iAT2	5000	CUT2	3	2	3	0	2	True	0.2520816610799601	-0.3718322185288203	0.2520816610799601	0.6239138796087804	2	2	0.6239138796087804
KRT8	transition_stress	H3K27ac	iATCs_minus_iAT1	5000	CUT2	3	2	3	0	2	True	-0.9583615195721231	-1.2421889279487872	-0.9583615195721231	0.2838274083766641	0	2	0.2838274083766641
CLDN4	transition_stress	H3K27ac	iATCs_minus_iAT2	1000	CUT2	1	0	1	0	0	True	-0.8896499522599894	-0.8896499522599894	-0.8896499522599894	0.0	0	0	
CLDN4	transition_stress	H3K27ac	iATCs_minus_iAT1	1000	CUT2	1	0	1	0	0	True	-2.0260557176037715	-2.0260557176037715	-2.0260557176037715	0.0	0	0	
CLDN4	transition_stress	H3K27ac	iATCs_minus_iAT2	5000	CUT2	1	0	1	0	0	True	-0.26162563726487154	-0.26162563726487154	-0.26162563726487154	0.0	0	0	
CLDN4	transition_stress	H3K27ac	iATCs_minus_iAT1	5000	CUT2	1	0	1	0	0	True	-1.104230994239928	-1.104230994239928	-1.104230994239928	0.0	0	0	
KRT19	transition_stress	H3K27ac	iATCs_minus_iAT2	1000	CUT2	1	0	1	0	0	True	-0.828354240662601	-0.828354240662601	-0.828354240662601	0.0	0	0	
KRT19	transition_stress	H3K27ac	iATCs_minus_iAT1	1000	CUT2	1	0	1	0	0	True	-2.2863963916720076	-2.2863963916720076	-2.2863963916720076	0.0	0	0	
