logFC	logCPM	F	PValue	FDR	feature_id	contrast	FDR_all_three
-0.165288664047012	2.73378448469232	0.982658667804114	0.329947567221939	0.451576086063743	19076	WT_positive_minus_negative	0.451923254373168
0.282948301915377	3.73978724447789	5.20566263915641	0.0302354484686924	0.0668661941904549	19335	WT_positive_minus_negative	0.0654178514139953
0.197800137119222	4.15771951505038	2.0872692480001	0.159518191278121	0.25784813583408	213539	WT_positive_minus_negative	0.256105017335702
-0.0371858439800611	4.0814313619707	0.162098988555954	0.690257835314232	0.778064431214129	98403	WT_positive_minus_negative	0.777029520846129
-0.38912521435922	3.4456233389629	12.5298677121069	0.00140700647918448	0.00474692596891203	433287	WT_positive_minus_negative	0.0047049811489281
0.0935112435501156	8.29324440337169	5.79895186724819	0.0227943273966727	0.0528348945155024	13518	WT_positive_minus_negative	0.0515613933161784
-0.352207503179043	3.02590208066762	6.50533195413923	0.0164465962557056	0.0400730822084686	69668	WT_positive_minus_negative	0.0390749368370041
-0.21522396811997	4.67458482379782	5.52300109964371	0.0259690858573763	0.0588916013100045	27993	WT_positive_minus_negative	0.057515773349629
-0.224560847659034	3.60745951020674	3.6098395514761	0.0676765007063268	0.130637838253202	52318	WT_positive_minus_negative	0.127890917197178
-0.33970068214941	4.61961752055863	19.2619309771019	0.000144310171921697	0.000631270546246701	19253	WT_positive_minus_negative	0.000633353750953342
0.102427901661943	2.40453142409382	0.481121783248177	0.493571651403375	0.608571022184899	226970	WT_positive_minus_negative	0.609604469049148
-0.228659597126216	7.35212505307942	32.4371116749227	4.01971463208971e-06	2.56877645105041e-05	214469	WT_positive_minus_negative	2.62794489739483e-05
-0.327689357954149	7.67859754604516	46.2847445362658	2.05665073705947e-07	1.75431516416794e-06	226971	WT_positive_minus_negative	1.83960373767572e-06
0.395152216903783	6.62651137933744	49.1419678447112	1.19626882598382e-07	1.08545655578742e-06	50785	WT_positive_minus_negative	1.13178701853445e-06
-0.0244315073135879	7.53608886446304	0.286780843117878	0.596476418964971	0.698504111277522	320011	WT_positive_minus_negative	0.699083098750666
1.94906837140254	3.21256120807427	120.275018066968	1.06462008459161e-11	2.55311363717518e-10	214854	WT_positive_minus_negative	2.86948093211177e-10
0.379664724189185	5.3883522518305	30.9986650081078	5.69619233133418e-06	3.50343173240061e-05	214855	WT_positive_minus_negative	3.58005599872286e-05
0.0687246819518406	5.82743795297617	1.33325876356492	0.257887620142335	0.375153226526202	226976	WT_positive_minus_negative	0.374019409328101
-0.266850786039832	5.17958631159073	12.5551961039835	0.00139388314378832	0.00470776901589457	214895	WT_positive_minus_negative	0.00466948172825898
0.26922695286962	4.01577634362739	6.8902276550766	0.0138242129528703	0.0348039085148037	94220	WT_positive_minus_negative	0.0338322536556365
-0.180346401971474	5.46263050290412	7.99243119958299	0.00853090489428947	0.0229960945691097	94218	WT_positive_minus_negative	0.0224297650824326
-0.241499779055433	2.39655150805824	2.0556447773975	0.162605410047236	0.26168594525986	78321	WT_positive_minus_negative	0.260047984157176
-0.0977537675592797	2.25518852059765	0.329445253231309	0.570522246666668	0.676620284283423	109346	WT_positive_minus_negative	0.677656218271456
0.110849468053798	4.6369130735574	2.11504866145688	0.156864013498513	0.254369929956565	20353	WT_positive_minus_negative	0.252636706813673
-0.8075261991654	3.12951585965062	56.5613677631873	3.21192781999411e-08	3.30260252187068e-07	381337	WT_positive_minus_negative	3.50712681597667e-07
0.231889258594122	2.3150642765548	1.60706213899074	0.21524174735057	0.326301021191152	12859	WT_positive_minus_negative	0.325009662168694
-0.213822795353843	6.34781621463605	18.5705714412638	0.000179214085512768	0.000766662738024845	226977	WT_positive_minus_negative	0.000767509177702488
