cohort,view,resource,family,ligand,receptor,source,source_label,target,target_label,cell_floor,prior_count,n_control,n_IPF,difference_IPF_minus_control,ligand_component_difference,receptor_component_difference,loo_min,loo_max,inference
GSE136831,broad,consensus,exploratory,CXCL12,SDC4,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,0.6149775716934975,1.474668551705899,-0.2447134083189031,0.3726354201033173,0.8163944521762732,descriptive_no_p_value
GSE136831,broad,consensus,core,TGFB1,LPP,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,0.10357360236740476,-0.16109087966656777,0.36823808440137995,0.0358868443730227,0.16845308987988794,descriptive_no_p_value
GSE136831,subtype,consensus,core,TGFB1,ITGAV_ITGB6,macrophages,Macrophage,fibroblasts,Fibroblast,50,1.0,4,10,-0.21373015448755694,-0.21119474588202358,-0.21626556309309075,-0.322268974130524,-0.10267218266712685,descriptive_no_p_value
GSE136831,subtype,consensus,core,TGFB1,ITGAV_ITGB6,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,50,1.0,4,9,-0.2071546734649612,-0.21184595113766402,-0.20246339579225836,-0.2928816972152548,-0.14586074805690163,descriptive_no_p_value
GSE136831,subtype,consensus,core,TGFB1,ACVR1B_TGFBR2,macrophages,Macrophage,fibroblasts,Fibroblast,50,1.0,4,10,-0.0012007823588451316,-0.21119474588202358,0.20879318116433332,-0.13217086495499064,0.10337875322110257,descriptive_no_p_value
GSE136831,subtype,consensus,core,TGFB1,ACVR1B_TGFBR2,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,50,1.0,4,9,0.027105938021851905,-0.21184595113766402,0.2660578271813687,-0.08003749368825996,0.10538718999806385,descriptive_no_p_value
GSE136831,subtype,consensus,core,TGFB1,TGFBR1_TGFBR2,macrophages,Macrophage,fibroblasts,Fibroblast,50,1.0,4,10,-0.21996268699724641,-0.21119474588202358,-0.2287306281124648,-0.4045788104579433,-0.13871845883717526,descriptive_no_p_value
GSE136831,subtype,consensus,core,TGFB1,TGFBR1_TGFBR2,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,50,1.0,4,9,-0.21728349307231642,-0.21184595113766402,-0.22272103500696971,-0.34853013557974055,-0.1508730487801424,descriptive_no_p_value
GSE136831,subtype,consensus,core,TGFB1,ACVR1_TGFBR1_TGFBR2,macrophages,Macrophage,fibroblasts,Fibroblast,50,1.0,4,10,0.21315709637977598,-0.21119474588202358,0.6375089386415747,0.12409981352183497,0.33995664333130193,descriptive_no_p_value
GSE136831,subtype,consensus,core,TGFB1,ACVR1_TGFBR1_TGFBR2,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,50,1.0,4,9,0.1739778190801946,-0.21184595113766402,0.5598015892980532,0.10874718710828635,0.2744790824279839,descriptive_no_p_value
GSE136831,subtype,consensus,core,TGFB1,ACVR1_TGFBR2,macrophages,Macrophage,fibroblasts,Fibroblast,50,1.0,4,10,0.24488825538414716,-0.21119474588202358,0.7009712566503188,0.15583097252620615,0.3716878023356731,descriptive_no_p_value
GSE136831,subtype,consensus,core,TGFB1,ACVR1_TGFBR2,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,50,1.0,4,9,0.20073181061547007,-0.21184595113766402,0.6133095723686024,0.13550117864356181,0.3012330739632594,descriptive_no_p_value
GSE136831,subtype,consensus,core,TGFB1,ACVR1C_TGFBR2,macrophages,Macrophage,fibroblasts,Fibroblast,50,1.0,4,10,0.5802296852079687,-0.21119474588202358,1.3716541162979619,0.46876119453284915,0.679228304398058,descriptive_no_p_value
GSE136831,subtype,consensus,core,TGFB1,ACVR1C_TGFBR2,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,50,1.0,4,9,0.6040517305135902,-0.21184595113766402,1.4199494121648457,0.5088174360163737,0.7113079500735799,descriptive_no_p_value
GSE136831,subtype,consensus,core,TGFB1,EGFR,macrophages,Macrophage,fibroblasts,Fibroblast,50,1.0,4,10,-0.083163474382971,-0.21119474588202358,0.04486779711608335,-0.13478990730655838,-0.00012320085394446068,descriptive_no_p_value
GSE136831,subtype,consensus,core,TGFB1,EGFR,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,50,1.0,4,9,-0.04441664683042834,-0.21184595113766402,0.12301265747680645,-0.07075872223768087,0.021876503555703586,descriptive_no_p_value
GSE136831,subtype,consensus,core,TGFB1,ITGB3,macrophages,Macrophage,fibroblasts,Fibroblast,50,1.0,4,10,-0.17157832303910325,-0.21119474588202358,-0.13196190019618292,-0.30335188790950696,-0.06294571909472424,descriptive_no_p_value
GSE136831,subtype,consensus,core,TGFB1,ITGB3,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,50,1.0,4,9,-0.2838706287897237,-0.21184595113766402,-0.3558953064417838,-0.41930801129393913,-0.18453525503906754,descriptive_no_p_value
GSE136831,subtype,consensus,core,TGFB1,ITGB1,macrophages,Macrophage,fibroblasts,Fibroblast,50,1.0,4,10,-0.041060940585848194,-0.21119474588202358,0.12907286471032986,-0.14301187688360084,0.05863827870053484,descriptive_no_p_value
GSE136831,subtype,consensus,core,TGFB1,ITGB1,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,50,1.0,4,9,-0.1216372546987774,-0.21184595113766402,-0.031428558259888995,-0.21283497751637093,-0.028387439733656983,descriptive_no_p_value
GSE136831,subtype,consensus,core,TGFB1,ITGB5,macrophages,Macrophage,fibroblasts,Fibroblast,50,1.0,4,10,-0.09104405347920785,-0.21119474588202358,0.0291066389236061,-0.28466890760600183,0.021423857595631368,descriptive_no_p_value
GSE136831,subtype,consensus,core,TGFB1,ITGB5,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,50,1.0,4,9,-0.0884260045604286,-0.21184595113766402,0.034993942016805946,-0.2286813777339507,-0.01747275240687518,descriptive_no_p_value
GSE136831,subtype,consensus,core,TGFB1,ITGB8,macrophages,Macrophage,fibroblasts,Fibroblast,50,1.0,4,10,-0.029648989388188163,-0.21119474588202358,0.15189676710564726,-0.18966612630036828,0.08033032567734288,descriptive_no_p_value
GSE136831,subtype,consensus,core,TGFB1,ITGB8,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,50,1.0,4,9,-0.02333275852294392,-0.21184595113766402,0.1651804340917753,-0.2342477436706938,0.14001603749585811,descriptive_no_p_value
GSE136831,subtype,consensus,core,TGFB1,SDC2,macrophages,Macrophage,fibroblasts,Fibroblast,50,1.0,4,10,0.22164257406783872,-0.21119474588202358,0.6544798940177001,0.13073047067634214,0.33976493050748235,descriptive_no_p_value
GSE136831,subtype,consensus,core,TGFB1,SDC2,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,50,1.0,4,9,0.16672329980961997,-0.21184595113766402,0.5452925507569022,0.07231227212674352,0.3086723071352955,descriptive_no_p_value
GSE136831,subtype,consensus,core,TGFB1,ACVRL1,macrophages,Macrophage,fibroblasts,Fibroblast,50,1.0,4,10,-0.011008985547745098,-0.21119474588202358,0.18917677478653339,-0.142136895679001,0.12146777371722894,descriptive_no_p_value
GSE136831,subtype,consensus,core,TGFB1,ACVRL1,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,50,1.0,4,9,0.00310053566161006,-0.21184595113766402,0.21804702246088326,-0.14625682550648555,0.15940394581261774,descriptive_no_p_value
GSE136831,subtype,consensus,core,TGFB1,CXCR4,macrophages,Macrophage,fibroblasts,Fibroblast,50,1.0,4,10,0.24628625970214824,-0.21119474588202358,0.7037672652863205,-0.14022693023042354,0.5294521333598174,descriptive_no_p_value
GSE136831,subtype,consensus,core,TGFB1,CXCR4,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,50,1.0,4,9,0.2076076563706657,-0.21184595113766402,0.627061263878995,-0.12553605260863332,0.46447524642459737,descriptive_no_p_value
GSE136831,subtype,consensus,core,TGFB1,TGFBR3,macrophages,Macrophage,fibroblasts,Fibroblast,50,1.0,4,10,-0.626465093958398,-0.21119474588202358,-1.0417354420347742,-0.7798619593849843,-0.49602356274110804,descriptive_no_p_value
GSE136831,subtype,consensus,core,TGFB1,TGFBR3,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,50,1.0,4,9,-0.6080516230388548,-0.21184595113766402,-1.0042572949400483,-0.708079007512171,-0.5039083754253015,descriptive_no_p_value
GSE136831,subtype,consensus,core,TGFB1,VASN,macrophages,Macrophage,fibroblasts,Fibroblast,50,1.0,4,10,-0.4060200194102226,-0.21119474588202358,-0.6008452929384225,-0.5573912146606919,-0.3434299777952665,descriptive_no_p_value
GSE136831,subtype,consensus,core,TGFB1,VASN,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,50,1.0,4,9,-0.4198715930491206,-0.21184595113766402,-0.627897234960578,-0.5474161374135553,-0.31547094625320593,descriptive_no_p_value
GSE136831,subtype,consensus,core,IL1A,IL1R1_IL1RAP,macrophages,Macrophage,fibroblasts,Fibroblast,50,1.0,4,10,0.5440361730265022,0.24160262615172612,0.8464697199012772,0.32986678891528154,0.784998877666724,descriptive_no_p_value
GSE136831,subtype,consensus,core,IL1A,IL1R1_IL1RAP,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,50,1.0,4,9,0.3881901955164828,-0.019721368094797853,0.7961017591277626,0.2581217950775052,0.5742517482703269,descriptive_no_p_value
GSE136831,subtype,consensus,core,IL1A,IL1R1_IL1RAP,macrophages,Macrophage,AT2,ATII,50,1.0,10,3,-1.2203891944306022,-0.4298995309012801,-2.010878857959924,-1.8733784304405061,-0.6959395670179824,descriptive_no_p_value
GSE136831,subtype,consensus,core,IL1A,IL1R1_IL1RAP,macrophages,Macrophage_Alveolar,AT2,ATII,50,1.0,10,3,-0.9347029258670307,0.14147300622586467,-2.010878857959924,-1.6837760128388854,-0.3291852115917244,descriptive_no_p_value
GSE136831,subtype,consensus,core,IL1A,IL1R2_IL1RAP,macrophages,Macrophage,fibroblasts,Fibroblast,50,1.0,4,10,-0.2761614779464452,0.24160262615172612,-0.7939255820446163,-0.6287719907852511,0.18631853555878441,descriptive_no_p_value
GSE136831,subtype,consensus,core,IL1A,IL1R2_IL1RAP,macrophages,Macrophage_Alveolar,fibroblasts,Fibroblast,50,1.0,4,9,-0.5046838474113149,-0.019721368094797853,-0.989646326727831,-0.6580693356964527,-0.2943013810155244,descriptive_no_p_value
GSE136831,subtype,consensus,core,IL1A,IL1R2_IL1RAP,macrophages,Macrophage,AT2,ATII,50,1.0,10,3,-1.191483513219936,-0.4298995309012801,-1.9530674955385927,-1.6338449312896142,-0.5833613179708008,descriptive_no_p_value
GSE136831,subtype,consensus,core,IL1A,IL1R2_IL1RAP,macrophages,Macrophage_Alveolar,AT2,ATII,50,1.0,10,3,-0.9057972446563638,0.14147300622586467,-1.9530674955385927,-1.444242513687993,-0.2826592853079646,descriptive_no_p_value
