cohort,view,resource,family,ligand,receptor,source,source_label,target,target_label,cell_floor,prior_count,n_control,n_IPF,status,missing_genes
GSE136831,broad,consensus,exploratory,CXCL12,CD4,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,exploratory,CXCL12,ITGB3,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,exploratory,CXCL12,ITGB1,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,exploratory,CXCL12,ITGAV,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,exploratory,CXCL12,ITGA5,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,exploratory,CXCL12,ITGA4,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,exploratory,CXCL12,ACKR3,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,exploratory,CXCL12,AVPR1A,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,exploratory,CXCL12,MTNR1A,fibroblasts,__broad__,macrophages,__broad__,50,1.0,0,0,missing_assay_subunits,MTNR1A
GSE136831,broad,consensus,exploratory,CXCL12,CXCR3,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,exploratory,CXCL12,CCR4,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,exploratory,CXCL12,CXCR4,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,exploratory,CXCL12,GRM7,fibroblasts,__broad__,macrophages,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,core,HBEGF,EGFR_ERBB2,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,core,HBEGF,EGFR_ERBB2,AT2,__broad__,fibroblasts,__broad__,50,1.0,4,2,insufficient_same_donor_coverage,
GSE136831,broad,consensus,core,HBEGF,ERBB2_ERBB4,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,eligible_descriptive,
