comp,label,case,reference,ligand,source_label,source_comp,focused_direction,supporting_patients,patients,receptors
AT2,AT2,AIS,normal,CXCL2,Goblet (bronchial),other,False,0,,
AT2,AT2,AIS,normal,CXCL2,Goblet (nasal),other,False,0,,
AT2,AT2,AIS,normal,CXCL2,Lymphatic EC differentiating,other,False,1,23,DPP4
AT2,AT2,AIS,normal,CXCL2,Lymphatic EC mature,other,False,0,,
AT2,AT2,AIS,normal,CXCL2,Mast cells,other,False,0,,
AT2,AT2,AIS,normal,CXCL2,Monocyte-derived Mph,macrophages,True,1,23,DPP4
AT2,AT2,AIS,normal,CXCL2,Multiciliated (non-nasal),other,False,4,3;12;19;23,DPP4
AT2,AT2,AIS,normal,CXCL2,Non-classical monocytes,other,False,1,23,DPP4
AT2,AT2,AIS,normal,CXCL2,Pericytes,other,False,1,23,DPP4
AT2,AT2,AIS,normal,CXCL2,Plasma cells,other,False,0,,
AT2,AT2,AIS,normal,CXCL2,NK cells,other,False,0,,
AT2,AT2,AIS,normal,CXCL2,Neuroendocrine,other,False,0,,
AT2,AT2,AIS,normal,CXCL2,Plasmacytoid DCs,other,False,0,,
AT2,AT2,AIS,normal,CXCL2,SMG serous (bronchial),other,False,1,23,DPP4
AT2,AT2,AIS,normal,CXCL2,Smooth muscle,other,False,0,,
AT2,AT2,AIS,normal,CXCL2,Suprabasal,other,False,0,,
AT2,AT2,AIS,normal,CXCL2,Alveolar macrophages,macrophages,True,6,14;17;19;21;22;23,DPP4
AT2,AT2,AIS,normal,CXCL2,Interstitial Mph perivascular,macrophages,True,1,23,DPP4
AT2,AT2,AIS,normal,CXCL2,AT0,other,False,0,,
AT2,AT2,AIS,normal,CXCL2,AT2 proliferating,AT2,False,0,,
AT2,AT2,AIS,normal,CXCL2,Club (non-nasal),other,False,0,,
AT2,AT2,AIS,normal,CXCL2,Mesothelium,other,False,0,,
AT2,AT2,AIS,normal,CXCL2,Migratory DCs,other,False,0,,
AT2,AT2,AIS,normal,CXCL2,Myofibroblasts,fibroblasts,True,0,,
AT2,AT2,AIS,normal,CXCL2,Peribronchial fibroblasts,fibroblasts,True,0,,
