sample_id,gene,endpoint,AF1,AF2,direction
EEM-scRNA-158,Wnt4,expected_detection_1000,0.027169888100735687,0.14593123724935506,AF2>AF1
EEM-scRNA-162,Wnt4,expected_detection_1000,0.03248400543079523,0.1633787268105713,AF2>AF1
EEM-scRNA-166,Wnt4,expected_detection_1000,0.026643886381898498,0.22898305610105824,AF2>AF1
EEM-scRNA-167,Wnt4,expected_detection_1000,0.02927250097771881,0.2339995594067777,AF2>AF1
EEM-scRNA-170,Wnt4,expected_detection_1000,0.03298700119461478,0.171152270415646,AF2>AF1
EEM-scRNA-172,Wnt4,expected_detection_1000,0.025011033730541747,0.1462256292794132,AF2>AF1
EEM-scRNA-179,Wnt4,expected_detection_1000,0.02526004233603523,0.18713945890870967,AF2>AF1
EEM-scRNA-181,Wnt4,expected_detection_1000,0.02826420630993991,0.19528781616753993,AF2>AF1
EEM-scRNA-182,Wnt4,expected_detection_1000,0.026157254688648775,0.19073453012580938,AF2>AF1
EEM-scRNA-236,Wnt4,expected_detection_1000,0.024356666001020762,0.13855228207495968,AF2>AF1
EEM-scRNA-237,Wnt4,expected_detection_1000,0.033973087253590606,0.20981508714329936,AF2>AF1
EEM-scRNA-238,Wnt4,expected_detection_1000,0.026044142749253686,0.25236331285764185,AF2>AF1
EEM-scRNA-239,Wnt4,expected_detection_1000,0.032828589074643456,0.21112602151486382,AF2>AF1
EEM-scRNA-310,Wnt4,expected_detection_1000,0.04267671899574775,0.2738106089650102,AF2>AF1
EEM-scRNA-311,Wnt4,expected_detection_1000,0.038293380468333964,0.20545314687987418,AF2>AF1
EEM-scRNA-312,Wnt4,expected_detection_1000,0.03118530046990987,0.22585783626692577,AF2>AF1
EEM-scRNA-113,Wnt9a,cpm,8.577750308911877,7.417448434825662,AF1>AF2
EEM-scRNA-116,Wnt9a,cpm,8.784688005429505,5.610900858187286,AF1>AF2
EEM-scRNA-118,Wnt9a,cpm,8.647905939743804,0.0,AF1>AF2
EEM-scRNA-124,Wnt9a,cpm,9.313428560922887,0.0,AF1>AF2
EEM-scRNA-125,Wnt9a,cpm,8.032184705010243,0.0,AF1>AF2
EEM-scRNA-158,Wnt9a,cpm,6.6223093350224636,0.0,AF1>AF2
EEM-scRNA-162,Wnt9a,cpm,3.5759763309377544,0.0,AF1>AF2
EEM-scRNA-166,Wnt9a,cpm,7.644125321892253,5.430955359357265,AF1>AF2
EEM-scRNA-167,Wnt9a,cpm,5.087124122572831,0.0,AF1>AF2
EEM-scRNA-170,Wnt9a,cpm,6.140785790969254,0.0,AF1>AF2
EEM-scRNA-172,Wnt9a,cpm,9.468473533809988,4.768739955841468,AF1>AF2
EEM-scRNA-179,Wnt9a,cpm,9.02421106578511,3.1185582281599573,AF1>AF2
EEM-scRNA-181,Wnt9a,cpm,10.443108944862212,4.0254731943739985,AF1>AF2
EEM-scRNA-182,Wnt9a,cpm,8.275691885458405,2.6696994452364553,AF1>AF2
EEM-scRNA-236,Wnt9a,cpm,5.583303274386635,0.0,AF1>AF2
EEM-scRNA-237,Wnt9a,cpm,7.270957672523852,3.1355334326252255,AF1>AF2
EEM-scRNA-238,Wnt9a,cpm,5.767930147414881,2.001437031788824,AF1>AF2
EEM-scRNA-239,Wnt9a,cpm,7.56997764504757,0.0,AF1>AF2
EEM-scRNA-310,Wnt9a,cpm,11.755491651396772,1.7077756734186424,AF1>AF2
EEM-scRNA-311,Wnt9a,cpm,7.686366260976506,2.3862931322483654,AF1>AF2
EEM-scRNA-312,Wnt9a,cpm,6.384600807187668,0.0,AF1>AF2
EEM-scRNA-113,Wnt9a,expected_detection_1000,0.008498121254788273,0.006039615816497349,AF1>AF2
EEM-scRNA-116,Wnt9a,expected_detection_1000,0.010415290705767768,0.006522970796698314,AF1>AF2
EEM-scRNA-118,Wnt9a,expected_detection_1000,0.007963224887259836,0.0,AF1>AF2
EEM-scRNA-124,Wnt9a,expected_detection_1000,0.008802379094226395,0.0,AF1>AF2
EEM-scRNA-125,Wnt9a,expected_detection_1000,0.008474629419158233,0.0,AF1>AF2
EEM-scRNA-158,Wnt9a,expected_detection_1000,0.005761562698998598,0.0,AF1>AF2
EEM-scRNA-162,Wnt9a,expected_detection_1000,0.0039858959400792295,0.0,AF1>AF2
EEM-scRNA-166,Wnt9a,expected_detection_1000,0.006735367038547603,0.0073135420139392214,AF2>AF1
EEM-scRNA-167,Wnt9a,expected_detection_1000,0.005803301364339593,0.0,AF1>AF2
EEM-scRNA-170,Wnt9a,expected_detection_1000,0.005752781119031221,0.0,AF1>AF2
EEM-scRNA-172,Wnt9a,expected_detection_1000,0.010359608417779657,0.0036891633111690845,AF1>AF2
EEM-scRNA-179,Wnt9a,expected_detection_1000,0.008566984121841963,0.0016490737972500115,AF1>AF2
EEM-scRNA-181,Wnt9a,expected_detection_1000,0.010172279891415835,0.0065772165219890955,AF1>AF2
EEM-scRNA-182,Wnt9a,expected_detection_1000,0.007307240606416242,0.0016021635614815518,AF1>AF2
EEM-scRNA-236,Wnt9a,expected_detection_1000,0.005498684874752456,0.0,AF1>AF2
EEM-scRNA-237,Wnt9a,expected_detection_1000,0.007310764276189086,0.003629079084845925,AF1>AF2
EEM-scRNA-238,Wnt9a,expected_detection_1000,0.0056907329122860475,0.0021334698754140783,AF1>AF2
EEM-scRNA-239,Wnt9a,expected_detection_1000,0.0077077472800301736,0.0,AF1>AF2
EEM-scRNA-310,Wnt9a,expected_detection_1000,0.012611187691216741,0.0013882853704952043,AF1>AF2
EEM-scRNA-311,Wnt9a,expected_detection_1000,0.008968070780775083,0.0023177334421177077,AF1>AF2
EEM-scRNA-312,Wnt9a,expected_detection_1000,0.007028268780911822,0.0,AF1>AF2
