annotation	group	category	sources	total_cells	state_cells	equal_source	cell_pooled	weighting_gap_pp	loo_equal_min	loo_equal_max	loo_pooled_min	loo_pooled_max	max_abs_equal_change_pp	max_abs_pooled_change_pp
clusterK12_stringent	6wk_3d	06	5	586	2	0.005263157894736842	0.0034129692832764505	0.18501886114603913	0.0	0.006578947368421052	0.0	0.004901960784313725	0.5263157894736842	0.3412969283276451
clusterK12_stringent	6wk_3d	07	5	586	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
clusterK12_stringent	6wk_3d	08	5	586	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
clusterK12_stringent	6wk_3d	09	5	586	2	0.005263157894736842	0.0034129692832764505	0.18501886114603913	0.0	0.006578947368421052	0.0	0.004901960784313725	0.5263157894736842	0.3412969283276451
clusterK12_stringent	6wk_3d	11	5	586	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
clusterK12_stringent	6wk_3d	12	5	586	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
clusterK12_stringent	6wk_3d	other	5	586	24	0.04095996147543641	0.040955631399317405	0.00043300761190037673	0.038042057107453404	0.04328855943923222	0.03676470588235294	0.04439252336448598	0.2917904367983004	0.4190925516964462
clusterK12_stringent	8wk	01	4	742	88	0.11174709631000103	0.11859838274932614	-0.6851286439325116	0.10466988727858294	0.11759516222975981	0.10382513661202186	0.12417218543046357	0.7077209031418091	1.4773246137304283
clusterK12_stringent	8wk	02	4	742	123	0.16332485353068146	0.16576819407008087	-0.24433405393994023	0.12114811388631924	0.19602734093945937	0.13741721854304637	0.18874172185430463	4.217673964436222	2.83509755270345
clusterK12_stringent	8wk	03	4	742	39	0.04277032582999281	0.05256064690026954	-0.9790321070276733	0.03397745571658615	0.04978072429506287	0.03551912568306011	0.059602649006622516	0.879287011340666	1.7041521217209434
clusterK12_stringent	8wk	04	4	742	25	0.035935733374447526	0.03369272237196765	0.22430110024798736	0.018928803919553226	0.04421060746222633	0.02152317880794702	0.04371584699453552	1.70069294548943	1.2169543564020633
clusterK12_stringent	8wk	05	4	742	163	0.23537426765340733	0.2196765498652291	1.5697717788178216	0.2138323568712098	0.25344588344125807	0.2085889570552147	0.24043715846994534	2.1541910782197524	2.0760608604716237
clusterK12_stringent	8wk	06	4	742	1	0.0006648936170212766	0.0013477088948787063	-0.06828152778574297	0.0	0.0008865248226950354	0.0	0.0016556291390728477	0.06648936170212766	0.13477088948787064
clusterK12_stringent	8wk	07	4	742	3	0.003141381436941104	0.004043126684636119	-0.0901745247695015	0.0017730496453900709	0.004188508582588139	0.00273224043715847	0.004966887417218543	0.1368331791551033	0.1310886247477649
