annotation	group	source_label	category	numerator	denominator	fraction
clusterK12_stringent	Hopx_12wk3d	BQ1151_B0308	05	29	648	0.044753086419753084
clusterK12_stringent	Hopx_12wk3d	BQ1152_B0309	05	17	578	0.029411764705882353
clusterK12_stringent	Hopx_12wk3d	BQ1151_B0308	06	0	648	0.0
clusterK12_stringent	Hopx_12wk3d	BQ1152_B0309	06	1	578	0.0017301038062283738
clusterK12_stringent	Hopx_12wk3d	BQ1151_B0308	07	0	648	0.0
clusterK12_stringent	Hopx_12wk3d	BQ1152_B0309	07	1	578	0.0017301038062283738
clusterK12_stringent	Hopx_12wk3d	BQ1151_B0308	08	28	648	0.043209876543209874
clusterK12_stringent	Hopx_12wk3d	BQ1152_B0309	08	98	578	0.1695501730103806
clusterK12_stringent	Hopx_12wk3d	BQ1151_B0308	09	1	648	0.0015432098765432098
clusterK12_stringent	Hopx_12wk3d	BQ1152_B0309	09	1	578	0.0017301038062283738
clusterK12_stringent	Hopx_12wk3d	BQ1151_B0308	11	2	648	0.0030864197530864196
clusterK12_stringent	Hopx_12wk3d	BQ1152_B0309	11	1	578	0.0017301038062283738
clusterK12_stringent	Hopx_12wk3d	BQ1151_B0308	12	1	648	0.0015432098765432098
clusterK12_stringent	Hopx_12wk3d	BQ1152_B0309	12	0	578	0.0
clusterK12_stringent	Hopx_12wk3d	BQ1151_B0308	other	178	648	0.27469135802469136
clusterK12_stringent	Hopx_12wk3d	BQ1152_B0309	other	178	578	0.3079584775086505
clusterK12_stringent	Hopx_12wk14d	BP1479_B0309	01	15	361	0.04155124653739612
clusterK12_stringent	Hopx_12wk14d	BQ1920_B0308	01	28	550	0.05090909090909091
clusterK12_stringent	Hopx_12wk14d	BP1479_B0309	02	15	361	0.04155124653739612
clusterK12_stringent	Hopx_12wk14d	BQ1920_B0308	02	39	550	0.07090909090909091
clusterK12_stringent	Hopx_12wk14d	BP1479_B0309	03	209	361	0.5789473684210527
clusterK12_stringent	Hopx_12wk14d	BQ1920_B0308	03	345	550	0.6272727272727273
clusterK12_stringent	Hopx_12wk14d	BP1479_B0309	04	2	361	0.00554016620498615
clusterK12_stringent	Hopx_12wk14d	BQ1920_B0308	04	2	550	0.0036363636363636364
clusterK12_stringent	Hopx_12wk14d	BP1479_B0309	05	12	361	0.0332409972299169
clusterK12_stringent	Hopx_12wk14d	BQ1920_B0308	05	8	550	0.014545454545454545
clusterK12_stringent	Hopx_12wk14d	BP1479_B0309	06	1	361	0.002770083102493075
clusterK12_stringent	Hopx_12wk14d	BQ1920_B0308	06	0	550	0.0
clusterK12_stringent	Hopx_12wk14d	BP1479_B0309	07	3	361	0.008310249307479225
clusterK12_stringent	Hopx_12wk14d	BQ1920_B0308	07	1	550	0.0018181818181818182
clusterK12_stringent	Hopx_12wk14d	BP1479_B0309	08	18	361	0.04986149584487535
clusterK12_stringent	Hopx_12wk14d	BQ1920_B0308	08	12	550	0.02181818181818182
clusterK12_stringent	Hopx_12wk14d	BP1479_B0309	09	20	361	0.055401662049861494
clusterK12_stringent	Hopx_12wk14d	BQ1920_B0308	09	27	550	0.04909090909090909
clusterK12_stringent	Hopx_12wk14d	BP1479_B0309	11	0	361	0.0
clusterK12_stringent	Hopx_12wk14d	BQ1920_B0308	11	0	550	0.0
clusterK12_stringent	Hopx_12wk14d	BP1479_B0309	12	0	361	0.0
clusterK12_stringent	Hopx_12wk14d	BQ1920_B0308	12	0	550	0.0
clusterK12_stringent	Hopx_12wk14d	BP1479_B0309	other	66	361	0.18282548476454294
clusterK12_stringent	Hopx_12wk14d	BQ1920_B0308	other	88	550	0.16
