level	unit	left	right	left_category	right_category	cells
group	12wk_3d	cell type	clusterK12	AT2-like	12	0
group	12wk_3d	cell type	clusterK12	EMT	01	0
group	12wk_3d	cell type	clusterK12	EMT	02	0
group	12wk_3d	cell type	clusterK12	EMT	03	0
group	12wk_3d	cell type	clusterK12	EMT	04	0
group	12wk_3d	cell type	clusterK12	EMT	05	0
group	12wk_3d	cell type	clusterK12	EMT	06	0
group	12wk_3d	cell type	clusterK12	EMT	07	0
group	12wk_3d	cell type	clusterK12	EMT	08	0
group	12wk_3d	cell type	clusterK12	EMT	09	0
group	12wk_3d	cell type	clusterK12	EMT	10	0
group	12wk_3d	cell type	clusterK12	EMT	11	4
group	12wk_3d	cell type	clusterK12	EMT	12	0
group	12wk_3d	cell type	clusterK12	HPCS	01	0
group	12wk_3d	cell type	clusterK12	HPCS	02	2
group	12wk_3d	cell type	clusterK12	HPCS	03	5
group	12wk_3d	cell type	clusterK12	HPCS	04	0
group	12wk_3d	cell type	clusterK12	HPCS	05	507
group	12wk_3d	cell type	clusterK12	HPCS	06	2
group	12wk_3d	cell type	clusterK12	HPCS	07	0
group	12wk_3d	cell type	clusterK12	HPCS	08	9
group	12wk_3d	cell type	clusterK12	HPCS	09	53
group	12wk_3d	cell type	clusterK12	HPCS	10	2
group	12wk_3d	cell type	clusterK12	HPCS	11	6
group	12wk_3d	cell type	clusterK12	HPCS	12	0
group	12wk_3d	cell type	clusterK12	Highly proliferative	01	1
group	12wk_3d	cell type	clusterK12	Highly proliferative	02	0
group	12wk_3d	cell type	clusterK12	Highly proliferative	03	0
group	12wk_3d	cell type	clusterK12	Highly proliferative	04	0
group	12wk_3d	cell type	clusterK12	Highly proliferative	05	8
group	12wk_3d	cell type	clusterK12	Highly proliferative	06	4
group	12wk_3d	cell type	clusterK12	Highly proliferative	07	8
group	12wk_3d	cell type	clusterK12	Highly proliferative	08	0
group	12wk_3d	cell type	clusterK12	Highly proliferative	09	13
group	12wk_3d	cell type	clusterK12	Highly proliferative	10	0
group	12wk_3d	cell type	clusterK12	Highly proliferative	11	0
group	12wk_3d	cell type	clusterK12	Highly proliferative	12	0
group	12wk_3d	cell type	clusterK12	Hybrid lung/gastric-like	01	0
group	12wk_3d	cell type	clusterK12	Hybrid lung/gastric-like	02	0
group	12wk_3d	cell type	clusterK12	Hybrid lung/gastric-like	03	0
group	12wk_3d	cell type	clusterK12	Hybrid lung/gastric-like	04	0
group	12wk_3d	cell type	clusterK12	Hybrid lung/gastric-like	05	0
group	12wk_3d	cell type	clusterK12	Hybrid lung/gastric-like	06	0
group	12wk_3d	cell type	clusterK12	Hybrid lung/gastric-like	07	0
group	12wk_3d	cell type	clusterK12	Hybrid lung/gastric-like	08	15
group	12wk_3d	cell type	clusterK12	Hybrid lung/gastric-like	09	7
group	12wk_3d	cell type	clusterK12	Hybrid lung/gastric-like	10	0
group	12wk_3d	cell type	clusterK12	Hybrid lung/gastric-like	11	0
group	12wk_3d	cell type	clusterK12	Hybrid lung/gastric-like	12	0
group	12wk_3d	cell type	clusterK12	Lung endoderm-like	01	6
group	12wk_3d	cell type	clusterK12	Lung endoderm-like	02	0
group	12wk_3d	cell type	clusterK12	Lung endoderm-like	03	1
group	12wk_3d	cell type	clusterK12	Lung endoderm-like	04	2
group	12wk_3d	cell type	clusterK12	Lung endoderm-like	05	3
group	12wk_3d	cell type	clusterK12	Lung endoderm-like	06	4
group	12wk_3d	cell type	clusterK12	Lung endoderm-like	07	0
group	12wk_3d	cell type	clusterK12	Lung endoderm-like	08	5
group	12wk_3d	cell type	clusterK12	Lung endoderm-like	09	6
group	12wk_3d	cell type	clusterK12	Lung endoderm-like	10	1
group	12wk_3d	cell type	clusterK12	Lung endoderm-like	11	0
group	12wk_3d	cell type	clusterK12	Lung endoderm-like	12	0
group	12wk_3d	cell type	clusterK12	Ribosome	01	0
group	12wk_3d	cell type	clusterK12	Ribosome	02	1
group	12wk_3d	cell type	clusterK12	Ribosome	03	0
group	12wk_3d	cell type	clusterK12	Ribosome	04	0
group	12wk_3d	cell type	clusterK12	Ribosome	05	0
group	12wk_3d	cell type	clusterK12	Ribosome	06	3
group	12wk_3d	cell type	clusterK12	Ribosome	07	0
group	12wk_3d	cell type	clusterK12	Ribosome	08	0
group	12wk_3d	cell type	clusterK12	Ribosome	09	2
group	12wk_3d	cell type	clusterK12	Ribosome	10	0
group	12wk_3d	cell type	clusterK12	Ribosome	11	1
group	12wk_3d	cell type	clusterK12	Ribosome	12	0
group	12wk_3d	cell type	clusterK12_stringent	AT1-like	01	0
group	12wk_3d	cell type	clusterK12_stringent	AT1-like	02	1
group	12wk_3d	cell type	clusterK12_stringent	AT1-like	03	45
group	12wk_3d	cell type	clusterK12_stringent	AT1-like	04	0
group	12wk_3d	cell type	clusterK12_stringent	AT1-like	05	0
group	12wk_3d	cell type	clusterK12_stringent	AT1-like	06	0
group	12wk_3d	cell type	clusterK12_stringent	AT1-like	07	0
group	12wk_3d	cell type	clusterK12_stringent	AT1-like	08	0
group	12wk_3d	cell type	clusterK12_stringent	AT1-like	09	0
group	12wk_3d	cell type	clusterK12_stringent	AT1-like	11	0
group	12wk_3d	cell type	clusterK12_stringent	AT1-like	12	0
group	12wk_3d	cell type	clusterK12_stringent	AT1-like	other	8
group	12wk_3d	cell type	clusterK12_stringent	AT2-like	01	15
group	12wk_3d	cell type	clusterK12_stringent	AT2-like	02	23
group	12wk_3d	cell type	clusterK12_stringent	AT2-like	03	0
group	12wk_3d	cell type	clusterK12_stringent	AT2-like	04	1
group	12wk_3d	cell type	clusterK12_stringent	AT2-like	05	15
group	12wk_3d	cell type	clusterK12_stringent	AT2-like	06	2
group	12wk_3d	cell type	clusterK12_stringent	AT2-like	07	0
group	12wk_3d	cell type	clusterK12_stringent	AT2-like	08	9
group	12wk_3d	cell type	clusterK12_stringent	AT2-like	09	29
group	12wk_3d	cell type	clusterK12_stringent	AT2-like	11	0
group	12wk_3d	cell type	clusterK12_stringent	AT2-like	12	0
group	12wk_3d	cell type	clusterK12_stringent	AT2-like	other	48
group	12wk_3d	cell type	clusterK12_stringent	EMT	01	0
group	12wk_3d	cell type	clusterK12_stringent	EMT	02	0
group	12wk_3d	cell type	clusterK12_stringent	EMT	03	0
group	12wk_3d	cell type	clusterK12_stringent	EMT	04	0
group	12wk_3d	cell type	clusterK12_stringent	EMT	05	0
group	12wk_3d	cell type	clusterK12_stringent	EMT	06	0
group	12wk_3d	cell type	clusterK12_stringent	EMT	07	0
group	12wk_3d	cell type	clusterK12_stringent	EMT	08	0
group	12wk_3d	cell type	clusterK12_stringent	EMT	09	0
group	12wk_3d	cell type	clusterK12_stringent	EMT	11	2
group	12wk_3d	cell type	clusterK12_stringent	EMT	12	0
group	12wk_3d	cell type	clusterK12_stringent	EMT	other	2
group	12wk_3d	cell type	clusterK12_stringent	HPCS	01	0
group	12wk_3d	cell type	clusterK12_stringent	HPCS	02	0
group	12wk_3d	cell type	clusterK12_stringent	HPCS	03	5
group	12wk_3d	cell type	clusterK12_stringent	HPCS	04	0
group	12wk_3d	cell type	clusterK12_stringent	HPCS	05	485
group	12wk_3d	cell type	clusterK12_stringent	HPCS	06	0
group	12wk_3d	cell type	clusterK12_stringent	HPCS	07	0
group	12wk_3d	cell type	clusterK12_stringent	HPCS	08	4
group	12wk_3d	cell type	clusterK12_stringent	HPCS	09	35
group	12wk_3d	cell type	clusterK12_stringent	HPCS	11	1
group	12wk_3d	cell type	clusterK12_stringent	HPCS	12	0
group	12wk_3d	cell type	clusterK12_stringent	HPCS	other	56
group	12wk_3d	cell type	clusterK12_stringent	Highly proliferative	01	1
group	12wk_3d	cell type	clusterK12_stringent	Highly proliferative	02	0
group	12wk_3d	cell type	clusterK12_stringent	Highly proliferative	03	0
group	12wk_3d	cell type	clusterK12_stringent	Highly proliferative	04	0
group	12wk_3d	cell type	clusterK12_stringent	Highly proliferative	05	6
group	12wk_3d	cell type	clusterK12_stringent	Highly proliferative	06	1
group	12wk_3d	cell type	clusterK12_stringent	Highly proliferative	07	5
group	12wk_3d	cell type	clusterK12_stringent	Highly proliferative	08	0
group	12wk_3d	cell type	clusterK12_stringent	Highly proliferative	09	3
group	12wk_3d	cell type	clusterK12_stringent	Highly proliferative	11	0
group	12wk_3d	cell type	clusterK12_stringent	Highly proliferative	12	0
group	12wk_3d	cell type	clusterK12_stringent	Highly proliferative	other	18
