resource,ligand,receptor
consensus,WNT9B,FZD7_LRP6
consensus,WNT9B,FZD5_LRP5
consensus,WNT9B,FZD2_LRP5
consensus,WNT9B,FZD8_LRP5
consensus,WNT9B,FZD3_LRP5
consensus,WNT9B,FZD4_LRP5
consensus,WNT9B,FZD10_LRP5
consensus,WNT9B,FZD1_LRP5
consensus,WNT9B,FZD5_LRP6
consensus,WNT9B,FZD2_LRP6
consensus,WNT9B,FZD8_LRP6
consensus,WNT9B,FZD3_LRP6
consensus,WNT9B,FZD4_LRP6
consensus,WNT9B,FZD10_LRP6
consensus,WNT9B,FZD1_LRP6
consensus,FGF10,FGFR1
consensus,FGF10,FGFR2
consensus,FGF10,FGFRL1
consensus,WNT11,FZD9
consensus,WNT11,MUSK
consensus,WNT11,FZD6
consensus,WNT11,FZD7
consensus,WNT11,FZD5
consensus,WNT11,FZD2
consensus,WNT11,FZD8
consensus,WNT11,FZD3
consensus,WNT11,FZD4
consensus,WNT11,FZD10
consensus,TGFB1,ITGAV_ITGB6
consensus,TGFB1,ACVR1B_TGFBR2
consensus,TGFB1,TGFBR1_TGFBR2
consensus,TGFB1,ACVR1_TGFBR1_TGFBR2
consensus,TGFB1,ACVR1_TGFBR2
consensus,TGFB1,ACVR1C_TGFBR2
consensus,TGFB1,EGFR
consensus,TGFB1,ITGB3
consensus,TGFB1,ITGB1
consensus,TGFB1,ITGB5
consensus,TGFB1,ITGB8
consensus,TGFB1,SDC2
consensus,TGFB1,ACVRL1
consensus,TGFB1,CXCR4
consensus,TGFB1,TGFBR3
consensus,TGFB1,VASN
consensus,IL1A,IL1R1_IL1RAP
consensus,IL1A,IL1R2_IL1RAP
consensus,IL1B,IL1R1_IL1RAP
consensus,IL1B,IL1R2_IL1RAP
consensus,IL1B,ADRB2
consensus,IL1B,SIGIRR
consensus,WNT1,FZD9_LRP5
consensus,WNT1,FZD9_LRP6
consensus,WNT1,FZD6_LRP5
consensus,WNT1,FZD6_LRP6
consensus,WNT1,FZD7_LRP5
consensus,WNT1,FZD7_LRP6
consensus,WNT1,FZD5_LRP5
consensus,WNT1,FZD2_LRP5
consensus,WNT1,FZD8_LRP5
consensus,WNT1,FZD3_LRP5
consensus,WNT1,FZD4_LRP5
consensus,WNT1,FZD10_LRP5
consensus,WNT1,FZD1_LRP5
consensus,WNT1,FZD5_LRP6
consensus,WNT1,FZD2_LRP6
consensus,WNT1,FZD8_LRP6
consensus,WNT1,FZD3_LRP6
consensus,WNT1,FZD4_LRP6
consensus,WNT1,FZD10_LRP6
consensus,WNT1,FZD1_LRP6
consensus,WNT1,CD36
consensus,WNT1,RYK
consensus,WNT1,ROR2
consensus,CXCL1,ADRA2A
consensus,CXCL1,CXCR1
consensus,CXCL1,CXCR2
consensus,CXCL1,MTNR1A
consensus,CXCL1,GRM7
consensus,CXCL1,ACKR1
consensus,WNT2,FZD9_LRP5
consensus,WNT2,FZD9_LRP6
consensus,WNT2,FZD6_LRP5
consensus,WNT2,FZD6_LRP6
consensus,WNT2,FZD7_LRP5
