case,reference,module,section_weighting,n_patients,eligible_primary_count,mean_paired_difference,loo_min,loo_max
LUAD,AIS,HALLMARK_INTERFERON_GAMMA_RESPONSE,equal_sections,12,True,0.020275804945302834,0.0005538387000684108,0.02651554647166747
LUAD,AIS,HALLMARK_OXIDATIVE_PHOSPHORYLATION,equal_sections,12,True,0.026509150166890937,0.0063509915720203584,0.0289559619075372
LUAD,AIS,HALLMARK_P53_PATHWAY,equal_sections,12,True,0.02023480246414421,0.0062234552833481975,0.024860500601564153
LUAD,AIS,HALLMARK_TGF_BETA_SIGNALING,equal_sections,12,True,0.01710431039120205,0.007708463390030471,0.018669451247964017
LUAD,AIS,HALLMARK_TNFA_SIGNALING_VIA_NFKB,equal_sections,12,True,0.009623777358242032,-0.002638990336201702,0.02150953292439142
LUAD,AIS,HALLMARK_WNT_BETA_CATENIN_SIGNALING,equal_sections,12,True,0.007960571317577209,0.0025288598226120913,0.008985909976106841
LUAD,AIS,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,equal_sections,12,True,0.012963971042235659,0.001529873797537344,0.01871369277507916
LUAD,AIS,GENE_AGER,spot_weighted,12,True,-0.2513561937155891,-0.28726425961196567,-0.03182582218049221
LUAD,AIS,GENE_AQP5,spot_weighted,12,True,-0.02811201111413956,-0.0368849344395742,-0.006115379387692446
LUAD,AIS,GENE_AREG,spot_weighted,12,True,0.10825227045598106,0.037987016119972704,0.11818442319639483
LUAD,AIS,GENE_C1QA,spot_weighted,12,True,0.02638788008365474,-0.01738583406696936,0.051202069148106565
LUAD,AIS,GENE_CCL2,spot_weighted,12,True,-0.0325941702841984,-0.049388156903635544,0.02090998143575631
LUAD,AIS,GENE_CD3D,spot_weighted,12,True,0.019634003144814716,0.002442578596695272,0.02149718139812246
LUAD,AIS,GENE_CD8A,spot_weighted,12,True,-0.04834724790176354,-0.11086003484146731,-0.015903189055120094
LUAD,AIS,GENE_CLDN4,spot_weighted,12,True,0.056945299789876495,0.030419972351719147,0.061782571760210965
LUAD,AIS,GENE_COL1A1,spot_weighted,12,True,0.22669579198677303,0.0412271426110999,0.26857059811381606
LUAD,AIS,GENE_CXCL12,spot_weighted,12,True,-0.022905168975214368,-0.026800796986453327,-0.00622754751568123
LUAD,AIS,GENE_FGF10,spot_weighted,12,True,-0.00023529094400153903,-0.0028692051019876155,0.002625180473249939
