resource,family,view,ligand,receptor,human_ligand,human_receptor,source,source_label,target,target_label,cell_floor,prior_count,n_control,n_antiIL1B,difference_antiIL1B_minus_IgG,ligand_component_difference,receptor_component_difference,loo_min,loo_max,inference
consensus,exploratory,broad,Wnt9b,Fzd2_Lrp6,WNT9B,FZD2_LRP6,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.03169900436101192,8.881784197001252e-16,-0.06339800872202517,-0.06532921811045855,0.00013591718877892234,descriptive_no_p_value
consensus,exploratory,broad,Wnt9b,Fzd8_Lrp6,WNT9B,FZD8_LRP6,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,0.15232465673864537,8.881784197001252e-16,0.3046493134772894,0.060406074770901264,0.2226975968176012,descriptive_no_p_value
consensus,exploratory,broad,Wnt9b,Fzd3_Lrp6,WNT9B,FZD3_LRP6,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.267355361455715,8.881784197001252e-16,-0.5347107229114307,-0.4787729246851375,-0.08714800807291495,descriptive_no_p_value
consensus,exploratory,broad,Wnt9b,Fzd4_Lrp6,WNT9B,FZD4_LRP6,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.16319342525223524,8.881784197001252e-16,-0.32638685050447136,-0.6126862956523825,0.3820892249030323,descriptive_no_p_value
consensus,exploratory,broad,Wnt9b,Fzd10_Lrp6,WNT9B,FZD10_LRP6,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.13139984154674367,8.881784197001252e-16,-0.26279968309348856,-0.36465996670110656,0.05805744906687438,descriptive_no_p_value
consensus,exploratory,broad,Wnt9b,Fzd1_Lrp6,WNT9B,FZD1_LRP6,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,0.04090221388185844,8.881784197001252e-16,0.0818044277637151,-0.07782141078190485,0.14013160561014515,descriptive_no_p_value
consensus,exploratory,broad,Fgf10,Fgfr1,FGF10,FGFR1,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,0.37879042042832234,0.05787573661589551,0.6997051042407492,0.15310609614227388,0.6533434510796732,descriptive_no_p_value
consensus,exploratory,broad,Fgf10,Fgfr2,FGF10,FGFR2,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,0.10436441836596266,0.05787573661589551,0.15085310011602981,0.04546616666451797,0.2214189460766658,descriptive_no_p_value
consensus,exploratory,broad,Fgf10,Fgfrl1,FGF10,FGFRL1,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,0.20815590573781773,0.05787573661589551,0.35843607485973994,0.06469065529834417,0.47124877497642004,descriptive_no_p_value
consensus,exploratory,broad,Wnt11,Fzd9,WNT11,FZD9,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-1.2249850604538413,-0.5824786094976373,-1.867491511410044,-1.66929663769533,-0.8238833073876197,descriptive_no_p_value
consensus,exploratory,broad,Wnt11,Musk,WNT11,MUSK,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,0.13649429172745497,-0.5824786094976373,0.8554671929525484,-0.35539002178100243,0.4150161955576248,descriptive_no_p_value
consensus,exploratory,broad,Wnt11,Fzd6,WNT11,FZD6,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.49936281566548324,-0.5824786094976373,-0.4162470218333296,-0.613465446169724,-0.3815063933128906,descriptive_no_p_value
consensus,exploratory,broad,Wnt11,Fzd7,WNT11,FZD7,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.3642927451344562,-0.5824786094976373,-0.1461068807712751,-0.5388870103513161,-0.25163276038555704,descriptive_no_p_value
consensus,exploratory,broad,Wnt11,Fzd5,WNT11,FZD5,fibroblast,__broad__,alveolar,__broad__,30,0.5,4,3,-0.09939851705373126,-0.5824786094976373,0.38368157539017567,-0.299835206613678,0.04223573266285641,descriptive_no_p_value
