gene	supplied_set	source_cell	evidence
TNIK	ATF3 _HNF1B_common	C303	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DCLK3	ATF3_unique	A304	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ZFHX3	HNF1B_unique	B304	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
TP63	ATF3 _HNF1B_common	C304	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DCN	ATF3_unique	A305	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ZMAT4	HNF1B_unique	B305	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
TRABD2B	ATF3 _HNF1B_common	C305	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DCP1A	ATF3_unique	A306	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ZNF143	HNF1B_unique	B306	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
TRIM37	ATF3 _HNF1B_common	C306	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DDIT4	ATF3_unique	A307	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ZNF250	HNF1B_unique	B307	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
TTLL11	ATF3 _HNF1B_common	C307	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DDR1	ATF3_unique	A308	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ZNF277	HNF1B_unique	B308	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
UBE2R2	ATF3 _HNF1B_common	C308	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DDX1	ATF3_unique	A309	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ZNF341	HNF1B_unique	B309	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
UFM1	ATF3 _HNF1B_common	C309	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DDX18	ATF3_unique	A310	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ZNF484	HNF1B_unique	B310	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
UNC13C	ATF3 _HNF1B_common	C310	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DDX28	ATF3_unique	A311	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ZNF519	HNF1B_unique	B311	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
UPP1	ATF3 _HNF1B_common	C311	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DDX47	ATF3_unique	A312	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ZNF608	HNF1B_unique	B312	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
USP25	ATF3 _HNF1B_common	C312	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DDX58	ATF3_unique	A313	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ZNF609	HNF1B_unique	B313	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
VCPKMT	ATF3 _HNF1B_common	C313	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DENND1B	ATF3_unique	A314	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ZNF710	HNF1B_unique	B314	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
VPS41	ATF3 _HNF1B_common	C314	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DENND2C	ATF3_unique	A315	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ZNRF3	HNF1B_unique	B315	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
WDR1	ATF3 _HNF1B_common	C315	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DENND4C	ATF3_unique	A316	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ZNF608	HNF1B_unique	B316	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
WDR11	ATF3 _HNF1B_common	C316	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DGKD	ATF3_unique	A317	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ZNF609	HNF1B_unique	B317	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
WDR72	ATF3 _HNF1B_common	C317	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DGKH	ATF3_unique	A318	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ZNF710	HNF1B_unique	B318	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
WWTR1	ATF3 _HNF1B_common	C318	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DGKK	ATF3_unique	A319	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ZNRF3	HNF1B_unique	B319	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
XXYLT1	ATF3 _HNF1B_common	C319	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DHX36	ATF3_unique	A320	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ZBED5	ATF3 _HNF1B_common	C320	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DHX8	ATF3_unique	A321	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ZBTB20	ATF3 _HNF1B_common	C321	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DIAPH3	ATF3_unique	A322	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ZFP36L1	ATF3 _HNF1B_common	C322	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DIO2	ATF3_unique	A323	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ZFP36L2	ATF3 _HNF1B_common	C323	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DIRAS2	ATF3_unique	A324	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ZFPM2	ATF3 _HNF1B_common	C324	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DISC1	ATF3_unique	A325	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ZNF217	ATF3 _HNF1B_common	C325	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DKK2	ATF3_unique	A326	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ZNHIT6	ATF3 _HNF1B_common	C326	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DLC1	ATF3_unique	A327	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ZPLD1	ATF3 _HNF1B_common	C327	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DLG1	ATF3_unique	A328	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DLG5	ATF3_unique	A329	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DMRT1	ATF3_unique	A330	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DMRTA2	ATF3_unique	A331	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DNAAF4	ATF3_unique	A332	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DNAH17	ATF3_unique	A333	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DNAH2	ATF3_unique	A334	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DNAJA4	ATF3_unique	A335	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DNAJB1	ATF3_unique	A336	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DNAJB12	ATF3_unique	A337	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DNAJC3	ATF3_unique	A338	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DNAL1	ATF3_unique	A339	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DOCK11	ATF3_unique	A340	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DOCK3	ATF3_unique	A341	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DOCK5	ATF3_unique	A342	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DOK6	ATF3_unique	A343	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DPF3	ATF3_unique	A344	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DPH6	ATF3_unique	A345	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DPP9	ATF3_unique	A346	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DPT	ATF3_unique	A347	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DPYD	ATF3_unique	A348	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DPYSL3	ATF3_unique	A349	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DRAM1	ATF3_unique	A350	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DRD5	ATF3_unique	A351	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DSE	ATF3_unique	A352	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DST	ATF3_unique	A353	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DTL	ATF3_unique	A354	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DUSP10	ATF3_unique	A355	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DUSP4	ATF3_unique	A356	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DUSP5	ATF3_unique	A357	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DUSP6	ATF3_unique	A358	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DVL1	ATF3_unique	A359	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DYM	ATF3_unique	A360	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DYRK2	ATF3_unique	A361	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
E2F7	ATF3_unique	A362	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
E2F8	ATF3_unique	A363	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
EBF2	ATF3_unique	A364	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
EBI3	ATF3_unique	A365	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
EDN2	ATF3_unique	A366	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
EED	ATF3_unique	A367	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
EFCAB1	ATF3_unique	A368	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
EFEMP1	ATF3_unique	A369	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
EFHC2	ATF3_unique	A370	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
EFHD2	ATF3_unique	A371	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
EFNB1	ATF3_unique	A372	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
EFNB2	ATF3_unique	A373	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
EGF	ATF3_unique	A374	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
EGFR	ATF3_unique	A375	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
EHD2	ATF3_unique	A376	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
EHHADH	ATF3_unique	A377	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
EIF2AK2	ATF3_unique	A378	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
EIF2AK4	ATF3_unique	A379	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
EIF3H	ATF3_unique	A380	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
EIF5	ATF3_unique	A381	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
EIF5A2	ATF3_unique	A382	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ELF2	ATF3_unique	A383	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ELK3	ATF3_unique	A384	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ELOVL6	ATF3_unique	A385	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ENPEP	ATF3_unique	A386	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
EPAS1	ATF3_unique	A387	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
EPB41L1	ATF3_unique	A388	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
EPG5	ATF3_unique	A389	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
EPHA3	ATF3_unique	A390	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
EPHA7	ATF3_unique	A391	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
EPM2A	ATF3_unique	A392	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
EPS15	ATF3_unique	A393	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ERAP1	ATF3_unique	A394	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ERBIN	ATF3_unique	A395	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
EREG	ATF3_unique	A396	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ERP27	ATF3_unique	A397	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ESR1	ATF3_unique	A398	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ETS1	ATF3_unique	A399	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
EVC	ATF3_unique	A400	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
EXOC2	ATF3_unique	A401	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
EXOC4	ATF3_unique	A402	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
EXOSC3	ATF3_unique	A403	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
F11	ATF3_unique	A404	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
F2RL3	ATF3_unique	A405	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
F3	ATF3_unique	A406	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FABP5	ATF3_unique	A407	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FADD	ATF3_unique	A408	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FAF1	ATF3_unique	A409	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FAM120B	ATF3_unique	A410	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FAM126A	ATF3_unique	A411	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FAM129B	ATF3_unique	A412	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FAM13A	ATF3_unique	A413	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FAM155A	ATF3_unique	A414	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FAM173B	ATF3_unique	A415	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FAM220A	ATF3_unique	A416	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FAM26F	ATF3_unique	A417	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FAM46A	ATF3_unique	A418	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FAM49B	ATF3_unique	A419	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FAM81B	ATF3_unique	A420	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FAM92B	ATF3_unique	A421	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FAM98B	ATF3_unique	A422	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FANCL	ATF3_unique	A423	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FANK1	ATF3_unique	A424	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FAT4	ATF3_unique	A425	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FBLN2	ATF3_unique	A426	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FBXO15	ATF3_unique	A427	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FBXO17	ATF3_unique	A428	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FBXO7	ATF3_unique	A429	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FEM1A	ATF3_unique	A430	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FERMT1	ATF3_unique	A431	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FGD3	ATF3_unique	A432	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FGFBP1	ATF3_unique	A433	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FHIT	ATF3_unique	A434	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FHL2	ATF3_unique	A435	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FHOD3	ATF3_unique	A436	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FIGNL1	ATF3_unique	A437	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FILIP1L	ATF3_unique	A438	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FLT1	ATF3_unique	A439	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FLVCR2	ATF3_unique	A440	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FMN1	ATF3_unique	A441	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FN1	ATF3_unique	A442	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FNBP1L	ATF3_unique	A443	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FNTB	ATF3_unique	A444	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FOXE1	ATF3_unique	A445	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FOXI1	ATF3_unique	A446	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FOXK1	ATF3_unique	A447	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FOXP2	ATF3_unique	A448	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FOXQ1	ATF3_unique	A449	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FRAS1	ATF3_unique	A450	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FRMD3	ATF3_unique	A451	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FRMD4B	ATF3_unique	A452	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FRMD5	ATF3_unique	A453	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FRMPD3	ATF3_unique	A454	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FRS2	ATF3_unique	A455	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FUNDC1	ATF3_unique	A456	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FUT8	ATF3_unique	A457	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FZD1	ATF3_unique	A458	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FZD5	ATF3_unique	A459	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FZR1	ATF3_unique	A460	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
G2E3	ATF3_unique	A461	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GABBR2	ATF3_unique	A462	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GADD45G	ATF3_unique	A463	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GALM	ATF3_unique	A464	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GALNT17	ATF3_unique	A465	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GALNT5	ATF3_unique	A466	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GALNT7	ATF3_unique	A467	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GAS6	ATF3_unique	A468	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GC	ATF3_unique	A469	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GCC2	ATF3_unique	A470	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GCLC	ATF3_unique	A471	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GCOM1	ATF3_unique	A472	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GCSH	ATF3_unique	A473	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GEMIN8	ATF3_unique	A474	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GIMD1	ATF3_unique	A475	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GIPC1	ATF3_unique	A476	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GJA1	ATF3_unique	A477	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GLIS3	ATF3_unique	A478	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GLRA1	ATF3_unique	A479	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GLRA2	ATF3_unique	A480	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GLS	ATF3_unique	A481	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GM2A	ATF3_unique	A482	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GMNC	ATF3_unique	A483	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GMNN	ATF3_unique	A484	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GNG2	ATF3_unique	A485	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GNGT1	ATF3_unique	A486	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GNRH1	ATF3_unique	A487	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GOLGA6L10	ATF3_unique	A488	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GOLGA6L9	ATF3_unique	A489	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GOLGA7B	ATF3_unique	A490	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GOLIM4	ATF3_unique	A491	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GPATCH11	ATF3_unique	A492	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GPD2	ATF3_unique	A493	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GPR12	ATF3_unique	A494	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GPR149	ATF3_unique	A495	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GPR37	ATF3_unique	A496	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GPR39	ATF3_unique	A497	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GPR85	ATF3_unique	A498	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GPR88	ATF3_unique	A499	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GPX3	ATF3_unique	A500	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GRAMD2B	ATF3_unique	A501	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GRB14	ATF3_unique	A502	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GREM1	ATF3_unique	A503	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GRHL3	ATF3_unique	A504	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GRID2	ATF3_unique	A505	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GRIP1	ATF3_unique	A506	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GSE1	ATF3_unique	A507	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GSK3B	ATF3_unique	A508	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GSTCD	ATF3_unique	A509	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GTDC1	ATF3_unique	A510	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GTF2I	ATF3_unique	A511	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GTF2IRD1	ATF3_unique	A512	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
GXYLT2	ATF3_unique	A513	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
H2BFS	ATF3_unique	A514	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
HACE1	ATF3_unique	A515	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
HCAR3	ATF3_unique	A516	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
HCCS	ATF3_unique	A517	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
HDAC2	ATF3_unique	A518	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
HDAC7	ATF3_unique	A519	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
HECTD1	ATF3_unique	A520	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
HELB	ATF3_unique	A521	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
HES6	ATF3_unique	A522	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
HHAT	ATF3_unique	A523	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
HHIPL2	ATF3_unique	A524	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
HHLA1	ATF3_unique	A525	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
HHLA2	ATF3_unique	A526	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
HIGD1C	ATF3_unique	A527	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
HINT1	ATF3_unique	A528	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
HIVEP3	ATF3_unique	A529	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
HK1	ATF3_unique	A530	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
HLA-F	ATF3_unique	A531	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
HLA-G	ATF3_unique	A532	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
HLX	ATF3_unique	A533	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
HMGA2	ATF3_unique	A534	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
HNF4A	ATF3_unique	A535	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
HNF4G	ATF3_unique	A536	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
HNMT	ATF3_unique	A537	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
HNRNPD	ATF3_unique	A538	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
HNRNPLL	ATF3_unique	A539	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
HS3ST1	ATF3_unique	A540	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
HS3ST5	ATF3_unique	A541	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
HS6ST2	ATF3_unique	A542	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
HSF2	ATF3_unique	A543	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
HSPB1	ATF3_unique	A544	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
HSPG2	ATF3_unique	A545	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
