comp,label,case,reference,direction,scope,ligand,primary_pearson,primary_rank,planned_omissions,eligible_omissions,complete_omission_coverage,min_rank,max_rank,minimum_pearson,maximum_pearson
AT2,AT2,LUAD,normal,up,source_agnostic_planned_panel,FGF10,0.0365083620190549,17.0,23,20,False,12.0,19.0,0.0294952238794122,0.0419991857563223
AT2,AT2,LUAD,normal,up,source_agnostic_planned_panel,FGF7,0.0694539165934315,1.0,23,23,True,1.0,1.0,0.0585907419843591,0.0757630541134917
AT2,AT2,LUAD,normal,up,source_agnostic_planned_panel,HBEGF,0.0127413925237332,20.0,23,23,True,19.0,21.0,-0.0003918433136065,0.0166289916837729
AT2,AT2,LUAD,normal,up,source_agnostic_planned_panel,TGFB1,0.0508949270295232,3.0,23,23,True,2.0,5.0,0.0386798590200832,0.0655370757204536
AT2,AT2,LUAD,normal,up,source_agnostic_planned_panel,VEGFA,0.0057022353206036,21.0,23,23,True,19.0,21.0,0.0006502177859918,0.0229316197549273
AT2,AT2,LUAD,normal,up,source_agnostic_planned_panel,WNT10A,0.0421391000572744,12.0,23,23,True,10.0,13.0,0.035607485900768,0.0500995499886352
AT2,AT2,LUAD,normal,up,source_agnostic_planned_panel,WNT10B,0.0367498889256159,16.0,23,23,True,15.0,19.0,0.0306936080291105,0.0445937332496517
AT2,AT2,LUAD,normal,up,source_agnostic_planned_panel,WNT11,0.0371144253667933,15.0,23,23,True,14.0,18.0,0.0310866371089819,0.0456996312050544
AT2,AT2,LUAD,normal,up,source_agnostic_planned_panel,WNT2,0.0475851632271967,5.0,23,23,True,3.0,7.0,0.0405614851748373,0.054393103855429
AT2,AT2,LUAD,normal,up,source_agnostic_planned_panel,WNT2B,0.0423187260873991,10.0,23,23,True,8.0,13.0,0.0356608684123007,0.0493344450499586
AT2,AT2,LUAD,normal,up,source_agnostic_planned_panel,WNT3,0.0422222114003936,11.0,23,23,True,9.0,11.0,0.0357566583014183,0.0505827521919613
AT2,AT2,LUAD,normal,up,source_agnostic_planned_panel,WNT3A,0.0447559072910049,6.0,23,23,True,3.0,13.0,0.0382636052550187,0.049343019719593
AT2,AT2,LUAD,normal,up,source_agnostic_planned_panel,WNT4,0.0434763248561293,8.0,23,23,True,3.0,14.0,0.0376946212025889,0.0514946735068193
AT2,AT2,LUAD,normal,up,source_agnostic_planned_panel,WNT5A,0.0304149973102312,19.0,23,23,True,12.0,19.0,0.0280697613533964,0.0395224099636
AT2,AT2,LUAD,normal,up,source_agnostic_planned_panel,WNT5B,0.037789427363938,14.0,23,23,True,14.0,17.0,0.0316138425273999,0.0456217068087664
AT2,AT2,LUAD,normal,up,source_agnostic_planned_panel,WNT7A,0.043247470290135,9.0,23,23,True,7.0,9.0,0.0368331564441318,0.0515466432311527
