"comp","label","case","reference","direction","gene"
"AT2","AT2","LUAD","normal","up","SF3B4"
"AT2","AT2","LUAD","normal","up","MTMR11"
"AT2","AT2","LUAD","normal","up","ANP32E"
"AT2","AT2","LUAD","normal","up","APH1A"
"AT2","AT2","LUAD","normal","up","GOLPH3L"
"AT2","AT2","LUAD","normal","up","HORMAD1"
"AT2","AT2","LUAD","normal","up","CTSS"
"AT2","AT2","LUAD","normal","up","C1orf56"
"AT2","AT2","LUAD","normal","up","SCNM1"
"AT2","AT2","LUAD","normal","up","VPS72"
"AT2","AT2","LUAD","normal","up","PSMD4"
"AT2","AT2","LUAD","normal","up","PSMB4"
"AT2","AT2","LUAD","normal","up","TDRKH"
"AT2","AT2","LUAD","normal","up","S100A10"
"AT2","AT2","LUAD","normal","up","S100A11"
"AT2","AT2","LUAD","normal","up","IVL"
"AT2","AT2","LUAD","normal","up","PGLYRP4"
"AT2","AT2","LUAD","normal","up","S100A6"
"AT2","AT2","LUAD","normal","up","S100A16"
"AT2","AT2","LUAD","normal","up","S100A13"
"AT2","AT2","LUAD","normal","up","ILF2"
"AT2","AT2","LUAD","normal","up","SLC39A1"
"AT2","AT2","LUAD","normal","up","CREB3L4"
"AT2","AT2","LUAD","normal","up","JTB"
"AT2","AT2","LUAD","normal","up","RAB13"
"AT2","AT2","LUAD","normal","up","C1orf43"
"AT2","AT2","LUAD","normal","up","HAX1"
"AT2","AT2","LUAD","normal","up","ATP8B2"
"AT2","AT2","LUAD","normal","up","UBE2Q1"
"AT2","AT2","LUAD","normal","up","ADAR"
"AT2","AT2","LUAD","normal","up","KCNN3"
"AT2","AT2","LUAD","normal","up","PMVK"
"AT2","AT2","LUAD","normal","up","PBXIP1"
"AT2","AT2","LUAD","normal","up","PYGO2"
"AT2","AT2","LUAD","normal","up","ADAM15"
"AT2","AT2","LUAD","normal","up","EFNA4"
"AT2","AT2","LUAD","normal","up","EFNA3"
"AT2","AT2","LUAD","normal","up","EFNA1"
"AT2","AT2","LUAD","normal","up","SLC50A1"
"AT2","AT2","LUAD","normal","up","DPM3"
"AT2","AT2","LUAD","normal","up","KRTCAP2"
"AT2","AT2","LUAD","normal","up","GBA"
"AT2","AT2","LUAD","normal","up","FAM189B"
"AT2","AT2","LUAD","normal","up","SCAMP3"
"AT2","AT2","LUAD","normal","up","RUSC1"
"AT2","AT2","LUAD","normal","up","MSTO1"
"AT2","AT2","LUAD","normal","up","DAP3"
"AT2","AT2","LUAD","normal","up","SSR2"
"AT2","AT2","LUAD","normal","up","LAMTOR2"
"AT2","AT2","LUAD","normal","up","RAB25"
"AT2","AT2","LUAD","normal","up","MEX3A"
"AT2","AT2","LUAD","normal","up","SMG5"
"AT2","AT2","LUAD","normal","up","GLMP"
"AT2","AT2","LUAD","normal","up","CCT3"
"AT2","AT2","LUAD","normal","up","NAXE"
