pair,n_donors,median_rank,q25,q75,median_lr_prob,ligand,receptor,overall_rank
LAMB1 to ITGA2_ITGB1,16,212.5,99.25,302.5,0.00011968059371385102,LAMB1,ITGA2_ITGB1,238
NRXN3 to NLGN2,13,214.0,186.0,249.0,0.0,NRXN3,NLGN2,239
WNT5B to FZD7,16,214.5,175.75,287.5,0.0,WNT5B,FZD7,240
BTC to ERBB4,19,215.0,180.5,252.0,0.0,BTC,ERBB4,241
NECTIN1 to NECTIN3,22,215.0,180.75,277.75,0.0,NECTIN1,NECTIN3,242
BMP6 to ACVR2A_BMPR1A,21,216.0,168.0,253.0,0.0,BMP6,ACVR2A_BMPR1A,243
WNT5B to FZD6,18,217.0,150.5,288.5,0.0,WNT5B,FZD6,244
COL4A4 to ITGA2_ITGB1,18,217.0,107.5,283.25,0.0,COL4A4,ITGA2_ITGB1,245
BMP7 to ACVR1_ACVR2A,17,218.0,189.0,297.0,0.0,BMP7,ACVR1_ACVR2A,246
NRG2 to ERBB4,21,220.0,158.0,279.0,0.0,NRG2,ERBB4,247
C5 to C5AR1,18,220.5,134.75,278.0,0.0,C5,C5AR1,248
LAMA4 to ITGAV_ITGB8,23,221.0,155.5,293.0,0.0,LAMA4,ITGAV_ITGB8,249
BMP7 to ACVR1_BMPR2,17,221.0,184.0,296.0,0.0,BMP7,ACVR1_BMPR2,250
ANGPT2 to ITGA5_ITGB1,14,221.0,148.75,253.5,0.0,ANGPT2,ITGA5_ITGB1,251
AGRN to DAG1,24,221.5,150.25,256.0,0.0,AGRN,DAG1,252
COL4A6 to ITGA11_ITGB1,19,222.0,177.5,274.5,0.0,COL4A6,ITGA11_ITGB1,253
LAMA5 to DAG1,24,222.0,149.0,250.0,0.0,LAMA5,DAG1,254
BMP6 to BMPR1B_BMPR2,13,222.0,200.0,270.0,0.0,BMP6,BMPR1B_BMPR2,255
CD6 to ALCAM,17,223.0,196.0,309.0,0.0,CD6,ALCAM,256
PTN to SDC4,17,223.0,186.0,257.0,0.0,PTN,SDC4,257
SEMA4D to PLXNB2,18,224.5,184.5,287.25,0.0,SEMA4D,PLXNB2,258
GAS6 to MERTK,20,225.5,137.5,271.0,0.0,GAS6,MERTK,259
GRN to SORT1,22,226.5,100.5,300.5,0.0,GRN,SORT1,260
COL1A2 to ITGAV_ITGB8,19,228.0,82.0,289.0,0.0,COL1A2,ITGAV_ITGB8,261
COL4A6 to ITGAV_ITGB8,21,230.0,194.0,298.0,0.0,COL4A6,ITGAV_ITGB8,262
COL1A1 to ITGA2_ITGB1,20,230.5,92.0,281.25,0.0,COL1A1,ITGA2_ITGB1,263
TNFSF12 to TNFRSF12A,13,231.0,215.0,260.0,0.0,TNFSF12,TNFRSF12A,264
