pair,median_rank_historical,overall_rank_historical,n_donors_historical,median_rank_corrected,overall_rank_corrected,n_donors_corrected,resource
BMP2 to ACVR1,545.0,581.0,23.0,391.0,392.0,19.0,consensus
BMP2 to ACVR2A_BMPR1A,412.0,404.0,25.0,324.0,300.0,21.0,consensus
BMP2 to ACVR2A_BMPR1B,470.0,479.0,15.0,393.5,399.0,14.0,consensus
BMP2 to BMPR1A_BMPR2,396.5,382.0,26.0,325.0,301.0,21.0,consensus
BMP2 to BMPR1B_BMPR2,459.5,470.0,16.0,391.0,393.0,15.0,consensus
BMP2 to ENG,418.5,408.0,26.0,312.0,287.0,21.0,consensus
BMP2 to GPC1,609.5,661.0,20.0,405.0,414.0,16.0,consensus
BMP3 to ACVR1B_ACVR2A,670.0,714.0,16.0,395.0,403.0,15.0,consensus
BMP3 to BMPR1A,607.0,658.0,18.0,390.5,390.0,16.0,consensus
BMP3 to BMPR2,607.0,657.0,18.0,382.0,381.0,16.0,consensus
BMP6 to ACVR1_ACVR2A,674.0,719.0,19.0,388.0,387.0,17.0,consensus
BMP6 to ACVR1_BMPR2,672.0,715.0,19.0,389.0,388.0,17.0,consensus
BMP6 to ACVR2A_BMPR1A,638.0,691.0,21.0,371.0,366.0,19.0,consensus
BMP6 to ACVR2A_BMPR1B,,,,402.0,409.0,11.0,consensus
BMP6 to BMPR1A_BMPR2,591.5,640.0,22.0,373.0,371.0,19.0,consensus
BMP6 to BMPR1B_BMPR2,666.0,712.0,13.0,394.0,400.0,12.0,consensus
BMP7 to ACTR2,560.5,604.0,18.0,411.5,425.0,16.0,consensus
BMP7 to ACVR1B,649.0,702.0,18.0,433.5,461.0,16.0,consensus
BMP7 to ACVR1_ACVR2A,625.0,676.0,17.0,432.0,459.0,15.0,consensus
BMP7 to ACVR1_BMPR2,618.0,669.0,17.0,433.0,460.0,15.0,consensus
BMP7 to ACVR2A_BMPR1A,514.0,549.0,18.0,414.5,434.0,16.0,consensus
BMP7 to ACVR2A_BMPR1B,579.0,626.0,13.0,437.0,467.0,12.0,consensus
BMP7 to BMPR1A_BMPR2,513.0,547.0,18.0,416.0,440.0,16.0,consensus
BMP7 to BMPR1B_BMPR2,564.5,607.0,14.0,434.0,462.0,13.0,consensus
BMP7 to ENG,533.0,565.0,18.0,407.5,419.0,16.0,consensus
BMP7 to PTPRK,496.5,523.0,18.0,408.5,420.0,16.0,consensus
BSG to SLC16A1,229.5,213.0,26.0,195.0,177.0,22.0,consensus
BSG to SLC16A7,157.5,147.0,26.0,148.0,138.0,22.0,consensus
C1QB to C1QBP,673.0,718.0,17.0,479.0,522.0,15.0,consensus
C1QB to LRP1,168.5,159.0,26.0,145.0,135.0,22.0,consensus
C3 to CD46,124.0,116.0,26.0,99.5,87.0,22.0,consensus
C3 to CD81,44.0,35.0,26.0,38.0,26.0,22.0,consensus
C3 to LRP1,19.0,9.0,26.0,16.5,11.0,22.0,consensus
C3 to NRP1,40.5,31.0,26.0,39.0,28.0,22.0,consensus
C4A to CD46,400.0,388.0,24.0,323.5,299.0,20.0,consensus
C4A to NRP1,276.5,250.0,24.0,295.5,276.0,20.0,consensus
C4B to CD46,266.5,241.0,26.0,233.0,204.0,22.0,consensus
C4BPA to BMPR2,226.5,212.0,22.0,241.0,210.0,19.0,consensus
C4BPA to CD40,511.5,542.0,18.0,370.0,363.0,16.0,consensus
C4BPA to LRP1,177.0,166.0,22.0,156.0,144.0,19.0,consensus
C5 to C5AR1,621.0,671.0,18.0,414.0,432.0,16.0,consensus
CALM1 to CACNA1C,13.0,6.0,26.0,7.5,4.0,22.0,consensus
CALM1 to FAS,285.5,260.0,24.0,247.0,221.0,20.0,consensus
CALM1 to INSR,130.5,125.0,26.0,88.0,72.0,22.0,consensus
CALM1 to PDE1A,136.0,128.0,23.0,95.0,82.0,19.0,consensus
CALM1 to PTPRA,82.0,66.0,26.0,57.0,41.0,22.0,consensus
CALM1 to RYR2,10.0,4.0,25.0,6.0,2.0,21.0,consensus
CALM3 to AR,601.0,650.0,23.0,419.0,444.0,20.0,consensus
CALM3 to CACNA1C,213.0,199.0,26.0,177.0,163.0,22.0,consensus
CALM3 to EGFR,205.0,189.0,26.0,179.0,168.0,22.0,consensus
CALM3 to ESR1,324.5,295.0,24.0,299.5,279.0,20.0,consensus
CALM3 to INSR,366.0,346.0,26.0,310.0,286.0,22.0,consensus
CALM3 to PDE1A,373.0,353.0,23.0,336.0,314.0,19.0,consensus
CALM3 to RYR2,205.0,190.0,25.0,177.0,164.0,21.0,consensus
CALR to ITGAV,226.0,211.0,26.0,214.0,185.0,22.0,consensus
CALR to LRP1,181.0,170.0,26.0,178.5,167.0,22.0,consensus
CD14 to ITGB1,516.0,552.0,17.0,412.5,428.0,14.0,consensus
CD14 to RIPK1,629.0,682.0,17.0,413.5,430.0,14.0,consensus
CD47 to SIRPA,343.0,316.0,25.0,319.0,297.0,21.0,consensus
CD55 to ADGRE5,333.0,307.0,22.0,339.0,318.0,18.0,consensus
CD99 to CD81,83.0,67.0,26.0,83.0,65.0,22.0,consensus
CD99 to CD99L2,423.0,417.0,22.0,410.0,423.0,19.0,consensus
CDH1 to EGFR,20.5,11.0,26.0,11.5,6.0,22.0,consensus
CDH1 to IGF1R,38.0,26.0,26.0,38.0,27.0,22.0,consensus
CDH1 to ITGA2_ITGB1,346.0,318.0,21.0,284.0,263.0,18.0,consensus
CDH1 to LRP5,603.5,653.0,18.0,413.0,429.0,15.0,consensus
CDH1 to PTPRM,38.5,27.0,26.0,33.5,23.0,22.0,consensus
CEACAM6 to EGFR,30.0,23.0,25.0,24.0,18.0,21.0,consensus
CGN to TGFBR1,317.5,289.0,26.0,291.5,271.0,22.0,consensus
CGN to TGFBR2,111.0,96.0,26.0,93.5,81.0,22.0,consensus
CKLF to LRP6,555.5,597.0,20.0,443.0,475.0,17.0,consensus
CLEC11A to ITGA11,646.0,699.0,17.0,368.0,356.0,11.0,consensus
CLEC11A to ITGB1,407.0,400.0,21.0,352.0,333.0,13.0,consensus
CNTN1 to NOTCH2,562.0,605.0,17.0,423.0,448.0,17.0,consensus
CNTN1 to NRCAM,,,,507.0,547.0,11.0,consensus
CNTN3 to PTPRG,111.0,95.0,25.0,95.0,83.0,22.0,consensus
CNTN4 to PTPRG,22.5,17.0,26.0,77.0,60.0,22.0,consensus
CNTN6 to PTPRG,195.0,184.0,23.0,108.0,99.0,21.0,consensus
COL12A1 to ITGA11_ITGB1,500.0,527.0,21.0,450.0,482.0,17.0,consensus
COL12A1 to ITGA1_ITGB1,281.0,254.0,26.0,276.0,252.0,21.0,consensus
COL12A1 to ITGA2_ITGB1,556.0,599.0,21.0,370.0,364.0,17.0,consensus
COL14A1 to CD44,354.0,329.0,21.0,343.5,324.0,14.0,consensus
COL14A1 to ITGA11_ITGB1,551.0,589.0,16.0,505.0,545.0,11.0,consensus
COL14A1 to ITGA1_ITGB1,377.0,360.0,21.0,363.5,350.0,14.0,consensus
COL14A1 to ITGA2_ITGB1,717.0,739.0,17.0,451.0,483.0,11.0,consensus
COL16A1 to ITGA11_ITGB1,552.0,591.0,20.0,457.0,501.0,17.0,consensus
COL16A1 to ITGA1_ITGB1,365.0,344.0,25.0,343.0,322.0,21.0,consensus
COL16A1 to ITGA2_ITGB1,673.0,717.0,20.0,406.0,416.0,17.0,consensus
COL17A1 to ITGA11_ITGB1,504.0,534.0,19.0,425.0,451.0,17.0,consensus
COL17A1 to ITGA1_ITGB1,348.5,321.0,22.0,330.5,310.0,20.0,consensus
COL17A1 to ITGA2_ITGB1,687.5,730.0,18.0,368.0,357.0,17.0,consensus
COL18A1 to GPC1,546.5,583.0,20.0,404.0,413.0,15.0,consensus
COL18A1 to ITGA11_ITGB1,487.0,510.0,20.0,468.0,511.0,16.0,consensus
COL18A1 to ITGA1_ITGB1,239.0,219.0,24.0,337.5,317.0,18.0,consensus
COL18A1 to ITGA2_ITGB1,615.5,666.0,20.0,358.0,342.0,15.0,consensus
COL18A1 to ITGA5,386.0,367.0,22.0,356.5,339.0,16.0,consensus
COL18A1 to ITGB5,213.0,201.0,24.0,336.5,315.0,18.0,consensus
COL18A1 to PTPRS,128.5,123.0,24.0,244.5,217.0,18.0,consensus
COL19A1 to ITGA11_ITGB1,556.0,598.0,20.0,428.0,454.0,17.0,consensus
COL19A1 to ITGA1_ITGB1,386.0,368.0,25.0,303.0,282.0,21.0,consensus
COL19A1 to ITGA2_ITGB1,720.5,741.0,20.0,385.0,384.0,17.0,consensus
COL1A1 to CD44,60.5,46.0,24.0,57.0,42.0,19.0,consensus
COL1A1 to DDR2,80.0,62.0,24.0,52.0,36.0,19.0,consensus
COL1A1 to ITGA11_ITGB1,530.0,562.0,19.0,468.0,512.0,15.0,consensus
COL1A1 to ITGA1_ITGB1,199.5,185.0,24.0,199.0,179.0,19.0,consensus
COL1A1 to ITGA2_ITGB1,651.5,704.0,20.0,364.0,351.0,16.0,consensus
COL1A1 to ITGA5,359.0,337.0,23.0,350.0,330.0,18.0,consensus
COL1A1 to ITGA9_ITGB1,348.0,320.0,24.0,351.0,331.0,19.0,consensus
COL1A1 to ITGAV_ITGB8,477.0,484.0,23.0,363.0,347.0,18.0,consensus
COL1A2 to CD44,47.0,40.0,19.0,218.0,188.0,13.0,consensus
COL1A2 to ITGA11_ITGB1,549.0,586.0,15.0,,,,consensus
COL1A2 to ITGA1_ITGB1,160.0,150.0,19.0,368.0,358.0,13.0,consensus
COL1A2 to ITGA2_ITGB1,722.0,742.0,17.0,454.5,493.0,12.0,consensus
COL1A2 to ITGA9_ITGB1,295.0,266.0,19.0,435.0,464.0,13.0,consensus
COL1A2 to ITGAV_ITGB8,483.0,501.0,19.0,465.0,507.0,13.0,consensus
COL21A1 to ITGA11_ITGB1,542.0,578.0,21.0,415.0,435.0,18.0,consensus
COL21A1 to ITGA1_ITGB1,168.5,160.0,26.0,149.0,139.0,22.0,consensus
COL21A1 to ITGA2_ITGB1,626.0,677.0,21.0,326.0,303.0,18.0,consensus
COL24A1 to ITGA11_ITGB1,633.0,687.0,19.0,481.0,524.0,16.0,consensus
COL24A1 to ITGA1_ITGB1,598.5,646.0,24.0,411.5,426.0,20.0,consensus
COL24A1 to ITGA2_ITGB1,746.0,750.0,20.0,442.0,473.0,17.0,consensus
COL26A1 to ITGA11_ITGB1,586.0,632.0,15.0,534.0,581.0,15.0,consensus
COL26A1 to ITGA1_ITGB1,586.5,633.0,18.0,441.5,472.0,18.0,consensus
COL26A1 to ITGA2_ITGB1,764.0,757.0,16.0,442.5,474.0,16.0,consensus
COL27A1 to ITGA11_ITGB1,530.0,563.0,18.0,512.0,553.0,16.0,consensus
COL27A1 to ITGA1_ITGB1,361.0,339.0,23.0,371.0,367.0,20.0,consensus
COL27A1 to ITGA2_ITGB1,737.0,747.0,19.0,412.0,427.0,17.0,consensus
COL28A1 to ITGA11_ITGB1,536.0,572.0,21.0,441.0,471.0,18.0,consensus
COL28A1 to ITGA1_ITGB1,244.5,227.0,26.0,218.5,189.0,22.0,consensus
COL28A1 to ITGA2_ITGB1,627.0,680.0,21.0,374.5,374.0,18.0,consensus
COL3A1 to DDR2,136.5,129.0,20.0,333.0,312.0,15.0,consensus
COL3A1 to ITGA11_ITGB1,568.0,614.0,16.0,516.0,557.0,12.0,consensus
COL3A1 to ITGA1_ITGB1,241.0,222.0,20.0,373.0,372.0,15.0,consensus
COL3A1 to ITGA2_ITGB1,778.5,762.0,18.0,451.5,485.0,14.0,consensus
COL4A1 to CD44,44.0,34.0,25.0,164.0,155.0,18.0,consensus
COL4A1 to CD47,178.0,167.0,25.0,267.5,239.0,18.0,consensus
COL4A1 to ITGA11_ITGB1,363.0,342.0,20.0,519.0,561.0,14.0,consensus
COL4A1 to ITGA1_ITGB1,163.0,153.0,25.0,317.5,295.0,18.0,consensus
COL4A1 to ITGA2_ITGB1,483.5,503.0,20.0,409.0,421.0,14.0,consensus
COL4A1 to ITGA9_ITGB1,267.0,242.0,25.0,372.0,369.0,18.0,consensus
COL4A1 to ITGAV_ITGB8,307.0,278.0,23.0,401.0,408.0,16.0,consensus
COL4A2 to CD44,14.0,7.0,25.0,71.0,56.0,18.0,consensus
COL4A2 to ITGA11_ITGB1,368.5,349.0,20.0,523.0,566.0,14.0,consensus
COL4A2 to ITGA1_ITGB1,83.0,68.0,25.0,227.0,197.0,18.0,consensus
COL4A2 to ITGA2_ITGB1,489.0,514.0,20.0,405.5,415.0,14.0,consensus
COL4A2 to ITGA9_ITGB1,214.0,204.0,25.0,375.5,375.0,18.0,consensus
COL4A2 to ITGAV_ITGB8,312.0,284.0,23.0,390.5,391.0,16.0,consensus
COL4A2 to ITGB5,97.0,78.0,25.0,171.5,157.0,18.0,consensus
COL4A3 to CD44,98.0,81.0,25.0,111.0,103.0,21.0,consensus
COL4A3 to CD47,266.0,240.0,25.0,288.0,267.0,21.0,consensus
COL4A3 to ITGA11_ITGB1,488.0,512.0,20.0,456.0,498.0,17.0,consensus
COL4A3 to ITGA1_ITGB1,283.0,256.0,25.0,270.0,246.0,21.0,consensus
COL4A3 to ITGA2_ITGB1,628.0,681.0,20.0,394.0,401.0,17.0,consensus
COL4A3 to ITGA9_ITGB1,355.0,331.0,25.0,379.0,379.0,21.0,consensus
COL4A3 to ITGAV_ITGB8,407.0,398.0,23.0,381.0,380.0,19.0,consensus
COL4A4 to CD44,101.0,84.0,23.0,84.0,66.0,19.0,consensus
COL4A4 to CD47,263.0,238.0,23.0,254.0,227.0,19.0,consensus
COL4A4 to ITGA11_ITGB1,444.0,447.0,19.0,475.5,519.0,16.0,consensus
COL4A4 to ITGA1_ITGB1,258.0,236.0,23.0,239.0,209.0,19.0,consensus
COL4A4 to ITGA2_ITGB1,600.0,648.0,18.0,396.0,404.0,15.0,consensus
COL4A4 to ITGA9_ITGB1,358.0,335.0,23.0,368.0,359.0,19.0,consensus
COL4A4 to ITGAV_ITGB8,357.0,333.0,21.0,385.0,385.0,17.0,consensus
COL4A5 to CD44,80.0,63.0,26.0,54.0,38.0,22.0,consensus
COL4A5 to CD47,243.0,224.0,26.0,220.5,191.0,22.0,consensus
COL4A5 to ITGA11_ITGB1,403.0,393.0,21.0,447.0,479.0,18.0,consensus
COL4A5 to ITGA1_ITGB1,204.0,188.0,26.0,179.0,169.0,22.0,consensus
COL4A5 to ITGA2_ITGB1,458.0,469.0,21.0,365.5,352.0,18.0,consensus
COL4A5 to ITGA9_ITGB1,303.5,273.0,26.0,303.0,283.0,22.0,consensus
COL4A5 to ITGAV_ITGB8,396.5,383.0,24.0,372.5,370.0,20.0,consensus
COL4A6 to CD44,421.5,411.0,22.0,387.0,386.0,19.0,consensus
COL4A6 to CD47,484.0,506.0,22.0,397.0,405.0,19.0,consensus
COL4A6 to ITGA11_ITGB1,591.0,637.0,19.0,498.5,536.0,16.0,consensus
COL4A6 to ITGA1_ITGB1,512.0,544.0,22.0,393.0,397.0,19.0,consensus
COL4A6 to ITGA2_ITGB1,738.0,748.0,18.0,443.0,476.0,16.0,consensus
COL4A6 to ITGA9_ITGB1,537.5,574.0,22.0,407.0,418.0,19.0,consensus
COL4A6 to ITGAV_ITGB8,599.0,647.0,21.0,423.0,449.0,18.0,consensus
COL5A1 to ITGA11_ITGB1,554.0,593.0,15.0,536.5,583.0,12.0,consensus
COL5A1 to ITGA1_ITGB1,319.0,290.0,18.0,316.0,292.0,12.0,consensus
COL5A1 to ITGA2_ITGB1,748.0,752.0,15.0,,,,consensus
COL5A2 to ITGA11_ITGB1,580.0,629.0,20.0,500.0,540.0,17.0,consensus
COL5A2 to ITGA1_ITGB1,232.0,214.0,23.0,403.0,411.0,20.0,consensus
COL5A2 to ITGA2_ITGB1,716.0,738.0,19.0,466.0,508.0,17.0,consensus
COL6A1 to CD44,79.5,61.0,20.0,128.5,121.0,14.0,consensus
COL6A1 to ITGA11_ITGB1,522.0,556.0,17.0,559.5,601.0,12.0,consensus
COL6A1 to ITGA1_ITGB1,213.5,203.0,20.0,333.0,313.0,14.0,consensus
COL6A1 to ITGA2_ITGB1,426.0,420.0,17.0,452.5,486.0,12.0,consensus
COL6A1 to ITGA9_ITGB1,370.0,351.0,20.0,414.0,433.0,14.0,consensus
COL6A1 to ITGAV_ITGB8,481.5,493.0,20.0,454.0,491.0,14.0,consensus
COL6A2 to CD44,24.0,18.0,21.0,61.0,48.0,15.0,consensus
COL6A2 to ITGA11_ITGB1,523.0,557.0,17.0,539.0,586.0,13.0,consensus
COL6A2 to ITGA1_ITGB1,107.0,90.0,21.0,234.0,206.0,15.0,consensus
COL6A2 to ITGA2_ITGB1,506.5,539.0,18.0,415.0,436.0,13.0,consensus
COL6A2 to ITGA9_ITGB1,248.0,229.0,21.0,398.0,406.0,15.0,consensus
COL6A2 to ITGAV_ITGB8,482.0,499.0,21.0,417.0,442.0,15.0,consensus
COL7A1 to ITGA11_ITGB1,555.0,595.0,17.0,504.0,544.0,15.0,consensus
COL7A1 to ITGA1_ITGB1,550.0,588.0,21.0,416.0,441.0,19.0,consensus
COL7A1 to ITGA2_ITGB1,780.5,765.0,16.0,460.0,502.0,15.0,consensus
COL8A1 to ITGA11_ITGB1,500.0,528.0,21.0,469.0,515.0,17.0,consensus
COL8A1 to ITGA1_ITGB1,151.0,140.0,26.0,129.0,122.0,21.0,consensus
COL8A1 to ITGA2_ITGB1,629.0,683.0,21.0,419.0,445.0,17.0,consensus
COL9A2 to CD44,422.0,413.0,15.0,417.5,443.0,14.0,consensus
COL9A2 to ITGA11_ITGB1,502.0,532.0,13.0,561.5,604.0,12.0,consensus
COL9A2 to ITGA1_ITGB1,466.0,474.0,15.0,419.0,446.0,14.0,consensus
COL9A2 to ITGA2_ITGB1,,,,530.0,574.0,11.0,consensus
COL9A2 to ITGA9_ITGB1,501.0,530.0,15.0,499.0,538.0,14.0,consensus
COL9A2 to ITGAV_ITGB8,786.0,768.0,14.0,468.0,513.0,13.0,consensus
COLQ to MUSK,629.0,684.0,22.0,507.0,548.0,19.0,consensus
COPA to CD74,71.5,53.0,26.0,51.0,34.0,22.0,consensus
CP to SLC40A1,387.0,371.0,26.0,289.0,269.0,22.0,consensus
CSF1 to SIRPA,575.0,624.0,18.0,596.0,636.0,13.0,consensus
CX3CL1 to ITGAV,287.0,263.0,25.0,246.0,220.0,21.0,consensus
CXCL8 to SDC2,63.0,48.0,26.0,51.0,35.0,22.0,consensus
CXCL8 to SDC3,645.5,698.0,16.0,452.5,487.0,14.0,consensus
DCN to EGFR,213.0,200.0,24.0,281.0,257.0,19.0,consensus
DCN to ERBB4,506.0,538.0,19.0,437.0,468.0,17.0,consensus
DKK1 to KREMEN1,563.5,606.0,14.0,478.0,521.0,13.0,consensus
DKK1 to LRP6,596.0,643.0,13.0,543.5,593.0,12.0,consensus
DKK3 to KREMEN1,431.0,425.0,22.0,440.0,470.0,17.0,consensus
DLL1 to NOTCH2,308.0,279.0,25.0,269.0,243.0,21.0,consensus
DLL1 to NOTCH3,795.0,772.0,14.0,620.5,655.0,12.0,consensus
EDIL3 to ITGAV,175.0,165.0,25.0,194.0,176.0,21.0,consensus
EDIL3 to ITGB5,237.0,217.0,25.0,254.0,228.0,21.0,consensus
EDN1 to EDNRA,353.5,328.0,22.0,305.5,284.0,18.0,consensus
EDN2 to EDNRA,487.0,511.0,13.0,421.0,447.0,12.0,consensus
EFEMP1 to EGFR,125.0,118.0,26.0,107.5,98.0,22.0,consensus
EFEMP2 to PLSCR4,375.0,358.0,24.0,406.0,417.0,19.0,consensus
EFNA1 to EPHA3,406.0,395.0,22.0,393.0,398.0,21.0,consensus
EFNA4 to EPHA3,,,,611.0,644.0,11.0,consensus
EFNA5 to EPHA3,267.0,243.0,22.0,292.0,272.0,21.0,consensus
EFNA5 to EPHB2,405.0,394.0,23.0,446.0,477.0,19.0,consensus
EFNB1 to EPHB2,572.0,622.0,17.0,614.0,647.0,15.0,consensus
EFNB2 to EPHA3,389.5,374.0,22.0,409.0,422.0,20.0,consensus
EFNB2 to EPHB2,448.0,450.0,23.0,489.5,528.0,18.0,consensus
F8 to LDLR,618.0,668.0,16.0,476.0,520.0,15.0,consensus
F8 to LRP1,555.0,596.0,17.0,447.0,480.0,16.0,consensus
FABP5 to RXRA,596.5,644.0,18.0,507.5,549.0,14.0,consensus
FAM3B to LRP5,729.0,744.0,15.0,489.0,527.0,13.0,consensus
FAM3C to CLEC2D,600.5,649.0,16.0,523.5,567.0,14.0,consensus
FAM3C to LAMP1,224.0,208.0,26.0,182.0,171.0,22.0,consensus
FAM3C to LIFR,440.5,440.0,24.0,435.5,465.0,20.0,consensus
FARP2 to PLXNA2,261.0,237.0,25.0,252.0,224.0,21.0,consensus
FARP2 to PLXNA4,536.0,573.0,22.0,470.5,517.0,20.0,consensus
FBLN1 to ITGB1,277.5,251.0,24.0,225.5,194.0,20.0,consensus
FBN1 to ITGA5,455.0,459.0,18.0,466.0,509.0,13.0,consensus
FBN1 to ITGB1,321.0,292.0,19.0,453.0,489.0,14.0,consensus
FGF12 to FGFR1,633.0,686.0,23.0,483.0,525.0,20.0,consensus
FGF13 to EGFR,182.0,173.0,26.0,143.5,134.0,22.0,consensus
FGF13 to FGFR1,137.5,130.0,26.0,124.0,117.0,22.0,consensus
FGF13 to FGFR4,774.5,761.0,14.0,529.0,573.0,12.0,consensus
FGF14 to FGFR1,8.5,2.0,26.0,5.0,1.0,22.0,consensus
FGF18 to FGFR1,481.0,491.0,17.0,498.0,533.0,15.0,consensus
FGF2 to CD44,482.0,496.0,16.0,,,,consensus
FGF2 to FGFR1,482.0,495.0,16.0,,,,consensus
FGF2 to NRP1,482.0,494.0,16.0,,,,consensus
FGF2 to SDC2,482.0,498.0,16.0,,,,consensus
FGF2 to SDC4,686.5,729.0,14.0,,,,consensus
FN1 to C5AR1,433.5,429.0,24.0,469.5,516.0,20.0,consensus
FN1 to CD44,25.0,20.0,26.0,27.5,21.0,22.0,consensus
FN1 to IL17RC,440.0,439.0,19.0,588.0,632.0,17.0,consensus
FN1 to ITGA2,387.0,372.0,21.0,431.5,457.0,18.0,consensus
FN1 to ITGA5_ITGB1,217.5,206.0,24.0,208.5,182.0,20.0,consensus
FN1 to ITGA8_ITGB1,106.0,88.0,23.0,118.0,112.0,19.0,consensus
FN1 to ITGA9,244.0,225.0,26.0,251.0,223.0,22.0,consensus
FN1 to ITGAV_ITGB1,97.0,80.0,26.0,102.5,91.0,22.0,consensus
FN1 to ITGAV_ITGB8,322.5,294.0,24.0,371.0,368.0,20.0,consensus
FN1 to NT5E,337.0,309.0,23.0,394.0,402.0,21.0,consensus
FN1 to PLAUR,120.0,113.0,26.0,120.0,114.0,22.0,consensus
FN1 to SDC2,83.5,69.0,26.0,92.5,79.0,22.0,consensus
FRAS1_FREM2_NPNT to ITGA8_ITGB1,717.0,740.0,19.0,493.5,532.0,16.0,consensus
FST to BMPR2,624.0,675.0,14.0,,,,consensus
FSTL1 to DIP2A,402.0,392.0,25.0,452.5,488.0,22.0,consensus
FSTL5 to IL6R,649.0,703.0,14.0,658.0,686.0,12.0,consensus
FSTL5 to SDK2,825.5,785.0,14.0,598.0,639.0,11.0,consensus
GAS6 to AXL,93.0,76.0,26.0,109.0,101.0,22.0,consensus
GAS6 to MERTK,673.0,716.0,20.0,510.0,550.0,17.0,consensus
GDF11 to ACTR2,608.5,660.0,14.0,,,,consensus
GDF11 to ACVR1B_ACVR2A,589.0,636.0,13.0,,,,consensus
GDF11 to ACVR2A_TGFBR1,514.0,550.0,13.0,,,,consensus
GDF11 to ANTXR1,512.0,545.0,14.0,,,,consensus
GDF11 to BMPR1A,506.0,537.0,14.0,,,,consensus
GDF11 to BMPR2,507.0,540.0,14.0,,,,consensus
GDF15 to TGFBR2,71.5,55.0,26.0,55.0,39.0,22.0,consensus
GNAI2 to ADCY9,390.5,375.0,26.0,392.5,396.0,22.0,consensus
GNAI2 to C5AR1,528.0,559.0,24.0,486.5,526.0,20.0,consensus
GNAI2 to CAV1,213.5,202.0,26.0,176.5,160.0,22.0,consensus
GNAI2 to EDNRA,340.0,314.0,23.0,271.0,248.0,19.0,consensus
GNAI2 to EGFR,164.5,156.0,26.0,131.0,126.0,22.0,consensus
GNAI2 to F2R,513.5,548.0,20.0,468.0,514.0,17.0,consensus
GNAI2 to IGF1R,193.0,182.0,26.0,155.5,143.0,22.0,consensus
GNAI2 to PTPRU,543.0,580.0,23.0,521.0,563.0,20.0,consensus
GNAI2 to S1PR3,588.5,635.0,14.0,530.0,575.0,11.0,consensus
GNAI2 to UNC5B,873.0,788.0,13.0,,,,consensus
GNAS to ADCY9,309.0,280.0,26.0,370.5,365.0,22.0,consensus
GPC3 to CD81,338.0,310.0,26.0,270.0,247.0,22.0,consensus
GPC3 to IGF1R,338.0,311.0,26.0,281.5,259.0,22.0,consensus
GPC3 to LRP1,270.5,246.0,26.0,213.5,184.0,22.0,consensus
GPC3 to UNC5C,353.0,326.0,26.0,287.5,266.0,22.0,consensus
GPC3 to UNC5D,636.5,688.0,18.0,498.0,534.0,15.0,consensus
GPI to AMFR,422.5,416.0,26.0,429.0,456.0,22.0,consensus
GRN to EGFR,112.5,99.0,26.0,96.0,85.0,22.0,consensus
GRN to SORT1,656.5,708.0,22.0,512.0,554.0,18.0,consensus
GRN to TNFRSF1A,165.0,157.0,26.0,137.0,130.0,22.0,consensus
GSTP1 to EGFR,10.5,5.0,26.0,6.0,3.0,22.0,consensus
HBEGF to CD44,131.0,126.0,26.0,114.5,109.0,22.0,consensus
HBEGF to CD82,375.0,357.0,23.0,362.0,346.0,19.0,consensus
HBEGF to CD9,226.0,209.0,26.0,189.5,174.0,22.0,consensus
HLA-A to APLP2,24.5,19.0,26.0,21.5,15.0,22.0,consensus
HLA-DMB to CD4,704.0,735.0,19.0,597.0,637.0,17.0,consensus
HLA-DPA1 to CD4,455.0,460.0,23.0,453.0,490.0,19.0,consensus
HLA-DPB1 to CD4,450.0,452.0,23.0,454.0,492.0,19.0,consensus
HLA-DQA1 to CD4,489.0,513.0,20.0,460.0,503.0,17.0,consensus
HLA-DQB1 to CD4,496.5,522.0,20.0,515.0,556.0,18.0,consensus
HLA-DRA to CD4,443.0,444.0,23.0,455.0,494.0,19.0,consensus
HLA-DRB1 to CD4,442.0,443.0,23.0,456.0,499.0,19.0,consensus
HLA-DRB5 to CD4,499.0,525.0,21.0,464.0,506.0,17.0,consensus
HMGB1 to HAVCR2,579.0,627.0,13.0,,,,consensus
HMGB1 to THBD,502.0,533.0,21.0,511.5,552.0,18.0,consensus
HRAS to AGTR1,535.0,569.0,17.0,536.0,582.0,16.0,consensus
HRAS to CAV1,365.0,345.0,25.0,336.5,316.0,22.0,consensus
HRAS to INSR,401.0,391.0,25.0,425.0,452.0,22.0,consensus
HSPA8 to LDLR,439.0,437.0,23.0,415.0,437.0,20.0,consensus
HSPG2 to DAG1,471.0,482.0,24.0,539.0,587.0,21.0,consensus
HSPG2 to FGFR1,90.0,73.0,26.0,67.5,54.0,22.0,consensus
HSPG2 to ITGA2,605.0,656.0,21.0,500.5,541.0,18.0,consensus
HSPG2 to ITGB1,162.5,152.0,26.0,140.0,131.0,22.0,consensus
HSPG2 to LRP1,91.5,75.0,26.0,68.5,55.0,22.0,consensus
HSPG2 to PTPRS,119.0,112.0,26.0,88.5,73.0,22.0,consensus
ICAM1 to CAV1,327.0,300.0,25.0,281.0,258.0,21.0,consensus
ICAM1 to EGFR,313.0,287.0,25.0,294.0,275.0,21.0,consensus
IGFBP4 to LRP6,549.0,584.0,21.0,543.0,591.0,17.0,consensus
IGSF11 to VSIR,500.5,529.0,22.0,520.0,562.0,19.0,consensus
IL15RA to AXL,551.0,590.0,22.0,531.5,577.0,20.0,consensus
