config,cell_floor,prior_count,view,resource,family,ligand,receptor,source,source_label,target,target_label,case,reference,biological_role,patient,case_score,reference_score,paired_difference,ligand_difference,receptor_difference
unc20_pooled,50,1.0,subtype,consensus,core,IL1B,SIGIRR,AT2,AT2,fibroblasts,Alveolar fibroblasts,LUAD,MIA,inhibitory_or_decoy_context_not_activation,18,3.537003567875015,2.7631957337722097,0.7738078341028052,1.5700517254862099,-0.02243605728059972
unc20_pooled,50,1.0,subtype,consensus,exploratory,CCL2,CCR1,fibroblasts,Adventitial fibroblasts,macrophages,Alveolar macrophages,LUAD,AIS,resource_RNA_compatibility_only,19,7.282164968634815,6.226475245263085,1.0556897233717297,1.4746834757579803,0.63669597098548
unc20_pooled,50,1.0,subtype,consensus,exploratory,CCL2,CCR1,fibroblasts,Adventitial fibroblasts,macrophages,Alveolar macrophages,LUAD,AIS,resource_RNA_compatibility_only,22,5.894420146527815,4.9643969705134445,0.9300231760143705,1.3841564276550304,0.4758899243737096
unc20_pooled,50,1.0,subtype,consensus,exploratory,CCL2,CCR1,fibroblasts,Adventitial fibroblasts,macrophages,Alveolar macrophages,LUAD,AIS,resource_RNA_compatibility_only,23,5.607716564797805,5.85398824786232,-0.2462716830645153,-0.36389095942284033,-0.12865240670619027
unc20_pooled,50,1.0,subtype,consensus,exploratory,CCL2,CCR1,fibroblasts,Alveolar fibroblasts,macrophages,Alveolar macrophages,AAH,normal,resource_RNA_compatibility_only,4,7.545270680631065,7.453879616344835,0.09139106428622945,0.04257198062715872,0.14021014794530018
unc20_pooled,50,1.0,subtype,consensus,exploratory,CCL2,CCR1,fibroblasts,Alveolar fibroblasts,macrophages,Alveolar macrophages,AAH,normal,resource_RNA_compatibility_only,6,5.4244496950020995,6.57495888060121,-1.1505091855991108,-2.3715764962379193,0.0705581250396996
unc20_pooled,50,1.0,subtype,consensus,exploratory,CCL2,CCR1,fibroblasts,Alveolar fibroblasts,macrophages,Alveolar macrophages,AAH,normal,resource_RNA_compatibility_only,22,6.266047754092665,5.823707032551955,0.44234072154071047,1.1046774741800407,-0.21999603109861976
unc20_pooled,50,1.0,subtype,consensus,exploratory,CCL2,CCR1,fibroblasts,Alveolar fibroblasts,macrophages,Alveolar macrophages,AIS,normal,resource_RNA_compatibility_only,14,6.0587400190384155,4.87090059812653,1.1878394209118852,2.01202214234644,0.36365669947733004
unc20_pooled,50,1.0,subtype,consensus,exploratory,CCL2,CCR1,fibroblasts,Alveolar fibroblasts,macrophages,Alveolar macrophages,AIS,normal,resource_RNA_compatibility_only,17,6.48863377444799,6.88717845312258,-0.39854467867458965,-1.5797714670120495,0.7826821096628702
unc20_pooled,50,1.0,subtype,consensus,exploratory,CCL2,CCR1,fibroblasts,Alveolar fibroblasts,macrophages,Alveolar macrophages,AIS,normal,resource_RNA_compatibility_only,19,7.00810740770536,7.39563543092199,-0.38752802321663005,-0.2588674621410503,-0.5161885842922098
unc20_pooled,50,1.0,subtype,consensus,exploratory,CCL2,CCR1,fibroblasts,Alveolar fibroblasts,macrophages,Alveolar macrophages,AIS,normal,resource_RNA_compatibility_only,21,6.69630130871196,7.59108638323756,-0.8947850745255996,-2.186021199406441,0.39645105035524075
unc20_pooled,50,1.0,subtype,consensus,exploratory,CCL2,CCR1,fibroblasts,Alveolar fibroblasts,macrophages,Alveolar macrophages,AIS,normal,resource_RNA_compatibility_only,22,6.498647053925875,5.823707032551955,0.6749400213739207,1.7943901192822702,-0.44451007653442964
unc20_pooled,50,1.0,subtype,consensus,exploratory,CCL2,CCR1,fibroblasts,Alveolar fibroblasts,macrophages,Alveolar macrophages,LUAD,normal,resource_RNA_compatibility_only,4,6.971689160258875,7.453879616344835,-0.48219045608596023,-0.7485709924099506,-0.21580991976196984
unc20_pooled,50,1.0,subtype,consensus,exploratory,CCL2,CCR1,fibroblasts,Alveolar fibroblasts,macrophages,Alveolar macrophages,LUAD,normal,resource_RNA_compatibility_only,5,7.150232794078945,7.530081606749145,-0.37984881267020043,-0.4508936862652906,-0.3088039390751103
unc20_pooled,50,1.0,subtype,consensus,exploratory,CCL2,CCR1,fibroblasts,Alveolar fibroblasts,macrophages,Alveolar macrophages,LUAD,normal,resource_RNA_compatibility_only,6,6.333965202002904,6.57495888060121,-0.240993678598306,-0.5683600003505198,0.08637264315390958
unc20_pooled,50,1.0,subtype,consensus,exploratory,CCL2,CCR1,fibroblasts,Alveolar fibroblasts,macrophages,Alveolar macrophages,LUAD,normal,resource_RNA_compatibility_only,7,6.154758395436745,5.48937557624191,0.6653828191948348,1.2994135817171202,0.031352056672550255
unc20_pooled,50,1.0,subtype,consensus,exploratory,CCL2,CCR1,fibroblasts,Alveolar fibroblasts,macrophages,Alveolar macrophages,LUAD,normal,resource_RNA_compatibility_only,14,6.830937681512275,4.87090059812653,1.9600370833857443,3.94679925354743,-0.0267250867759401
unc20_pooled,50,1.0,subtype,consensus,exploratory,CCL2,CCR1,fibroblasts,Alveolar fibroblasts,macrophages,Alveolar macrophages,LUAD,normal,resource_RNA_compatibility_only,17,7.245282428634271,6.88717845312258,0.3581039755116908,0.8560500738909607,-0.1398421228675799
unc20_pooled,50,1.0,subtype,consensus,exploratory,CCL2,CCR1,fibroblasts,Alveolar fibroblasts,macrophages,Alveolar macrophages,LUAD,normal,resource_RNA_compatibility_only,18,8.59871118113993,6.94485499509225,1.6538561860476797,2.7970195073808197,0.5106928647145397
unc20_pooled,50,1.0,subtype,consensus,exploratory,CCL2,CCR1,fibroblasts,Alveolar fibroblasts,macrophages,Alveolar macrophages,LUAD,normal,resource_RNA_compatibility_only,19,7.580043176708175,7.39563543092199,0.18440774578618502,0.24830810487909982,0.12050738669327021
unc20_pooled,50,1.0,subtype,consensus,exploratory,CCL2,CCR1,fibroblasts,Alveolar fibroblasts,macrophages,Alveolar macrophages,LUAD,normal,resource_RNA_compatibility_only,22,6.697244373751275,5.823707032551955,0.8735373411993201,1.7156948345593603,0.03137984783927994
unc20_pooled,50,1.0,subtype,consensus,exploratory,CCL2,CCR1,fibroblasts,Alveolar fibroblasts,macrophages,Alveolar macrophages,LUAD,AAH,resource_RNA_compatibility_only,4,6.971689160258875,7.545270680631065,-0.5735815203721897,-0.7911429730371093,-0.35602006770727
unc20_pooled,50,1.0,subtype,consensus,exploratory,CCL2,CCR1,fibroblasts,Alveolar fibroblasts,macrophages,Alveolar macrophages,LUAD,AAH,resource_RNA_compatibility_only,6,6.333965202002904,5.4244496950020995,0.9095155070008047,1.8032164958873995,0.015814518114209974
unc20_pooled,50,1.0,subtype,consensus,exploratory,CCL2,CCR1,fibroblasts,Alveolar fibroblasts,macrophages,Alveolar macrophages,LUAD,AAH,resource_RNA_compatibility_only,11,7.941535847534875,7.15459944250421,0.7869364050306649,1.0510390387356807,0.5228337713256499
unc20_pooled,50,1.0,subtype,consensus,exploratory,CCL2,CCR1,fibroblasts,Alveolar fibroblasts,macrophages,Alveolar macrophages,LUAD,AAH,resource_RNA_compatibility_only,20,6.7738667766739304,6.4977346865670995,0.27613209010683093,0.4347270601114994,0.11753712010216066
unc20_pooled,50,1.0,subtype,consensus,exploratory,CCL2,CCR1,fibroblasts,Alveolar fibroblasts,macrophages,Alveolar macrophages,LUAD,AAH,resource_RNA_compatibility_only,22,6.697244373751275,6.266047754092665,0.43119661965860967,0.6110173603793196,0.2513758789378997
unc20_pooled,50,1.0,subtype,consensus,exploratory,CCL2,CCR1,fibroblasts,Alveolar fibroblasts,macrophages,Alveolar macrophages,LUAD,AIS,resource_RNA_compatibility_only,14,6.830937681512275,6.0587400190384155,0.7721976624738591,1.9347771112009902,-0.39038178625327014
unc20_pooled,50,1.0,subtype,consensus,exploratory,CCL2,CCR1,fibroblasts,Alveolar fibroblasts,macrophages,Alveolar macrophages,LUAD,AIS,resource_RNA_compatibility_only,17,7.245282428634271,6.48863377444799,0.7566486541862805,2.43582154090301,-0.9225242325304501
unc20_pooled,50,1.0,subtype,consensus,exploratory,CCL2,CCR1,fibroblasts,Alveolar fibroblasts,macrophages,Alveolar macrophages,LUAD,AIS,resource_RNA_compatibility_only,19,7.580043176708175,7.00810740770536,0.5719357690028151,0.5071755670201501,0.63669597098548
unc20_pooled,50,1.0,subtype,consensus,exploratory,CCL2,CCR1,fibroblasts,Alveolar fibroblasts,macrophages,Alveolar macrophages,LUAD,AIS,resource_RNA_compatibility_only,22,6.697244373751275,6.498647053925875,0.1985973198253994,-0.07869528472290988,0.4758899243737096
