patient,histology,label,comp,view,cells,full_library_sum,libraries,n_libraries,uncertainty,library_mode,unit_id
11,LUAD,Adventitial fibroblasts,fibroblasts,subtype,20,72339,GSM9237930,1,0.2,pooled,unc20_pooled_0815
11,LUAD,Alveolar fibroblasts,fibroblasts,subtype,259,617213,GSM9237930,1,0.2,pooled,unc20_pooled_0816
11,LUAD,Alveolar macrophages,macrophages,subtype,165,1455532,GSM9237930,1,0.2,pooled,unc20_pooled_0817
11,LUAD,Interstitial Mph perivascular,macrophages,subtype,33,86087,GSM9237930,1,0.2,pooled,unc20_pooled_0832
11,LUAD,Monocyte-derived Mph,macrophages,subtype,16,106272,GSM9237930,1,0.2,pooled,unc20_pooled_0838
11,LUAD,Myofibroblasts,fibroblasts,subtype,1,1214,GSM9237930,1,0.2,pooled,unc20_pooled_0840
11,LUAD,Peribronchial fibroblasts,fibroblasts,subtype,370,1223717,GSM9237930,1,0.2,pooled,unc20_pooled_0843
11,normal,AT2,AT2,subtype,143,425377,GSM9237928,1,0.2,pooled,unc20_pooled_0851
11,normal,AT2 proliferating,AT2,subtype,1,2076,GSM9237928,1,0.2,pooled,unc20_pooled_0852
11,normal,Adventitial fibroblasts,fibroblasts,subtype,20,29674,GSM9237928,1,0.2,pooled,unc20_pooled_0853
11,normal,Alveolar fibroblasts,fibroblasts,subtype,121,185480,GSM9237928,1,0.2,pooled,unc20_pooled_0854
11,normal,Alveolar macrophages,macrophages,subtype,17,85851,GSM9237928,1,0.2,pooled,unc20_pooled_0855
11,normal,Interstitial Mph perivascular,macrophages,subtype,5,6781,GSM9237928,1,0.2,pooled,unc20_pooled_0866
11,normal,Monocyte-derived Mph,macrophages,subtype,3,7855,GSM9237928,1,0.2,pooled,unc20_pooled_0870
11,normal,Myofibroblasts,fibroblasts,subtype,2,2276,GSM9237928,1,0.2,pooled,unc20_pooled_0872
12,AIS,AT2,AT2,subtype,463,3217237,GSM9237932,1,0.2,pooled,unc20_pooled_0883
12,AIS,AT2 proliferating,AT2,subtype,2,32498,GSM9237932,1,0.2,pooled,unc20_pooled_0884
12,AIS,Adventitial fibroblasts,fibroblasts,subtype,2,9397,GSM9237932,1,0.2,pooled,unc20_pooled_0885
12,AIS,Alveolar fibroblasts,fibroblasts,subtype,256,475484,GSM9237932,1,0.2,pooled,unc20_pooled_0886
12,AIS,Alveolar macrophages,macrophages,subtype,34,369601,GSM9237932,1,0.2,pooled,unc20_pooled_0887
12,AIS,Interstitial Mph perivascular,macrophages,subtype,6,12694,GSM9237932,1,0.2,pooled,unc20_pooled_0899
12,LUAD,AT2,AT2,subtype,547,3512631,GSM9237933,1,0.2,pooled,unc20_pooled_0913
12,LUAD,Adventitial fibroblasts,fibroblasts,subtype,1,3078,GSM9237933,1,0.2,pooled,unc20_pooled_0914
12,LUAD,Alveolar fibroblasts,fibroblasts,subtype,189,280199,GSM9237933,1,0.2,pooled,unc20_pooled_0915
12,LUAD,Alveolar macrophages,macrophages,subtype,37,262056,GSM9237933,1,0.2,pooled,unc20_pooled_0916
12,LUAD,Interstitial Mph perivascular,macrophages,subtype,10,18417,GSM9237933,1,0.2,pooled,unc20_pooled_0927
12,LUAD,Monocyte-derived Mph,macrophages,subtype,9,21981,GSM9237933,1,0.2,pooled,unc20_pooled_0930
12,LUAD,Myofibroblasts,fibroblasts,subtype,1,1079,GSM9237933,1,0.2,pooled,unc20_pooled_0932
12,LUAD,Peribronchial fibroblasts,fibroblasts,subtype,1,1246,GSM9237933,1,0.2,pooled,unc20_pooled_0935
12,normal,AT2,AT2,subtype,196,784565,GSM9237931,1,0.2,pooled,unc20_pooled_0944
12,normal,AT2 proliferating,AT2,subtype,1,12735,GSM9237931,1,0.2,pooled,unc20_pooled_0945
12,normal,Adventitial fibroblasts,fibroblasts,subtype,1,3525,GSM9237931,1,0.2,pooled,unc20_pooled_0946
12,normal,Alveolar fibroblasts,fibroblasts,subtype,179,352804,GSM9237931,1,0.2,pooled,unc20_pooled_0947
12,normal,Alveolar macrophages,macrophages,subtype,33,471573,GSM9237931,1,0.2,pooled,unc20_pooled_0948
