pair,n_donors,median_rank,ligand,receptor,overall_rank,resource
LAMB1 to ITGB1,21,164.0,LAMB1,ITGB1,165,italk
ANGPT1 to ITGB1,14,165.0,ANGPT1,ITGB1,166,italk
PSEN1 to NOTCH2,26,165.5,PSEN1,NOTCH2,167,italk
COL4A3 to ITGB1,25,166.0,COL4A3,ITGB1,168,italk
DCN to EGFR,24,168.0,DCN,EGFR,169,italk
TGFB1 to ITGAV,26,168.0,TGFB1,ITGAV,170,italk
GNAI2 to CAV1,26,168.5,GNAI2,CAV1,171,italk
FN1 to ITGA5,24,170.0,FN1,ITGA5,172,italk
VCAN to CD44,19,170.0,VCAN,CD44,173,italk
TGFB1 to CAV1,26,170.5,TGFB1,CAV1,174,italk
PLAU to MRC2,24,173.5,PLAU,MRC2,175,italk
SORBS1 to INSR,26,174.5,SORBS1,INSR,176,italk
LAMB1 to ITGAV,21,176.0,LAMB1,ITGAV,177,italk
JAG1 to NOTCH2,26,177.0,JAG1,NOTCH2,178,italk
SPP1 to CD44,19,177.0,SPP1,CD44,179,italk
LAMB1 to ITGA1,21,178.0,LAMB1,ITGA1,180,italk
CALR to ITGAV,26,179.5,CALR,ITGAV,181,italk
PLAU to ITGAV,24,180.0,PLAU,ITGAV,182,italk
SEMA3A to NRP1,26,183.0,SEMA3A,NRP1,183,italk
HBEGF to CD9,26,183.5,HBEGF,CD9,184,italk
MFGE8 to PDGFRB,26,183.5,MFGE8,PDGFRB,185,italk
SERPINE1 to PLAUR,22,185.0,SERPINE1,PLAUR,186,italk
PLAU to PLAUR,24,186.0,PLAU,PLAUR,187,italk
COL4A5 to CD47,26,187.5,COL4A5,CD47,188,italk
PLAU to ITGB1,24,188.5,PLAU,ITGB1,189,italk
AZGP1 to ITGAV,21,190.0,AZGP1,ITGAV,190,italk
SEMA3E to NRP1,26,190.5,SEMA3E,NRP1,191,italk
C4BPA to BMPR2,22,191.5,C4BPA,BMPR2,192,italk
ARF1 to INSR,26,192.0,ARF1,INSR,193,italk
COL4A4 to ITGA1,23,192.0,COL4A4,ITGA1,194,italk
EDIL3 to ITGB5,25,193.0,EDIL3,ITGB5,195,italk
CALM3 to MYLK,24,193.0,CALM3,MYLK,196,italk
THBS1 to CD47,26,198.5,THBS1,CD47,197,italk
COL4A4 to CD47,23,200.0,COL4A4,CD47,198,italk
FN1 to ITGA9,26,202.5,FN1,ITGA9,199,italk
FARP2 to PLXNA2,25,204.0,FARP2,PLXNA2,200,italk
COL5A1 to ITGB1,18,204.5,COL5A1,ITGB1,201,italk
CALM3 to ABCA1,26,208.5,CALM3,ABCA1,202,italk
EFNA5 to EPHA3,22,210.0,EFNA5,EPHA3,203,italk
CDH1 to ITGAE,26,211.0,CDH1,ITGAE,204,italk
ITGB3BP to ITGB5,26,212.0,ITGB3BP,ITGB5,205,italk
COL4A3 to ITGA1,25,213.0,COL4A3,ITGA1,206,italk
TGFB2 to ENG,26,215.5,TGFB2,ENG,207,italk
PDGFC to PDGFRB,26,216.0,PDGFC,PDGFRB,208,italk
SPP1 to ITGAV,19,217.0,SPP1,ITGAV,209,italk
TGFB1 to ENG,26,218.0,TGFB1,ENG,210,italk
SERPINE1 to ITGB5,22,218.5,SERPINE1,ITGB5,211,italk
COL4A3 to CD47,25,222.0,COL4A3,CD47,212,italk
FBLN1 to ITGB1,24,224.5,FBLN1,ITGB1,213,italk
DUSP18 to RPSA,24,224.5,DUSP18,RPSA,214,italk
ADAM17 to ITGA5,24,226.0,ADAM17,ITGA5,215,italk
CALM1 to FAS,24,226.0,CALM1,FAS,216,italk
GNAS to ADCY9,26,227.0,GNAS,ADCY9,217,italk
VCAN to EGFR,19,227.0,VCAN,EGFR,218,italk
PDAP1 to PDGFRB,26,229.0,PDAP1,PDGFRB,219,italk
TNFSF10 to TNFRSF10B,26,229.0,TNFSF10,TNFRSF10B,220,italk
PDGFA to PDGFRB,25,232.0,PDGFA,PDGFRB,221,italk
NTN1 to NEO1,25,235.0,NTN1,NEO1,222,italk
DLL1 to NOTCH2,25,236.0,DLL1,NOTCH2,223,italk
ADAM15 to ITGAV,26,236.5,ADAM15,ITGAV,224,italk
SPP1 to ITGB1,19,239.0,SPP1,ITGB1,225,italk
PLAU to ITGB5,24,239.5,PLAU,ITGB5,226,italk
AGRN to MUSK,25,240.0,AGRN,MUSK,227,italk
