"compartment","set","NGenes","Correlation","Direction","PValue","FDR","n_first","n_second","residual_df","genes_tested","method","FDR_family","cohort","frozen_candidate","FDR_global","eligible","not_tested_reason"
"macrophages","GOBP_RIBOSE_PHOSPHATE_BIOSYNTHETIC_PROCESS",173,0.0854919238437493,"Up",0.666342111476323,0.899422107527221,12,9,19,14203,"voom_TMM",0.899422107527221,"GSE135893",TRUE,0.92994997975267,TRUE,""
"macrophages","GOBP_RIBOSOME_BIOGENESIS",292,0.0772434609854748,"Up",0.674566580645416,0.899422107527221,12,9,19,14203,"voom_TMM",0.899422107527221,"GSE135893",TRUE,0.931195171108346,TRUE,""
"macrophages","GOBP_METAPHASE_CHROMOSOME_ALIGNMENT",95,0.0509483272385993,"Up",0.222496882125018,0.648542867427184,12,9,19,14203,"voom_TMM",0.648542867427184,"GSE135893",TRUE,0.6460680377444,TRUE,""
"macrophages","GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS",61,0.187728958877359,"Up",0.622599765685361,0.889451277040021,12,9,19,14203,"voom_TMM",0.889451277040021,"GSE135893",TRUE,0.919420584209777,TRUE,""
"macrophages","GOBP_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE",49,0.0977284341357523,"Up",0.492042860969235,0.836811619388271,12,9,19,14203,"voom_TMM",0.836811619388271,"GSE135893",TRUE,0.86481196546305,TRUE,""
"macrophages","GOBP_MITOTIC_NUCLEAR_DIVISION",252,0.0367735054237493,"Up",0.215474070307664,0.648542867427184,12,9,19,14203,"voom_TMM",0.648542867427184,"GSE135893",TRUE,0.6460680377444,TRUE,""
"macrophages","GOBP_NUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS",208,0.0392667540100804,"Up",0.154088172601486,0.616352690405944,12,9,19,14203,"voom_TMM",0.616352690405944,"GSE135893",TRUE,0.611537435012147,TRUE,""
"macrophages","GOBP_LYSOSOMAL_LUMEN_ACIDIFICATION",24,0.144546269447234,"Down",0.921386576355923,0.966209544169795,12,9,19,14203,"voom_TMM",0.966209544169795,"GSE135893",TRUE,1,TRUE,""
"macrophages","GOBP_ATTACHMENT_OF_MITOTIC_SPINDLE_MICROTUBULES_TO_KINETOCHORE",25,0.116341237582214,"Up",0.490328408181923,0.836811619388271,12,9,19,14203,"voom_TMM",0.836811619388271,"GSE135893",TRUE,0.86481196546305,TRUE,""
"macrophages","GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_CYTOCHROME_C_TO_OXYGEN",17,0.68610774092626,"Up",0.80246347101904,0.914621048611989,12,9,19,14203,"voom_TMM",0.914621048611989,"GSE135893",TRUE,0.956928270604864,TRUE,""
"macrophages","GOBP_RRNA_PROCESSING",208,0.075462194065786,"Up",0.568978493701835,0.858306657423919,12,9,19,14203,"voom_TMM",0.858306657423919,"GSE135893",TRUE,0.893233609159232,TRUE,""
"macrophages","GOBP_SISTER_CHROMATID_SEGREGATION",216,0.0467973269090264,"Up",0.305361971002191,0.699658879654194,12,9,19,14203,"voom_TMM",0.699658879654194,"GSE135893",TRUE,0.721844079978659,TRUE,""
"macrophages","GOBP_DNA_UNWINDING_INVOLVED_IN_DNA_REPLICATION",20,0.17470916723178,"Up",0.0390035392726181,0.39008627321378,12,9,19,14203,"voom_TMM",0.39008627321378,"GSE135893",TRUE,0.392100330577273,TRUE,""
"macrophages","GOBP_EOSINOPHIL_MIGRATION",21,0.0947885783190445,"Up",0.00238480457359079,0.311898165086564,12,9,19,14203,"voom_TMM",0.311898165086564,"GSE135893",TRUE,0.291653744849021,TRUE,""
"macrophages","GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION",117,0.0513966440251421,"Up",0.470917993184495,0.825079459133165,12,9,19,14203,"voom_TMM",0.825079459133165,"GSE135893",TRUE,0.84832035651675,TRUE,""
