"NGenes","Correlation","Direction","PValue","FDR","set","n_first","n_second","residual_df","genes_tested","method","FDR_family","cohort","compartment","label","FDR_exploratory_subtype_family"
51,0.0499416780076221,"Up",0.00222609030189023,0.0560009918337446,"GOBP_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE",32,27,57,23065,"voom_TMM",0.0560009918337446,"GSE136831","macrophages","Macrophage",0.0401988235567854
260,0.0288483511102296,"Up",0.00866515181128159,0.0662221000000908,"GOBP_MITOTIC_NUCLEAR_DIVISION",32,27,57,23065,"voom_TMM",0.0662221000000908,"GSE136831","macrophages","Macrophage",0.0517309451787986
234,0.092139732704264,"Up",0.0342395180535471,0.0840889997533259,"GOBP_NUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS",32,27,57,23065,"voom_TMM",0.0840889997533259,"GSE136831","macrophages","Macrophage",0.0790530049177485
23,0.235018335771633,"Up",0.0374676765062819,0.0850739910834846,"GOBP_LYSOSOMAL_LUMEN_ACIDIFICATION",32,27,57,23065,"voom_TMM",0.0850739910834846,"GSE136831","macrophages","Macrophage",0.0833424921180598
25,0.0671365938219752,"Up",0.00134134892016902,0.0560009918337446,"GOBP_ATTACHMENT_OF_MITOTIC_SPINDLE_MICROTUBULES_TO_KINETOCHORE",32,27,57,23065,"voom_TMM",0.0560009918337446,"GSE136831","macrophages","Macrophage",0.0401988235567854
21,0.297198059813265,"Up",0.0522690050332778,0.0993474319058246,"GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_CYTOCHROME_C_TO_OXYGEN",32,27,57,23065,"voom_TMM",0.0993474319058246,"GSE136831","macrophages","Macrophage",0.100704012794186
213,0.262128668503057,"Up",0.119688656680497,0.147103376925751,"GOBP_RRNA_PROCESSING",32,27,57,23065,"voom_TMM",0.147103376925751,"GSE136831","macrophages","Macrophage",0.149135865863794
221,0.0406316340308788,"Up",0.0126385008654436,0.0678163461072581,"GOBP_SISTER_CHROMATID_SEGREGATION",32,27,57,23065,"voom_TMM",0.0678163461072581,"GSE136831","macrophages","Macrophage",0.0553394647678357
21,0.0767407756290755,"Up",0.00277545321715893,0.0560009918337446,"GOBP_DNA_UNWINDING_INVOLVED_IN_DNA_REPLICATION",32,27,57,23065,"voom_TMM",0.0560009918337446,"GSE136831","macrophages","Macrophage",0.0401988235567854
24,0.0808236274383305,"Up",0.0455531201011004,0.0936606207686176,"GOBP_EOSINOPHIL_MIGRATION",32,27,57,23065,"voom_TMM",0.0936606207686176,"GSE136831","macrophages","Macrophage",0.0932848676852969
125,0.0479462961346408,"Up",0.0183403369072884,0.0791151788157539,"GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION",32,27,57,23065,"voom_TMM",0.0791151788157539,"GSE136831","macrophages","Macrophage",0.0674867084635378
17,0.350576221369506,"Up",0.0534521855530903,0.0996566171328802,"GOBP_PROTEIN_MATURATION_BY_IRON_SULFUR_CLUSTER_TRANSFER",32,27,57,23065,"voom_TMM",0.0996566171328802,"GSE136831","macrophages","Macrophage",0.101495116955006
43,0.0649461445473807,"Up",0.0306760211381849,0.0833175882765515,"GOBP_MONOCYTE_CHEMOTAXIS",32,27,57,23065,"voom_TMM",0.0833175882765515,"GSE136831","macrophages","Macrophage",0.077756543318804
134,0.077239470981277,"Up",0.0240941468974237,0.0813922017114734,"GOBP_PROTON_TRANSMEMBRANE_TRANSPORT",32,27,57,23065,"voom_TMM",0.0813922017114734,"GSE136831","macrophages","Macrophage",0.0724104051448237
34,0.363935833041148,"Up",0.082392100678892,0.118493645046146,"GOBP_CYTOCHROME_COMPLEX_ASSEMBLY",32,27,57,23065,"voom_TMM",0.118493645046146,"GSE136831","macrophages","Macrophage",0.12297603377668
169,0.0317652712928125,"Up",0.00867674027415093,0.0662221000000908,"GOBP_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION",32,27,57,23065,"voom_TMM",0.0662221000000908,"GSE136831","macrophages","Macrophage",0.0517309451787986
102,0.0413997944844292,"Up",0.0111263715881843,0.0662221000000908,"GOBP_REGULATION_OF_SISTER_CHROMATID_SEGREGATION",32,27,57,23065,"voom_TMM",0.0662221000000908,"GSE136831","macrophages","Macrophage",0.0529931185547245
112,0.0398049778290761,"Up",0.0102682498490409,0.0662221000000908,"GOBP_CHROMOSOME_LOCALIZATION",32,27,57,23065,"voom_TMM",0.0662221000000908,"GSE136831","macrophages","Macrophage",0.0525689747706331
28,0.0728420615427334,"Up",0.00860141886584962,0.0662221000000908,"GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_SEPARATION",32,27,57,23065,"voom_TMM",0.0662221000000908,"GSE136831","macrophages","Macrophage",0.0517309451787986
