config,histology,comp,label,gene,patients,cells,detection_fraction,pseudobulk_CPM
unc20_pooled,AAH,fibroblasts,Peribronchial fibroblasts,CD68,4,31,0.3225806451612903,104.65490046571432
unc20_pooled,AAH,fibroblasts,Peribronchial fibroblasts,CSF1R,4,31,0.0,0.0
unc20_pooled,AAH,fibroblasts,Peribronchial fibroblasts,PPARG,4,31,0.06451612903225806,14.950700066530615
unc20_pooled,AAH,fibroblasts,Peribronchial fibroblasts,FABP4,4,31,0.03225806451612903,7.475350033265308
unc20_pooled,AAH,fibroblasts,Peribronchial fibroblasts,COL1A1,4,31,1.0,88732.4048948592
unc20_pooled,AAH,fibroblasts,Peribronchial fibroblasts,COL1A2,4,31,1.0,44007.38564583287
unc20_pooled,AAH,fibroblasts,Peribronchial fibroblasts,COL3A1,4,31,1.0,64011.422334850824
unc20_pooled,AAH,fibroblasts,Peribronchial fibroblasts,DCN,4,31,1.0,3745.150366665919
unc20_pooled,AAH,fibroblasts,Peribronchial fibroblasts,LUM,4,31,1.0,4971.10777212143
unc20_pooled,AAH,fibroblasts,Peribronchial fibroblasts,PDGFRA,4,31,0.3870967741935484,164.45770073183678
unc20_pooled,AAH,fibroblasts,Peribronchial fibroblasts,PI16,4,31,0.0,0.0
unc20_pooled,AAH,fibroblasts,Peribronchial fibroblasts,ACTA2,4,31,0.5806451612903226,463.471702062449
unc20_pooled,AAH,fibroblasts,Peribronchial fibroblasts,TAGLN,4,31,0.8709677419354839,1128.7778550230616
unc20_pooled,AAH,fibroblasts,Peribronchial fibroblasts,MYH11,4,31,0.12903225806451613,29.90140013306123
unc20_pooled,AAH,fibroblasts,Peribronchial fibroblasts,PECAM1,4,31,0.16129032258064516,37.376750166326545
unc20_pooled,AAH,fibroblasts,Peribronchial fibroblasts,VWF,4,31,0.0967741935483871,59.80280026612246
unc20_pooled,AAH,fibroblasts,Peribronchial fibroblasts,MKI67,4,31,0.0,0.0
unc20_pooled,AAH,fibroblasts,Peribronchial fibroblasts,CLDN4,4,31,0.0,0.0
unc20_pooled,AAH,fibroblasts,Peribronchial fibroblasts,KRT17,4,31,0.03225806451612903,14.950700066530615
unc20_pooled,AAH,fibroblasts,__broad__,EPCAM,8,5009,0.10281493312038331,55.18757442934782
unc20_pooled,AAH,fibroblasts,__broad__,KRT8,8,5009,0.13775204631663007,82.9732516802851
unc20_pooled,AAH,fibroblasts,__broad__,SFTPC,8,5009,0.7582351766819725,4043.967380228956
unc20_pooled,AAH,fibroblasts,__broad__,SFTPA1,8,5009,0.6875623877021362,1783.656265075361
unc20_pooled,AAH,fibroblasts,__broad__,ABCA3,8,5009,0.11159912158115393,91.64668131938983
unc20_pooled,AAH,fibroblasts,__broad__,AGER,8,5009,0.3984827310840487,582.5781500956189
unc20_pooled,AAH,fibroblasts,__broad__,HOPX,8,5009,0.14294270313435817,97.2498703782805
unc20_pooled,AAH,fibroblasts,__broad__,SCGB1A1,8,5009,0.17069275304451986,126.41715589031412
unc20_pooled,AAH,fibroblasts,__broad__,FOXJ1,8,5009,0.00658814134557796,2.83997253669801
unc20_pooled,AAH,fibroblasts,__broad__,PTPRC,8,5009,0.025953284088640446,12.28096232085626
unc20_pooled,AAH,fibroblasts,__broad__,LST1,8,5009,0.03194250349371132,14.046350654479346
unc20_pooled,AAH,fibroblasts,__broad__,TYROBP,8,5009,0.09622679177480535,59.63942327065821
unc20_pooled,AAH,fibroblasts,__broad__,C1QA,8,5009,0.1497304851267718,121.19774690395022
unc20_pooled,AAH,fibroblasts,__broad__,C1QB,8,5009,0.12936713914953085,105.30925190134242
unc20_pooled,AAH,fibroblasts,__broad__,CD68,8,5009,0.1926532241964464,130.33171263008705
unc20_pooled,AAH,fibroblasts,__broad__,CSF1R,8,5009,0.05250549011778798,36.99639899157948
unc20_pooled,AAH,fibroblasts,__broad__,PPARG,8,5009,0.049910161708923935,27.248385149399823
unc20_pooled,AAH,fibroblasts,__broad__,FABP4,8,5009,0.024156518267119186,12.664742393383019
unc20_pooled,AAH,fibroblasts,__broad__,COL1A1,8,5009,0.8660411259732481,2788.0087148778866
unc20_pooled,AAH,fibroblasts,__broad__,COL1A2,8,5009,0.9267318826112997,3334.588294170496
unc20_pooled,AAH,fibroblasts,__broad__,COL3A1,8,5009,0.8305050908364943,2436.4661684433763
unc20_pooled,AAH,fibroblasts,__broad__,DCN,8,5009,0.9498901976442403,4963.657946032079
unc20_pooled,AAH,fibroblasts,__broad__,LUM,8,5009,0.874026751846676,2618.9152149225974
unc20_pooled,AAH,fibroblasts,__broad__,PDGFRA,8,5009,0.581952485526053,553.0270845110584
unc20_pooled,AAH,fibroblasts,__broad__,PI16,8,5009,0.06188860051906568,209.77418764312597
unc20_pooled,AAH,fibroblasts,__broad__,ACTA2,8,5009,0.20363345977240965,156.5822695909173
unc20_pooled,AAH,fibroblasts,__broad__,TAGLN,8,5009,0.4090636853663406,441.6541074637932
unc20_pooled,AAH,fibroblasts,__broad__,MYH11,8,5009,0.08285086843681373,54.34325826978895
unc20_pooled,AAH,fibroblasts,__broad__,PECAM1,8,5009,0.14354162507486523,150.67205647400525
unc20_pooled,AAH,fibroblasts,__broad__,VWF,8,5009,0.08045518067478538,65.54963638757029
