cohort,unit,module,difference_17,difference_29,both_seeds_evaluable,same_direction
GSE262927,EEM-scRNA-124,ADI_published_400,0.1884615384615385,0.1902433724467622,False,True
GSE262927,EEM-scRNA-124,ADI_published_holdout,0.1850337717739068,0.1868556701030927,False,True
GSE262927,EEM-scRNA-124,AT2_published_400,-0.101537621690474,-0.0756898170922588,False,True
GSE262927,EEM-scRNA-124,AT2_published_holdout,-0.0991036312082685,-0.0730791709751382,False,True
GSE262927,EEM-scRNA-124,AT1_published_400,0.1694349160498285,0.0995208092998491,False,True
GSE262927,EEM-scRNA-124,AT1_published_holdout,0.1679790026246719,0.0979580942212731,False,True
GSE262927,EEM-scRNA-124,HALLMARK_HYPOXIA,0.0661505981703026,0.0195434105845728,False,True
GSE262927,EEM-scRNA-124,HALLMARK_INFLAMMATORY_RESPONSE,0.0166224580017683,0.0313776618861364,False,True
GSE262927,EEM-scRNA-124,HALLMARK_P53_PATHWAY,0.03325748293366,0.0500301127075625,False,True
GSE262927,EEM-scRNA-125,DATP_marker_panel,,0.3222929936305733,False,False
GSE262927,EEM-scRNA-125,AT1_early_panel,,0.2639773531493277,False,False
GSE262927,EEM-scRNA-125,AT1_late_panel,,0.3460721868365179,False,False
GSE262927,EEM-scRNA-125,DATP_figure7_panel,,0.3184713375796178,False,False
GSE262927,EEM-scRNA-125,DATP_label_free_panel,,-0.0169851380042462,False,False
GSE262927,EEM-scRNA-125,AT2_common_panel,,-0.1247346072186837,False,False
GSE262927,EEM-scRNA-125,DATP_PATS_holdout_panel,,0.1234961075725406,False,False
GSE262927,EEM-scRNA-125,ADI_published_400,,0.0574228319451249,False,False
GSE262927,EEM-scRNA-125,ADI_published_holdout,,0.0534342373103945,False,False
GSE262927,EEM-scRNA-125,AT2_published_400,,-0.0321384355970847,False,False
GSE262927,EEM-scRNA-125,AT2_published_holdout,,-0.0307658517629965,False,False
GSE262927,EEM-scRNA-125,AT1_published_400,,0.0917286379653404,False,False
GSE262927,EEM-scRNA-125,AT1_published_holdout,,0.0902307593716389,False,False
GSE262927,EEM-scRNA-125,HALLMARK_HYPOXIA,,0.0346743793058624,False,False
GSE262927,EEM-scRNA-125,HALLMARK_INFLAMMATORY_RESPONSE,,0.0264902825412379,False,False
GSE262927,EEM-scRNA-125,HALLMARK_P53_PATHWAY,,0.0332805242113658,False,False
GSE262927,EEM-scRNA-126,DATP_marker_panel,0.6920863309352518,,False,False
GSE262927,EEM-scRNA-126,AT1_early_panel,0.3836930455635491,,False,False
GSE262927,EEM-scRNA-126,AT1_late_panel,-0.1079136690647482,,False,False
GSE262927,EEM-scRNA-126,DATP_figure7_panel,0.6139088729016786,,False,False
GSE262927,EEM-scRNA-126,DATP_label_free_panel,0.6235011990407674,,False,False
GSE262927,EEM-scRNA-126,AT2_common_panel,-0.6079136690647482,,False,False
GSE262927,EEM-scRNA-126,DATP_PATS_holdout_panel,0.683453237410072,,False,False
GSE262927,EEM-scRNA-126,ADI_published_400,0.1385722191477587,,False,False
GSE262927,EEM-scRNA-126,ADI_published_holdout,0.1351887562115256,,False,False
GSE262927,EEM-scRNA-126,AT2_published_400,-0.1376207740931265,,False,False
GSE262927,EEM-scRNA-126,AT2_published_holdout,-0.1352403488349903,,False,False
GSE262927,EEM-scRNA-126,AT1_published_400,0.062601227918189,,False,False
GSE262927,EEM-scRNA-126,AT1_published_holdout,0.0612171679978851,,False,False
GSE262927,EEM-scRNA-126,HALLMARK_HYPOXIA,0.0473865805314931,,False,False
GSE262927,EEM-scRNA-126,HALLMARK_INFLAMMATORY_RESPONSE,0.01306032097399,,False,False
GSE262927,EEM-scRNA-126,HALLMARK_P53_PATHWAY,0.059270350217288,,False,False
GSE262927,EEM-scRNA-127,DATP_marker_panel,,0.2870588235294118,False,False
GSE262927,EEM-scRNA-127,AT1_early_panel,,0.1568627450980391,False,False
GSE262927,EEM-scRNA-127,AT1_late_panel,,0.2676470588235294,False,False
GSE262927,EEM-scRNA-127,DATP_figure7_panel,,0.6431372549019607,False,False
GSE262927,EEM-scRNA-127,DATP_label_free_panel,,-0.0156862745098039,False,False
GSE262927,EEM-scRNA-127,AT2_common_panel,,-0.5426470588235294,False,False
GSE262927,EEM-scRNA-127,DATP_PATS_holdout_panel,,0.2568627450980392,False,False
GSE262927,EEM-scRNA-127,ADI_published_400,,0.2160482654600301,False,False
GSE262927,EEM-scRNA-127,ADI_published_holdout,,0.2133414190418435,False,False
GSE262927,EEM-scRNA-127,AT2_published_400,,-0.0768586062393295,False,False
GSE262927,EEM-scRNA-127,AT2_published_holdout,,-0.07420814479638,False,False
