setting	scale	evaluation	fold	model	wells	sse	mse	heldout_targets	unseen_targets	wells_with_unseen_target
primary	inherited_log2	within_group	plate4-rep2	baseline+proliferation+remaining_growth	60	0.0157069435384	0.000261782392306	51	0	0
primary	inherited_log2	within_group	plate4-rep3	baseline+proliferation+remaining_growth	60	0.0202638440153	0.000337730733589	51	0	0
primary	inherited_log2	within_group	plate4-rep4	baseline+proliferation+remaining_growth	60	0.013736016737	0.000228933612283	51	0	0
primary	inherited_log2	plate_shift	plate1	baseline	232	0.673999084437	0.0029051684674	53	49	194
primary	inherited_log2	plate_shift	plate2	baseline	174	0.342377470578	0.00196768661252	54	51	148
primary	inherited_log2	plate_shift	plate3	baseline	239	0.675975104035	0.00282834771563	53	51	208
primary	inherited_log2	plate_shift	plate4	baseline	240	0.686732353237	0.00286138480515	51	48	200
primary	inherited_log2	plate_shift	plate1	baseline+proliferation	232	0.70256774642	0.00302830925181	53	49	194
primary	inherited_log2	plate_shift	plate2	baseline+proliferation	174	0.340466950543	0.00195670661231	54	51	148
primary	inherited_log2	plate_shift	plate3	baseline+proliferation	239	0.610861172583	0.00255590448779	53	51	208
primary	inherited_log2	plate_shift	plate4	baseline+proliferation	240	0.52021454609	0.00216756060871	51	48	200
primary	inherited_log2	plate_shift	plate1	baseline+remaining_growth	232	0.709272704018	0.00305720993111	53	49	194
primary	inherited_log2	plate_shift	plate2	baseline+remaining_growth	174	0.307904130581	0.00176956396885	54	51	148
primary	inherited_log2	plate_shift	plate3	baseline+remaining_growth	239	0.93048741437	0.00389325277979	53	51	208
primary	inherited_log2	plate_shift	plate4	baseline+remaining_growth	240	0.814894161994	0.00339539234164	51	48	200
primary	inherited_log2	plate_shift	plate1	baseline+proliferation+remaining_growth	232	0.40339595837	0.00173877568263	53	49	194
primary	inherited_log2	plate_shift	plate2	baseline+proliferation+remaining_growth	174	0.151594570016	0.000871233161011	54	51	148
primary	inherited_log2	plate_shift	plate3	baseline+proliferation+remaining_growth	239	0.428083580215	0.00179114468709	53	51	208
primary	inherited_log2	plate_shift	plate4	baseline+proliferation+remaining_growth	240	0.387593229772	0.00161497179071	51	48	200
primary	deposited_numeric	within_group	plate1-rep1	baseline	60	3.30358282883	0.0550597138138	53	0	0
primary	deposited_numeric	within_group	plate1-rep2	baseline	58	2.28737039836	0.0394374206614	53	0	0
primary	deposited_numeric	within_group	plate1-rep3	baseline	56	1.89496092054	0.0338385878667	49	0	0
primary	deposited_numeric	within_group	plate1-rep4	baseline	58	2.02923544088	0.0349868179461	51	0	0
primary	deposited_numeric	within_group	plate2-rep2	baseline	59	1.05336999099	0.0178537286609	54	0	0
primary	deposited_numeric	within_group	plate2-rep3	baseline	57	1.26377577338	0.0221715047961	51	0	0
primary	deposited_numeric	within_group	plate2-rep4	baseline	58	0.771856641013	0.0133078731209	52	0	0
primary	deposited_numeric	within_group	plate3-rep1	baseline	60	3.76865213253	0.0628108688755	53	0	0
primary	deposited_numeric	within_group	plate3-rep2	baseline	59	2.4030234447	0.0407292109271	53	0	0
primary	deposited_numeric	within_group	plate3-rep3	baseline	60	2.58290301567	0.0430483835945	53	0	0
primary	deposited_numeric	within_group	plate3-rep4	baseline	60	2.40410548477	0.0400684247462	53	0	0
primary	deposited_numeric	within_group	plate4-rep1	baseline	60	0.524261395718	0.00873768992863	51	0	0
primary	deposited_numeric	within_group	plate4-rep2	baseline	60	0.650938798434	0.0108489799739	51	0	0
primary	deposited_numeric	within_group	plate4-rep3	baseline	60	0.643703801924	0.0107283966987	51	0	0
primary	deposited_numeric	within_group	plate4-rep4	baseline	60	0.608000045864	0.0101333340977	51	0	0
primary	deposited_numeric	within_group	plate1-rep1	baseline+proliferation	60	3.20325499379	0.0533875832298	53	0	0
primary	deposited_numeric	within_group	plate1-rep2	baseline+proliferation	58	2.07669675743	0.0358051165074	53	0	0
primary	deposited_numeric	within_group	plate1-rep3	baseline+proliferation	56	1.87111823912	0.0334128256986	49	0	0
primary	deposited_numeric	within_group	plate1-rep4	baseline+proliferation	58	1.94495377825	0.0335336858319	51	0	0
primary	deposited_numeric	within_group	plate2-rep2	baseline+proliferation	59	1.21874499264	0.0206566947905	54	0	0
primary	deposited_numeric	within_group	plate2-rep3	baseline+proliferation	57	1.35846084119	0.0238326463367	51	0	0
primary	deposited_numeric	within_group	plate2-rep4	baseline+proliferation	58	0.743914629093	0.0128261142947	52	0	0
primary	deposited_numeric	within_group	plate3-rep1	baseline+proliferation	60	3.65411341313	0.0609018902188	53	0	0
primary	deposited_numeric	within_group	plate3-rep2	baseline+proliferation	59	2.20774703673	0.0374194413005	53	0	0
primary	deposited_numeric	within_group	plate3-rep3	baseline+proliferation	60	2.44104947961	0.0406841579935	53	0	0
primary	deposited_numeric	within_group	plate3-rep4	baseline+proliferation	60	2.29250986024	0.0382084976707	53	0	0
primary	deposited_numeric	within_group	plate4-rep1	baseline+proliferation	60	0.585030314973	0.00975050524954	51	0	0
primary	deposited_numeric	within_group	plate4-rep2	baseline+proliferation	60	0.654249479099	0.010904157985	51	0	0
primary	deposited_numeric	within_group	plate4-rep3	baseline+proliferation	60	0.776516290199	0.01294193817	51	0	0
primary	deposited_numeric	within_group	plate4-rep4	baseline+proliferation	60	0.647669175255	0.0107944862543	51	0	0
primary	deposited_numeric	within_group	plate1-rep1	baseline+remaining_growth	60	3.29208112927	0.0548680188212	53	0	0
primary	deposited_numeric	within_group	plate1-rep2	baseline+remaining_growth	58	2.14310354834	0.0369500611782	53	0	0
primary	deposited_numeric	within_group	plate1-rep3	baseline+remaining_growth	56	1.8911378578	0.0337703188894	49	0	0
primary	deposited_numeric	within_group	plate1-rep4	baseline+remaining_growth	58	1.99676377512	0.0344269616399	51	0	0
primary	deposited_numeric	within_group	plate2-rep2	baseline+remaining_growth	59	1.01717397052	0.0172402367885	54	0	0
primary	deposited_numeric	within_group	plate2-rep3	baseline+remaining_growth	57	1.31738692794	0.0231120513673	51	0	0
primary	deposited_numeric	within_group	plate2-rep4	baseline+remaining_growth	58	0.727000716335	0.0125344951092	52	0	0
primary	deposited_numeric	within_group	plate3-rep1	baseline+remaining_growth	60	3.75695296489	0.0626158827481	53	0	0
primary	deposited_numeric	within_group	plate3-rep2	baseline+remaining_growth	59	2.30360674786	0.0390441821672	53	0	0
primary	deposited_numeric	within_group	plate3-rep3	baseline+remaining_growth	60	2.58482732218	0.0430804553697	53	0	0
primary	deposited_numeric	within_group	plate3-rep4	baseline+remaining_growth	60	2.30008102259	0.0383346837099	53	0	0
primary	deposited_numeric	within_group	plate4-rep1	baseline+remaining_growth	60	0.573912050437	0.00956520084062	51	0	0
primary	deposited_numeric	within_group	plate4-rep2	baseline+remaining_growth	60	0.736302397691	0.0122717066282	51	0	0
