sample_id,cluster,pct,condition
EEM-scRNA-311,20,1.41,H1N1_infected
EEM-scRNA-312,20,0.913,H1N1_infected
EEM-scRNA-113,21,1.904,H1N1_infected
EEM-scRNA-116,21,6.204,H1N1_infected
EEM-scRNA-117,21,8.314,H1N1_infected
EEM-scRNA-118,21,3.438,H1N1_infected
EEM-scRNA-124,21,7.081,H1N1_infected
EEM-scRNA-125,21,4.891,H1N1_infected
EEM-scRNA-126,21,9.519,H1N1_infected
EEM-scRNA-127,21,6.03,H1N1_infected
EEM-scRNA-158,21,9.815,homeostasis
EEM-scRNA-162,21,0.928,H1N1_infected
EEM-scRNA-166,21,9.026,homeostasis
EEM-scRNA-167,21,7.589,H1N1_infected
EEM-scRNA-170,21,6.015,H1N1_infected
EEM-scRNA-172,21,7.717,H1N1_infected
EEM-scRNA-179,21,9.195,H1N1_infected
EEM-scRNA-180,21,8.955,H1N1_infected
EEM-scRNA-181,21,12.599,H1N1_infected
EEM-scRNA-182,21,11.398,H1N1_infected
EEM-scRNA-236,21,5.623,H1N1_infected
EEM-scRNA-237,21,4.289,H1N1_infected
EEM-scRNA-238,21,7.888,H1N1_infected
EEM-scRNA-239,21,7.399,H1N1_infected
EEM-scRNA-249,21,5.442,unannotated
EEM-scRNA-250,21,8.583,unannotated
EEM-scRNA-251,21,5.09,unannotated
EEM-scRNA-288,21,3.748,unannotated
EEM-scRNA-289,21,2.29,unannotated
EEM-scRNA-290,21,4.162,unannotated
EEM-scRNA-291,21,6.929,unannotated
EEM-scRNA-292,21,5.73,unannotated
EEM-scRNA-310,21,7.866,H1N1_infected
EEM-scRNA-311,21,4.504,H1N1_infected
EEM-scRNA-312,21,3.955,H1N1_infected
EEM-scRNA-113,22,6.273,H1N1_infected
EEM-scRNA-116,22,3.069,H1N1_infected
EEM-scRNA-117,22,1.985,H1N1_infected
EEM-scRNA-118,22,4.633,H1N1_infected
EEM-scRNA-124,22,2.397,H1N1_infected
EEM-scRNA-125,22,3.103,H1N1_infected
EEM-scRNA-126,22,1.476,H1N1_infected
EEM-scRNA-127,22,1.473,H1N1_infected
EEM-scRNA-158,22,4.036,homeostasis
EEM-scRNA-162,22,5.374,H1N1_infected
EEM-scRNA-166,22,5.526,homeostasis
EEM-scRNA-167,22,2.801,H1N1_infected
EEM-scRNA-170,22,3.557,H1N1_infected
EEM-scRNA-172,22,2.382,H1N1_infected
EEM-scRNA-179,22,1.592,H1N1_infected
EEM-scRNA-180,22,1.119,H1N1_infected
EEM-scRNA-181,22,1.691,H1N1_infected
EEM-scRNA-182,22,2.349,H1N1_infected
EEM-scRNA-236,22,3.691,H1N1_infected
EEM-scRNA-237,22,2.119,H1N1_infected
EEM-scRNA-238,22,3.078,H1N1_infected
EEM-scRNA-239,22,2.033,H1N1_infected
EEM-scRNA-249,22,4.665,unannotated
EEM-scRNA-250,22,3.413,unannotated
EEM-scRNA-251,22,4.427,unannotated
EEM-scRNA-288,22,4.906,unannotated
EEM-scRNA-289,22,1.688,unannotated
EEM-scRNA-290,22,4.366,unannotated
EEM-scRNA-291,22,4.547,unannotated
EEM-scRNA-292,22,5.115,unannotated
EEM-scRNA-310,22,3.025,H1N1_infected
EEM-scRNA-311,22,2.934,H1N1_infected
EEM-scRNA-312,22,3.012,H1N1_infected
EEM-scRNA-113,23,0.125,H1N1_infected
EEM-scRNA-116,23,0.044,H1N1_infected
EEM-scRNA-117,23,0.021,H1N1_infected
EEM-scRNA-118,23,4.298,H1N1_infected
EEM-scRNA-124,23,0.0,H1N1_infected
EEM-scRNA-125,23,0.0,H1N1_infected
EEM-scRNA-126,23,0.0,H1N1_infected
EEM-scRNA-127,23,0.0,H1N1_infected
EEM-scRNA-158,23,0.0,homeostasis
EEM-scRNA-162,23,0.0,H1N1_infected
EEM-scRNA-166,23,0.0,homeostasis
EEM-scRNA-167,23,0.0,H1N1_infected
EEM-scRNA-170,23,0.0,H1N1_infected
EEM-scRNA-172,23,0.527,H1N1_infected
EEM-scRNA-179,23,0.0,H1N1_infected
EEM-scRNA-180,23,0.0,H1N1_infected
EEM-scRNA-181,23,6.036,H1N1_infected
EEM-scRNA-182,23,0.0,H1N1_infected
EEM-scRNA-236,23,0.0,H1N1_infected
EEM-scRNA-237,23,0.034,H1N1_infected
EEM-scRNA-238,23,0.055,H1N1_infected
EEM-scRNA-239,23,0.014,H1N1_infected
EEM-scRNA-249,23,0.0,unannotated
EEM-scRNA-250,23,0.0,unannotated
EEM-scRNA-251,23,0.017,unannotated
EEM-scRNA-288,23,0.0,unannotated
EEM-scRNA-289,23,54.918,unannotated
EEM-scRNA-290,23,0.0,unannotated
EEM-scRNA-291,23,0.0,unannotated
EEM-scRNA-292,23,0.032,unannotated
EEM-scRNA-310,23,0.0,H1N1_infected
EEM-scRNA-311,23,0.0,H1N1_infected
EEM-scRNA-312,23,0.0,H1N1_infected
EEM-scRNA-113,24,1.436,H1N1_infected
EEM-scRNA-116,24,1.712,H1N1_infected
EEM-scRNA-117,24,0.606,H1N1_infected
EEM-scRNA-118,24,0.545,H1N1_infected
EEM-scRNA-124,24,0.735,H1N1_infected
EEM-scRNA-125,24,1.314,H1N1_infected
EEM-scRNA-126,24,1.519,H1N1_infected
EEM-scRNA-127,24,0.856,H1N1_infected
EEM-scRNA-158,24,1.368,homeostasis
EEM-scRNA-162,24,1.0,H1N1_infected
EEM-scRNA-166,24,1.119,homeostasis
EEM-scRNA-167,24,1.247,H1N1_infected
EEM-scRNA-170,24,1.932,H1N1_infected
EEM-scRNA-172,24,1.054,H1N1_infected
EEM-scRNA-179,24,1.061,H1N1_infected
