resource,ligand,receptor,human_ligand,human_receptor,family
consensus,Wnt4,Fzd3_Lrp5,WNT4,FZD3_LRP5,exploratory
consensus,Wnt4,Fzd4_Lrp5,WNT4,FZD4_LRP5,exploratory
consensus,Wnt4,Fzd10_Lrp5,WNT4,FZD10_LRP5,exploratory
consensus,Wnt4,Fzd1_Lrp5,WNT4,FZD1_LRP5,exploratory
consensus,Wnt4,Fzd5_Lrp6,WNT4,FZD5_LRP6,exploratory
consensus,Wnt4,Fzd2_Lrp6,WNT4,FZD2_LRP6,exploratory
consensus,Wnt4,Fzd8_Lrp6,WNT4,FZD8_LRP6,exploratory
consensus,Wnt4,Fzd3_Lrp6,WNT4,FZD3_LRP6,exploratory
consensus,Wnt4,Fzd4_Lrp6,WNT4,FZD4_LRP6,exploratory
consensus,Wnt4,Fzd10_Lrp6,WNT4,FZD10_LRP6,exploratory
consensus,Wnt4,Fzd1_Lrp6,WNT4,FZD1_LRP6,exploratory
consensus,Wnt4,Notch1,WNT4,NOTCH1,exploratory
consensus,Wnt4,Smo,WNT4,SMO,exploratory
consensus,Wnt7b,Fzd9_Lrp5,WNT7B,FZD9_LRP5,exploratory
consensus,Wnt7b,Fzd9_Lrp6,WNT7B,FZD9_LRP6,exploratory
consensus,Wnt7b,Fzd6_Lrp5,WNT7B,FZD6_LRP5,exploratory
consensus,Wnt7b,Fzd6_Lrp6,WNT7B,FZD6_LRP6,exploratory
consensus,Wnt7b,Fzd7_Lrp5,WNT7B,FZD7_LRP5,exploratory
consensus,Wnt7b,Fzd7_Lrp6,WNT7B,FZD7_LRP6,exploratory
consensus,Wnt7b,Fzd5_Lrp5,WNT7B,FZD5_LRP5,exploratory
consensus,Wnt7b,Fzd2_Lrp5,WNT7B,FZD2_LRP5,exploratory
consensus,Wnt7b,Fzd8_Lrp5,WNT7B,FZD8_LRP5,exploratory
consensus,Wnt7b,Fzd3_Lrp5,WNT7B,FZD3_LRP5,exploratory
consensus,Wnt7b,Fzd4_Lrp5,WNT7B,FZD4_LRP5,exploratory
consensus,Wnt7b,Fzd10_Lrp5,WNT7B,FZD10_LRP5,exploratory
consensus,Wnt7b,Fzd1_Lrp5,WNT7B,FZD1_LRP5,exploratory
consensus,Wnt7b,Fzd5_Lrp6,WNT7B,FZD5_LRP6,exploratory
consensus,Wnt7b,Fzd2_Lrp6,WNT7B,FZD2_LRP6,exploratory
consensus,Wnt7b,Fzd8_Lrp6,WNT7B,FZD8_LRP6,exploratory
consensus,Wnt7b,Fzd3_Lrp6,WNT7B,FZD3_LRP6,exploratory
consensus,Wnt7b,Fzd4_Lrp6,WNT7B,FZD4_LRP6,exploratory
consensus,Wnt7b,Fzd10_Lrp6,WNT7B,FZD10_LRP6,exploratory
consensus,Wnt7b,Fzd1_Lrp6,WNT7B,FZD1_LRP6,exploratory
consensus,Wnt2b,Fzd9_Lrp5,WNT2B,FZD9_LRP5,exploratory
consensus,Wnt2b,Fzd9_Lrp6,WNT2B,FZD9_LRP6,exploratory
consensus,Wnt2b,Fzd6_Lrp5,WNT2B,FZD6_LRP5,exploratory
consensus,Wnt2b,Fzd6_Lrp6,WNT2B,FZD6_LRP6,exploratory
consensus,Wnt2b,Fzd7_Lrp5,WNT2B,FZD7_LRP5,exploratory
consensus,Wnt2b,Fzd7_Lrp6,WNT2B,FZD7_LRP6,exploratory
consensus,Wnt2b,Fzd5_Lrp5,WNT2B,FZD5_LRP5,exploratory
consensus,Wnt2b,Fzd2_Lrp5,WNT2B,FZD2_LRP5,exploratory
consensus,Wnt2b,Fzd8_Lrp5,WNT2B,FZD8_LRP5,exploratory
consensus,Wnt2b,Fzd3_Lrp5,WNT2B,FZD3_LRP5,exploratory
consensus,Wnt2b,Fzd4_Lrp5,WNT2B,FZD4_LRP5,exploratory
consensus,Wnt2b,Fzd10_Lrp5,WNT2B,FZD10_LRP5,exploratory
consensus,Wnt2b,Fzd1_Lrp5,WNT2B,FZD1_LRP5,exploratory
consensus,Wnt2b,Fzd5_Lrp6,WNT2B,FZD5_LRP6,exploratory
consensus,Wnt2b,Fzd2_Lrp6,WNT2B,FZD2_LRP6,exploratory
consensus,Wnt2b,Fzd8_Lrp6,WNT2B,FZD8_LRP6,exploratory
consensus,Wnt2b,Fzd3_Lrp6,WNT2B,FZD3_LRP6,exploratory
consensus,Wnt2b,Fzd4_Lrp6,WNT2B,FZD4_LRP6,exploratory
consensus,Wnt2b,Fzd10_Lrp6,WNT2B,FZD10_LRP6,exploratory
consensus,Wnt2b,Fzd1_Lrp6,WNT2B,FZD1_LRP6,exploratory
consensus,Wnt8b,Fzd9_Lrp5,WNT8B,FZD9_LRP5,exploratory
consensus,Wnt8b,Fzd9_Lrp6,WNT8B,FZD9_LRP6,exploratory
consensus,Wnt8b,Fzd6_Lrp5,WNT8B,FZD6_LRP5,exploratory
consensus,Wnt8b,Fzd6_Lrp6,WNT8B,FZD6_LRP6,exploratory
consensus,Wnt8b,Fzd7_Lrp5,WNT8B,FZD7_LRP5,exploratory
consensus,Wnt8b,Fzd7_Lrp6,WNT8B,FZD7_LRP6,exploratory
consensus,Wnt8b,Fzd5_Lrp5,WNT8B,FZD5_LRP5,exploratory
consensus,Wnt8b,Fzd2_Lrp5,WNT8B,FZD2_LRP5,exploratory
consensus,Wnt8b,Fzd8_Lrp5,WNT8B,FZD8_LRP5,exploratory
consensus,Wnt8b,Fzd3_Lrp5,WNT8B,FZD3_LRP5,exploratory
consensus,Wnt8b,Fzd4_Lrp5,WNT8B,FZD4_LRP5,exploratory
consensus,Wnt8b,Fzd10_Lrp5,WNT8B,FZD10_LRP5,exploratory
consensus,Wnt8b,Fzd1_Lrp5,WNT8B,FZD1_LRP5,exploratory
