patient,histology,label,comp,view,cells,full_library_sum,libraries,n_libraries,uncertainty,library_mode,unit_id
23,LUAD,Interstitial Mph perivascular,macrophages,subtype,29,62842,GSM9237969,1,0.2,largest_library,unc20_largest_library_2062
23,LUAD,Monocyte-derived Mph,macrophages,subtype,142,527828,GSM9237969,1,0.2,largest_library,unc20_largest_library_2067
23,LUAD,Myofibroblasts,fibroblasts,subtype,17,25759,GSM9237969,1,0.2,largest_library,unc20_largest_library_2069
23,LUAD,Peribronchial fibroblasts,fibroblasts,subtype,26,108025,GSM9237969,1,0.2,largest_library,unc20_largest_library_2072
23,normal,AT2,AT2,subtype,1005,3861175,GSM9237966,1,0.2,largest_library,unc20_largest_library_2082
23,normal,Adventitial fibroblasts,fibroblasts,subtype,32,92028,GSM9237966,1,0.2,largest_library,unc20_largest_library_2083
23,normal,Alveolar fibroblasts,fibroblasts,subtype,799,2362213,GSM9237966,1,0.2,largest_library,unc20_largest_library_2084
23,normal,Alveolar macrophages,macrophages,subtype,22,194997,GSM9237966,1,0.2,largest_library,unc20_largest_library_2085
23,normal,Monocyte-derived Mph,macrophages,subtype,27,72727,GSM9237966,1,0.2,largest_library,unc20_largest_library_2099
24,AAH,AT2,AT2,subtype,2097,33172004,GSM9237971,1,0.2,largest_library,unc20_largest_library_2110
24,AAH,AT2 proliferating,AT2,subtype,3,21810,GSM9237971,1,0.2,largest_library,unc20_largest_library_2111
24,AAH,Adventitial fibroblasts,fibroblasts,subtype,52,384306,GSM9237971,1,0.2,largest_library,unc20_largest_library_2112
24,AAH,Alveolar fibroblasts,fibroblasts,subtype,590,2820957,GSM9237971,1,0.2,largest_library,unc20_largest_library_2113
24,AAH,Alveolar macrophages,macrophages,subtype,13,205541,GSM9237971,1,0.2,largest_library,unc20_largest_library_2114
24,AAH,Interstitial Mph perivascular,macrophages,subtype,17,84353,GSM9237971,1,0.2,largest_library,unc20_largest_library_2126
24,AAH,Monocyte-derived Mph,macrophages,subtype,98,933973,GSM9237971,1,0.2,largest_library,unc20_largest_library_2130
