dataset,module,unit,state,cells,mean_fraction_of_present_module_genes_detected
development,Immediate_early_AP1_panel,P7:2_1,AT2,76,0.3667763157894737
development,Immediate_early_AP1_panel,P7:2_1,Transitional,4,0.3125
development,Immediate_early_AP1_panel,P7:2_1_1,AT1,7,0.6071428571428571
development,Immediate_early_AP1_panel,P7:2_1_1,AT2,87,0.6479885057471264
development,Immediate_early_AP1_panel,P7:2_1_1,Transitional,85,0.6102941176470589
development,ADI_published_holdout,P0:1_1_1_1_1,AT1,166,0.6757208783721003
development,ADI_published_holdout,P0:1_1_1_1_1,AT2,436,0.6168899318412302
development,ADI_published_holdout,P0:1_1_1_1_1,Transitional,27,0.6208702275540321
development,ADI_published_holdout,P0:2_1_1_1_1,AT1,159,0.6164653764692567
development,ADI_published_holdout,P0:2_1_1_1_1,AT2,208,0.4905452837650781
development,ADI_published_holdout,P0:2_1_1_1_1,Transitional,9,0.546700942587832
development,ADI_published_holdout,P14:1,AT1,4,0.6786632390745502
development,ADI_published_holdout,P14:1,AT2,5,0.46889460154241647
development,ADI_published_holdout,P14:1,Transitional,1,0.7609254498714653
development,ADI_published_holdout,P14:2,AT1,34,0.7061847875396946
development,ADI_published_holdout,P14:2,AT2,226,0.5113633778465319
development,ADI_published_holdout,P14:2,Transitional,32,0.7489556555269923
development,ADI_published_holdout,P3:1_1_1_1,AT1,419,0.6508212109871098
development,ADI_published_holdout,P3:1_1_1_1,AT2,1203,0.43731929815563914
development,ADI_published_holdout,P3:1_1_1_1,Transitional,8,0.6246786632390745
development,ADI_published_holdout,P5:1_1_1,AT1,78,0.5334190231362468
development,ADI_published_holdout,P5:1_1_1,AT2,377,0.34141817760291304
development,ADI_published_holdout,P5:2_1_1_1,AT1,180,0.5834761496715225
development,ADI_published_holdout,P5:2_1_1_1,AT2,664,0.4157207235110107
development,ADI_published_holdout,P5:2_1_1_1,Transitional,7,0.5082629452809401
development,ADI_published_holdout,P7:1_1,AT1,263,0.7181326790933172
development,ADI_published_holdout,P7:1_1,AT2,3500,0.5497532133676093
development,ADI_published_holdout,P7:1_1,Transitional,17,0.6015424164524421
development,ADI_published_holdout,P7:2_1,AT1,16,0.5383997429305912
development,ADI_published_holdout,P7:2_1,AT2,76,0.3211338113922338
development,ADI_published_holdout,P7:2_1,Transitional,4,0.5591259640102828
development,ADI_published_holdout,P7:2_1_1,AT1,7,0.7080426000734484
development,ADI_published_holdout,P7:2_1_1,AT2,87,0.6023993144815766
development,ADI_published_holdout,P7:2_1_1,Transitional,85,0.6596098593679117
