feature_index,name_0,gene
840,Rgs4,Rgs4
841,Ccdc190,Ccdc190
842,Hsd17b7,Hsd17b7
843,3110045C21Rik,3110045C21Rik
844,Ddr2,Ddr2
845,Uap1,Uap1
846,Gm37748,Gm37748
847,Uhmk1,Uhmk1
848,Gm7694,Gm7694
849,Nos1ap,Nos1ap
850,Olfml2b,Olfml2b
851,Atf6,Atf6
852,Dusp12,Dusp12
853,Gm26620,Gm26620
854,Fcgr2b,Fcgr2b
855,Fcgr3,Fcgr3
856,Cfap126,Cfap126
857,Sdhc,Sdhc
858,Mpz,Mpz
859,Pcp4l1,Pcp4l1
860,Nr1i3,Nr1i3
861,Tomm40l,Tomm40l
862,Apoa2,Apoa2
863,Fcer1g,Fcer1g
864,Ndufs2,Ndufs2
865,Adamts4,Adamts4
866,B4galt3,B4galt3
867,Ppox,Ppox
868,Usp21,Usp21
869,Ufc1,Ufc1
870,Gm20045,Gm20045
871,Dedd,Dedd
872,Nit1,Nit1
873,Pfdn2,Pfdn2
874,Klhdc9,Klhdc9
875,Nectin4,Nectin4
876,Arhgap30,Arhgap30
877,Usf1,Usf1
878,Tstd1,Tstd1
879,Gm26641,Gm26641
880,F11r,F11r
881,B930036N10Rik,B930036N10Rik
882,Alyref2,Alyref2
883,Itln1,Itln1
884,Slamf1,Slamf1
885,Cd84,Cd84
886,Vangl2,Vangl2
887,Ncstn,Ncstn
888,Copa,Copa
889,Pex19,Pex19
890,Dcaf8,Dcaf8
891,Pea15a,Pea15a
892,Casq1,Casq1
893,Igsf8,Igsf8
894,Atp1a2,Atp1a2
895,Kcnj10,Kcnj10
896,Pigm,Pigm
897,Slamf9,Slamf9
898,Igsf9,Igsf9
899,Tagln2,Tagln2
900,Cfap45,Cfap45
901,Vsig8,Vsig8
902,Slamf8,Slamf8
903,Dusp23,Dusp23
904,Cadm3,Cadm3
905,Ifi213,Ifi213
906,Ifi208,Ifi208
907,Ifi204,Ifi204
908,Mndal,Mndal
909,Ifi203,Ifi203
910,Fmn2,Fmn2
911,Grem2,Grem2
912,Rgs7,Rgs7
913,Fh1,Fh1
914,Opn3,Opn3
915,Chml,Chml
916,Exo1,Exo1
917,Pld5,Pld5
918,Rbm8a2,Rbm8a2
919,Cep170,Cep170
920,Sdccag8,Sdccag8
921,Akt3,Akt3
922,Gm26801,Gm26801
923,Zbtb18,Zbtb18
924,1700016C15Rik,1700016C15Rik
925,Adss,Adss
926,Catspere2,Catspere2
927,Desi2,Desi2
928,B230369F24Rik,B230369F24Rik
929,Cox20,Cox20
930,Hnrnpu,Hnrnpu
931,Efcab2,Efcab2
932,Kif26b,Kif26b
933,Smyd3,Smyd3
934,Tfb2m,Tfb2m
935,Cnst,Cnst
936,Sccpdh,Sccpdh
937,Ahctf1,Ahctf1
938,Cdc42bpa,Cdc42bpa
939,Coq8a,Coq8a
940,Psen2,Psen2
941,Gm31728,Gm31728
942,Itpkb,Itpkb
943,Parp1,Parp1
944,Lin9,Lin9
945,Acbd3,Acbd3
946,Gm38293,Gm38293
947,H3f3a,H3f3a
948,H3f3aos,H3f3aos
949,Sde2,Sde2
950,Pycr2,Pycr2
951,Lefty1,Lefty1
952,Tmem63a,Tmem63a
953,Ephx1,Ephx1
954,Nvl,Nvl
955,Cnih4,Cnih4
956,Wdr26,Wdr26
957,A430110L20Rik,A430110L20Rik
958,Cnih3,Cnih3
959,Ccdc121,Ccdc121
960,Dnah14,Dnah14
961,Lbr,Lbr
962,Gm5533,Gm5533
963,Enah,Enah
964,Srp9,Srp9
965,Degs1,Degs1
966,Fbxo28,Fbxo28
967,Trp53bp2,Trp53bp2
968,Capn2,Capn2
