patient,histology,broad,cells,median_library_size,median_detected_genes,median_mito_percent,median_uncertainty
11,normal,Unassigned,324,1590.0,1158.0,0.4487225583760517,0.439964679967471
12,AIS,AT2-like,465,3710.0,1982.0,0.4204398447606727,4.440892098500626e-16
12,AIS,Fibroblasts,258,1512.5,1087.0,0.20992503070931628,0.0199898469087089
12,AIS,Macrophages,40,8436.5,3228.0,0.3940098209866628,0.0599844343360563
12,AIS,Other assigned,308,1372.5,990.5,0.45812008862584963,0.039987049311438205
12,AIS,Other epithelial,291,2348.0,1548.0,0.2337814143775569,2.220446049250313e-16
12,AIS,Other myeloid,51,1465.0,1015.0,1.0222489476849068,2.220446049250313e-16
12,AIS,Unassigned,819,2015.0,1347.0,0.5035246727089627,0.399951704566105
12,LUAD,AT2-like,547,3981.0,1996.0,0.3028700543243113,0.0199956969604165
12,LUAD,Fibroblasts,192,1288.0,916.5,0.17366172405126912,0.0399828743324611
12,LUAD,Macrophages,56,4587.5,2092.5,0.4568347296423501,0.0999939722729189
12,LUAD,Other assigned,167,1440.0,928.0,0.2876318312559923,0.019987890707895
12,LUAD,Other epithelial,269,1631.0,1158.0,0.1827596710325921,1.1102230246251563e-16
12,LUAD,Other myeloid,29,1482.0,1060.0,0.7049891540130152,0.0199886238488176
12,LUAD,Unassigned,904,2201.5,1415.5,0.35456229679026663,0.420011569166833
12,normal,AT2-like,197,2995.0,1699.0,0.4310344827586206,0.0
12,normal,Fibroblasts,180,1522.5,1083.5,0.13460925271030205,2.7755575615628914e-16
12,normal,Macrophages,36,11691.5,4090.5,0.3188984256690576,0.039980675866397
12,normal,Other assigned,143,1440.0,1051.0,0.2992220227408737,0.0399931241083402
12,normal,Other epithelial,156,2290.5,1510.5,0.16856024307672962,1.1102230246251563e-16
12,normal,Other myeloid,22,1616.0,1149.5,0.5191150383792835,3.3306690738754696e-16
12,normal,Unassigned,269,1997.0,1353.0,0.4518344478583047,0.420014200427925
13,LUAD,AT2-like,181,2861.0,1687.0,0.432,3.3306690738754696e-16
13,LUAD,Fibroblasts,228,1989.5,1276.0,0.20552202735741398,0.0799606284495644
13,LUAD,Macrophages,67,3169.0,1803.0,0.3382325810220773,0.0999646667449738
13,LUAD,Other assigned,480,1516.5,1056.5,0.36714096764138465,0.019996021467706952
13,LUAD,Other epithelial,63,2509.0,1658.0,0.2399160293897136,1.1102230246251563e-16
13,LUAD,Other myeloid,51,1455.0,1037.0,0.49800796812749,1.1102230246251563e-16
13,LUAD,Unassigned,1217,1686.0,1210.0,0.4059265272985589,0.4399119009974629
13,MIA,AT2-like,319,3100.0,1775.0,0.3356509230400383,1.1102230246251563e-16
13,MIA,Fibroblasts,298,1466.5,1074.0,0.06918121601960331,0.0199801133579656
13,MIA,Macrophages,102,6028.5,2832.0,0.29285255060250304,0.0799558377490377
13,MIA,Other assigned,292,1244.0,938.5,0.222304587760481,0.0599635509320489
13,MIA,Other epithelial,292,1850.0,1296.0,0.09886425834701695,0.0
13,MIA,Other myeloid,49,1408.0,1072.0,0.4289215686274509,1.1102230246251563e-16
13,MIA,Unassigned,588,1474.5,1085.5,0.22962115877399458,0.40001937306734836
13,normal,AT2-like,97,2920.0,1638.0,0.2403846153846154,1.1102230246251563e-16
13,normal,Fibroblasts,90,1442.5,1075.5,0.06876607200162199,0.0199958832674556
13,normal,Macrophages,10,7023.0,2951.0,0.2572606575110702,0.0999923531615334
13,normal,Other assigned,76,1281.5,927.5,0.16488057372458825,0.07994930247287516
13,normal,Other epithelial,62,1994.0,1367.0,0.10694639872796391,0.0
13,normal,Other myeloid,19,1397.0,945.0,0.3579098067287043,1.1102230246251563e-16
13,normal,Unassigned,173,1325.0,991.0,0.1888574126534466,0.4200212583909505
14,AIS,AT2-like,646,2558.0,1436.5,0.8496586393885153,0.0
14,AIS,Fibroblasts,339,1391.0,1010.0,0.2624671916010498,2.220446049250313e-16
14,AIS,Macrophages,335,6254.0,2864.0,0.9264620729588884,0.0800181181880634
14,AIS,Other assigned,381,1280.0,952.0,0.5703422053231939,0.0199983011072717
14,AIS,Other epithelial,463,1745.0,1247.0,0.3658536585365853,0.0
14,AIS,Other myeloid,51,1512.0,1103.0,0.877742946708464,2.220446049250313e-16
14,AIS,Unassigned,932,2312.5,1523.5,1.0392538972897811,0.4000097144746936
14,LUAD,AT2-like,483,2998.0,1610.0,0.570884871550904,1.1102230246251563e-16
14,LUAD,Fibroblasts,250,1300.5,961.5,0.2200222684804182,2.220446049250313e-16
14,LUAD,Macrophages,62,4707.5,2513.5,0.4757956638309534,0.09998165162097544
14,LUAD,Other assigned,251,1290.0,951.0,0.4273504273504273,0.0399893625651913
14,LUAD,Other epithelial,517,2196.0,1495.0,0.2954209748892171,1.1102230246251563e-16
14,LUAD,Other myeloid,41,1438.0,1075.0,1.0476190476190477,2.220446049250313e-16
14,LUAD,Unassigned,1022,2294.0,1516.0,0.5790320836222747,0.4199309969615991
14,normal,AT2-like,142,2606.0,1447.5,0.7674854923862298,0.0
14,normal,Fibroblasts,70,1290.5,960.0,0.36827313189637256,0.009995531906296573
14,normal,Macrophages,102,5527.0,2593.0,0.7802884119858103,0.07995421006897535
14,normal,Other assigned,93,1301.0,959.0,0.5887300252312868,0.0200005381830873
14,normal,Other epithelial,184,1525.5,1121.5,0.24839706509946674,0.0
14,normal,Other myeloid,27,1715.0,1221.0,0.9124087591240876,0.0
14,normal,Unassigned,193,2200.0,1414.0,0.7969798657718121,0.420059245600467
15,LUAD,AT2-like,289,2096.0,1291.0,0.2997858672376873,1.1102230246251563e-16
15,LUAD,Fibroblasts,336,1526.5,1025.5,0.17045592116413638,0.09970703390876155
