gene,input_variance,PC1_loading,PC2_loading
CYS1,1.7702111451883291,0.014437681010580742,-0.030680723410070894
POU2AF1,1.7681847830254445,0.04001281872477997,0.0024285677168687553
QPCT,1.7643030059281628,0.03815523454910495,0.003942654781677606
LAPTM5,1.7641992677019729,0.03923557084416759,-0.03922414033591987
IGF2BP3,1.7616356327171283,0.037877715237665664,0.01682696606316313
BARX2,1.7604399805534934,0.01789362666424337,0.01807080703282423
IFIT1,1.7539074313761884,0.03276427878398208,-0.028354065559218135
TBL1Y,1.752112068873652,-0.004891214008092838,-0.008135187666465676
CTXND1,1.7515361668353837,-0.02536297791539409,-0.028360935536514836
CDCA7,1.7451693366478782,0.015078270458106911,-0.00022197870381387131
PLEKHG2,1.7443819948338137,-0.015813213893487776,0.04610215848388655
DACT2,1.7439419919935568,-0.0077575160196832514,-0.04482708071383783
HMGB3,1.7438972949456195,0.03906366972282263,0.020043445468473843
CHL1,1.7408973575351234,0.02144117148425446,0.024021986240579746
IFIT3,1.7399985393345798,0.034510564978508206,-0.02826907535180858
SOSTDC1,1.7395518922624305,-0.010436607557827908,-0.03728854083007704
TREM1,1.734735806688642,-0.01078640023386436,0.02439913197856523
HBEGF,1.7330801658593924,-0.0038252837785027038,0.03974872942444843
LRRC31,1.7328677218061055,0.0024289431659135453,-0.024466462273245736
TTR,1.7288751872058317,0.002961747880473023,-0.002536084671928417
SLC35G1,1.7277951100363917,0.023469012112208212,-0.022342744198126988
SPON2,1.7261799532446742,0.0340797284228383,0.003322952868366209
ZNF486,1.7183536999621283,0.00510973998318758,-0.003464860037748397
CNMD,1.7169726119776465,0.005093051777250271,0.011587429420539728
HP,1.7134762590193635,0.001918693644462954,-0.006130068775012049
CPA3,1.7118163306171998,0.025063440024857952,-0.021963563406496255
GZMK,1.7114954103704776,0.04141954492303598,-0.015195852392173054
SLC7A11,1.7088973611788931,-0.0034549182718272165,0.023165865735248686
CXCL11,1.7084615557962135,0.030246152545608338,-0.012624970951048616
RFX2,1.7038878229516103,-0.019433650266098373,0.037647796199734594
MPEG1,1.7029222580403083,0.02753354623993002,-0.031575720907359675
AC007244.1,1.701514375226296,-0.0024631298588116963,-0.00671737220591741
DCN,1.7012785002795099,0.019124154926684005,-0.05869963815606529
RGS7BP,1.6980030478082169,-0.008745888584406319,-0.020316276601273147
HOXB6,1.6955784471758502,0.02390922840111571,0.0016002330130106572
XKR9,1.692613930001701,0.02773505900598551,-0.011926423424519496
IL31RA,1.689328960752323,0.003943548027585198,0.03522601791586886
WNT10A,1.6885384258372869,0.02999329716563943,0.014231734826765057
C6orf141,1.6881891615244495,0.008621750273570308,0.049055218899418294
ERP29,1.687700147646025,0.014364435868081482,-0.03557695237432485
MMP9,1.6873397806675334,0.030916508623734178,0.0038370964175679723
MEX3A,1.6864431905134958,0.03696138568157096,0.024126524476145148
VCAN,1.684911769824382,0.03285652875019074,0.0030665633588406412
NRIP3,1.684694595383037,5.156159275421109e-05,-0.007856038459040097
WDR72,1.6825129295696,0.020889150523843013,-0.0013557120853733987
SPAG17,1.6813214485075476,0.026916647753898248,0.011371484774187125
CD2,1.6798888929799218,0.0300024663158202,-0.020806213577564552
PTGS2,1.6718580570486843,0.012617392974440277,0.03551878027105973
F13A1,1.6696803362730077,0.0346617234883886,-0.02335030574302105
NPAS2,1.6689762911366173,-0.008899123803909675,-0.0038815351606027704
LYPD6B,1.665955058724913,0.010585627387840173,-0.00617728198285471
PEG3,1.6626160650985171,-0.015684999983278478,-0.031911141068259784
FIGNL2,1.6552710009778422,0.020928985373880885,0.019932511986371443
LY96,1.655109450216701,0.03472503333268428,0.02901952932925513
SLC16A12,1.6538383237271306,0.014292014596711252,0.022801395606539918
MS4A6A,1.652770300370541,0.0316506672637486,-0.024879762379666
SNX10,1.6513672733152258,0.04384723133817668,-0.0074931591615300655
AADAC,1.6511752476443702,-0.00014110519183341294,-0.0415680281992357
SOX4,1.6463911722964235,0.038661198468855906,0.025091673393732184
TNC,1.6463875260638499,0.008253141648827154,0.030413280901080135
SYT8,1.6458023173702487,0.021534085754444845,0.02565534114440261
SDK2,1.6436879292507705,0.028445782377229254,0.0024227948006400224
CTSE,1.6433567177394102,0.037011283099008585,0.013862072821296804
ARNTL2,1.643127122453237,0.020630541295053442,0.03901357963672228
CCL21,1.6423211140673322,0.024019241431481864,-0.015268782035461542
TMEM176B,1.6419284889414525,0.03451849088860741,-0.009496757123039368
APOH,1.641238922069758,0.011437122633732297,-0.03184070732611394
MYBL2,1.6411191893132802,0.03544358161137384,0.006282067124890556
MSLN,1.6390982511671073,0.008303058118615902,0.02051598389925224
BHMT2,1.638345262690676,0.02805415779855867,0.014004477770305487
ELF5,1.6374409985795861,0.0013315198403318481,-0.031350698532888736
UNC5CL,1.6373483769826518,0.019864248725114837,0.05411292083622663
CHI3L1,1.6348209517902554,-0.006489308390112962,0.04117163827361884
CENPM,1.6346431464106308,0.03425375349954725,-0.0033071720236861803
MYEOV,1.6322447452317888,0.025760757533480443,0.008905716571897666
C7,1.6313039440455213,0.027194156252733623,-0.04221422615920019
POPDC3,1.6310104381022257,-0.016211478945243413,-0.02096282247452768
LAMA1,1.63036549820854,0.0042669633652945285,-0.00902795236609053
NETO2,1.6301837653319449,0.028057186434461565,0.004831277533481507
XKRX,1.628345157154787,0.03203312899966196,0.013221925089739604
THBS2,1.6259999460139465,0.034026701809458,0.020635549690318226
SH3RF2,1.6249813551221066,0.029361874309896382,0.03286438730975359
SLC16A9,1.623953769787324,0.02028091465450422,0.01203796666363133
