compartment,collection,set,size,discovery_nes,discovery_fdr,matched_p,held_out_nes,held_out_fdr,held_out_tested,replicates,proposed_status
macrophages,gobp,GOBP_CYTOCHROME_COMPLEX_ASSEMBLY,34,2.4812723969140227,4.3084992735273004e-05,0.0,1.159165256740814,0.30246242479082874,True,False,Not established
macrophages,gobp,GOBP_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION,170,2.477155445110085,4.212754845226694e-05,0.0,1.1068098546896568,0.3793191458457621,True,False,Not established
macrophages,gobp,GOBP_REGULATION_OF_SISTER_CHROMATID_SEGREGATION,102,2.4711421803812943,4.121173218156549e-05,0.0,1.0046912483019281,0.5265971002746092,True,False,Not established
macrophages,gobp,GOBP_CHROMOSOME_LOCALIZATION,113,2.4688498054724617,4.0334886816000256e-05,0.0,1.3629255561439828,0.1643582509509847,True,False,Not established
macrophages,gobp,GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_SEPARATION,28,2.468187064270021,3.949457667400026e-05,0.0,1.595384419076433,0.05220066425067004,True,False,Not established
macrophages,gobp,GOBP_ATP_METABOLIC_PROCESS,191,2.4565268373090654,0.0001160656947154293,0.0,1.6525629450484396,0.03588509228118932,True,True,Validated (held-out replication)
macrophages,gobp,GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY,19,2.4305976962944222,0.00018957396803520124,0.002,0.8171527479499614,0.8466500800388413,True,False,Not established
macrophages,gobp,GOBP_NUCLEOSIDE_PHOSPHATE_BIOSYNTHETIC_PROCESS,252,2.4301475747756225,0.00018585683140706,0.0,1.1867068884668956,0.27097199000998407,True,False,Not established
macrophages,gobp,GOBP_NEGATIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION,89,2.424440006893913,0.00018228266157230887,0.0,1.0108979112133933,0.5231565078849446,True,False,Not established
macrophages,gobp,GOBP_DNA_STRAND_ELONGATION_INVOLVED_IN_DNA_REPLICATION,15,2.41294055862942,0.00017884336607094456,0.0,1.3509800864614636,0.16047650756529097,True,False,Not established
macrophages,gobp,GOBP_REGULATION_OF_SPINDLE_CHECKPOINT,22,2.4125182325537904,0.0001755314518844456,0.002,0.7048651066329221,0.945007211086498,True,False,Not established
